,회사명,거래소코드,공시발생일,공시제목,text,link
0,씨엔씨엔터,038420,2005-12-23 19:53,횡령사고발생,"






횡령사고 발생





1. 횡령사고 발생금액 (원)
1,159,424,162


   - 자기자본 (원)
15,267,707,404


   - 자기자본 대비 (%)
7.59


2. 사고 발생확인일
2005년 12월 23일


   - 사고발생일 
2005년 12월 23일


3. 사고내용
피고소인 최삼영은 당사의 자금조달 업무 담당 전무로 재직했었던 임원입니다. 재직시 상기 금액을 개인 용도로 사용한 것을 확인하여, 금일자로 횡령혐의로 고소하게 되었습니다.


4. 향후대책 및 일정
금일 고소장을 접수한 관계로 향후 서울영등포경찰서에서조사가 진행됨을 지켜보고 추후 대책마련을 할 계획임.


5. 대규모법인 해당여부
아니오


6. 기타
-


※ 관련공시일
-






",https://kind.krx.co.kr/external/2005/12/23/K00287/00000000480267/287465_00208.htm
1,넥슨지티,041140,2005-12-08 19:49,횡령사고발생,"






횡령사고 발생





1. 횡령사고 발생금액 (원)
9,400,000,000


   - 자기자본 (원)
13,175,925,000


   - 자기자본 대비 (%)
71.34


2. 사고 발생확인일
2005년 12월 08일


   - 사고발생일 
2005년 12월 08일


3. 사고내용
- 당사 대표이사 이철수는 금일(2005년 12월 8일) 경남은행 에서 인출한 CD자금 30억원, 무기명양도성예금증서 ( CD ) 24억원 및 자기앞수표 40억원을 소지한채 도피하였음.- 당사는 대표이사 이철수가 횡령한것으로 최종확인함.


4. 향후대책 및 일정
- 현재 횡령사고에 대한 비상대책위원회를 구성중이며, 당사 현 대표이사 이철수의 횡령금액에 대해 관계기관에 민 · 형사상 법적조취를 취할예정이며, 내부감사를 통하여 추가적인 횡령금액이 확인되는 즉시 재공시 하겠음. - 빠른 시일내에 이사회를 개최하여 대표이사를 변경할 예정임.


5. 대규모법인 해당여부
아니오


6. 기타
- 상기 횡령금액 및 사고발생확인일은 이사회결의일  현재 당사에서 확인된 사항임.- 상기 내용은 조회공시요구(2005년 12월 7일)에 대한 신고사항임(공시책임자 전무이사  임헌승)


※ 관련공시일
-






",https://kind.krx.co.kr/external/2005/12/08/K00304/00000000473283/283549_00208.htm
2,예일바이오텍,054250,2005-12-06 19:44,횡령사고발생,"






횡령사고 발생





1. 횡령사고 발생금액 (원)
4,658,371,930


   - 자기자본 (원)
14,277,725,023


   - 자기자본 대비 (%)
32.62


2. 사고 발생확인일
2005년 08월 31일


   - 사고발생일 
-


3. 사고내용
대표이사 강병섭은 유상증자시 주금납입자에게 손실금변제를 위하여 회사자금을 횡령하여 사용함.


4. 향후대책 및 일정
횡령금 회수를 위하여 대표이사 강병섭에 대한 민ㆍ형사상 법적조치를 취할 예정이며, 빠른 시일내에 이사회를 개최하여 대표이사를 변경할 예정임.


5. 대규모법인 해당여부
아니오


6. 기타
- 상기 횡령금액은 공시일 현재 당사에서 확인된 금액이   며 이중 619,066,285원에 대한 사고 발생확인일은    2005년 11월 09일임.- 상기 사고발생확인일은 회사자금이 인출된 최초일임.


※ 관련공시일
-






",https://kind.krx.co.kr/external/2005/12/06/K00240/00000000472200/282987_00208.htm
3,플러스프로핏,036660,2005-11-07 18:27,횡령사고발생,"






횡령사고 발생





1. 횡령사고 발생금액 (원)
8,559,000,000


   - 자기자본 (원)
7,506,285,924


   - 자기자본 대비 (%)
114.02


2. 사고 발생확인일
2005년 11월 07일


   - 사고발생일 
2005년 08월 22일


3. 사고내용
2005년08월22일 (주)모리아테크놀러지 출자허위 공시와 관련하여 인수대금 8,559,000,000원을 당사 현 조인수 대표이사가 횡령한것으로 최종 확인.


4. 향후대책 및 일정
향후 재발방지를 위한 내부관리 시스템을 가동중이며 당사 현 조인수 대표이사의 횡령금액에 대해 관계기관에 형사 고발할 예정이며 추후 추가적인 횡령금액이 확인되는 즉시 재공시 하겠습니다.


5. 대규모법인 해당여부
아니오


6. 기타
-


※ 관련공시일
-






",https://kind.krx.co.kr/external/2005/11/07/K00208/00000000461830/276859_00208.htm
4,영진코퍼레이션,053330,2005-08-01 18:19,[정정]횡령사고발생,"






정 정 신 고 (보고)






2005년 08월 01일






1. 정정대상 공시서류 : 횡령사고 발생


2. 정정대상 공시서류의 최초제출일 : 2005.07.29


3. 정정사유 : 기재 오류


4. 정정사항


항  목
정정전
정정후


3. 사고 내용
 2001년 1월부터 2003년 3월까지 전 대표 이사 강준이 영업비 및 기타명목으로  임의 소비하여 횡령함.
 2000년 1월부터 2003년 3월까지 전 대표 이사 강준이 영업비 및 기타명목으로 임의  소비하여 횡령함.





횡령사고 발생





1. 횡령사고 발생금액 (원)
1,938,000,000


   - 자기자본 (원)
6,816,887,776


   - 자기자본 대비 (%)
28.43


2. 사고 발생확인일
2005년 07월 21일


   - 사고발생일 
-


3. 사고내용
 2000년 1월부터 2003년 3월까지 전 대표이사 강준이  영업비 및 기타명목으로 임의 소비하여 횡령함.


4. 향후대책 및 일정
 2005년 7월 29일 부동산 대물변제 10억 8000만원을  제외한 8억5000만원에 대해 손해배상 청구 소송제기 (2005년 7월 29일)


5. 대규모법인 해당여부
아니오


6. 기타
 사고발생확인일은 회계심사감리 중 최종확인된 날임.


※ 관련공시일
-






",https://kind.krx.co.kr/external/2005/08/01/K00157/00000000434723/262183_00208.htm
5,영진코퍼레이션,053330,2005-07-29 21:05,횡령사고발생,"






횡령사고 발생





1. 횡령사고 발생금액 (원)
1,938,000,000


   - 자기자본 (원)
6,816,887,776


   - 자기자본 대비 (%)
28.43


2. 사고 발생확인일
2005년 07월 21일


   - 사고발생일 
-


3. 사고내용
 2001년 1월부터 2003년 3월까지 전 대표이사 강준이  영업비 및 기타명목으로 임의 소비하여 횡령함.


4. 향후대책 및 일정
 2005년 7월 29일 부동산 대물변제 10억 8000만원을  제외한 8억5000만원에 대해 손해배상 청구 소송제기 (2005년 7월 29일)


5. 대규모법인 해당여부
아니오


6. 기타
 사고발생확인일은 회계심사감리 중 최종확인된 날임.


※ 관련공시일
-






",https://kind.krx.co.kr/external/2005/07/29/K00256/00000000434412/262022_00208.htm
6,초록뱀미디어,047820,2005-07-14 15:41,[정정]횡령사고발생,"






정 정 신 고 (보고)






2005년 07월 14일






1. 정정대상 공시서류 :  횡령사고 발생


2. 정정대상 공시서류의 최초제출일 :  2005년 7월 11일


3. 정정사유 :  기재오류 수정


4. 정정사항


항  목
정정전
정정후


1. 횡령사고발생금액    - 자기자본    - 자기자본대비(%)
 546,345,14118.30
600,000,00016.66


4. 향후대책 및 일정
  당사는 횡령 관련자인 한기용에 대하여 서울중앙지방   검찰청에 고소장을 접수할 예정이며,  향후 조속한  사건처리 및 내부통제시스템 강화를 통한 재발 방지에  최선을 다하겠습니다.
당사는 횡령 관련자인 한기용에 대하여수원지방검찰청 성남지청에 고소장을 접수하였으며,  향후 조속한  사건처리 및 내부통제시스템 강화를 통한 재발 방지에  최선을 다하겠습니다.


6. 기타
-
당사는 자본잠식상태로 상기 자기자본은 현재  자본금을 기재하였음.





횡령사고 발생





1. 횡령사고 발생금액 (원)
100,000,000


   - 자기자본 (원)
600,000,000


   - 자기자본 대비 (%)
16.66


2. 사고 발생확인일
2005년 07월 05일


   - 사고발생일 
2004년 10월 15일


3. 사고내용
가. 횡령관련자      한기용 (2004.9.11 ~ 2005.3.10  당사 대표이사) 나. 횡령 개요      한기용은 2004년 6월 25일 부터 당사 이사로 재임     하던 자로  당사가 2004년 5월경 진천공장의 기계     장치(한국산업은행 천안지점에 담보제공되어있는      기계장치)중 일부장비를 매각한 매각대금을 자신이      대표이사로  재임중이던 2004년 10월 중순경 위 매각      대금을 개인 적으로 받아 회사에 입금하지 아니하고        유용하는  방식으로 총 1억원의 회사 자금을 횡령     하였음.


4. 향후대책 및 일정
     당사는 횡령 관련자인 한기용에 대하여 수원지방     검찰청성남지청에 고소장을 접수하였으며, 향후      조속한 사건처리 및 내부통제시스템 강화를 통한 재발     방지에 최선을 다하겠습니다.


5. 대규모법인 해당여부
아니오


6. 기타
     당사는 자본잠식상태로 상기 자기자본은 현재  자본금을 기재하였음.


※ 관련공시일
-






",https://kind.krx.co.kr/external/2005/07/14/K00123/00000000430483/259817_00208.htm
7,초록뱀미디어,047820,2005-07-11 10:28,횡령사고발생,"






횡령사고 발생





1. 횡령사고 발생금액 (원)
100,000,000


   - 자기자본 (원)
546,345,141


   - 자기자본 대비 (%)
18.30


2. 사고 발생확인일
2005년 07월 05일


   - 사고발생일 
2004년 10월 15일


3. 사고내용
가. 횡령관련자      한기용 (2004.9.11 ~ 2005.3.10  당사 대표이사) 나. 횡령 개요      한기용은 2004년 6월 25일 부터 당사 이사로 재임     하던 자로  당사가 2004년 5월경 진천공장의 기계     장치(한국산업은행 천안지점에 담보제공되어있는      기계장치)중 일부장비를 매각한 매각대금을 자신이      대표이사로  재임중이던 2004년 10월 중순경 위 매각      대금을 개인 적으로 받아 회사에 입금하지 아니하고        유용하는  방식으로 총 1억원의 회사 자금을 횡령     하였음.


4. 향후대책 및 일정
     당사는 횡령 관련자인 한기용에 대하여 서울중앙지방     검찰청에 고소장을 접수할 예정이며,  향후 조속한      사건처리 및 내부통제시스템 강화를 통한 재발 방지에     최선을 다하겠습니다.


5. 대규모법인 해당여부
아니오


6. 기타
-


※ 관련공시일
-






",https://kind.krx.co.kr/external/2005/07/11/K00003/00000000429370/259169_00208.htm
8,글로본,019660,2005-06-22 19:39,횡령사고발생,"






횡령사고 발생





1. 횡령사고 발생금액 (원)
 34,686,000,000


   - 자기자본 (원)
12,129,131,828


   - 자기자본 대비 (%)
             285.97


2. 사고 발생확인일
2005년 04월 13일


   - 사고발생일 
-


3. 사고내용
가. 횡령(배임)관련자 : 김정주 (2001.11 ~ 2004.6월 중 당사 대표이사)                               이광민 (2003.10 ~ 2004.9월 중 당사 대표이사)                              정우호 (2003.10 ~ 2004.9월 중 당사 감사)                               김덕한 (공모자)나. 횡령 및 배임 개요 전임 대표이사였던 김정주는 2001년 11월 대표이사로 선임되어 2004년 6월까지 대표이사로 재직하였으며 사임 후 2004년 말까지 당사의 부회장 직함을 사용하면서 법인인감 및 통장을 본인이 소지하는 등 실질적인 대표이사 역할을 하면서 전임 대표이사인 이광민 등과 함께 관련서류의 위·변조에 의한 임의 지급보증 등으로 당사에 손실을 입혔으며, 당사는 2005년 4월 13일에 횡령 및 배임사실을 최초 확인하고 구체적인 횡령 및 배임 사실을 추가로 파악하여 서울중앙지방검찰청에 고소장을 제출하였음. 다. 횡령 관련① 2004년 1월 5일부터 2004년 11월 3일까지 당사가 업무집행조합원으로 운용 중인 글로벌밀레니엄 1호 등 3개 투자조합을 통해 (주)에프티인터내셔널 등 총 5개사에 금전을 대여하게 한 후 이를 인출하여 유용하는 방식으로 총 73.75억원의 자금을 횡령.2003년 10월 9일부터 2004년 12월 31일까지 당사 계정을 통해 (주)한동에듀넷 등 5개사에 자금을 대여하게 한 후 이를 인출하여 유용하는 방식으로 총 42.41억원을 횡령.(당사는 상기 문제업체에 대한 대여와 관련하여 2004사업년도 결산시 각각 71.75억원의 조합원원본보전손실충당금과 41.01억원의 대손충당금을 설정하여 향후 예상되는 추가 손실은 없음.)② 한편 당사는 당사 계정을 통한 상기 문제업체에 대한 대여 42.41억원을 포함하여 2003년 중 총 186.45억원, 2004년 중 총 137.06억원의 금전대여를 한 사실이 있음. 라. 배임 관련 ① 당사의 이사회의사록을 위조하는 등의 방법으로 2004년 4월 22일부터 2004년 8월 23일 중 리치힐크레디트 등 5개사를 위해 으뜸상호저축은행 등 총 5곳에 13건의 지급보증(지급보증총액 385.54억원)을 하는 한편 당사 예금 및  보유주식을 담보로 제공(담보제공 총액 13억원).② 상기 지급보증 및 담보제공 내역 중 현재까지 미해소된 사항은 리치힐크레디트를 위해 지급보증된 3건(보증금액 230.7억원)이며, 이중 1건(141.7억원)은 채권자의 담보확보 등으로 당사의 손실없이 지급보증이 해소될 것으로 예상되고, 나머지 2건(보증금액 89억원, 채무잔액 45.6억원)은 리치힐크레디트가 건축 후 분양예정인 상가의 분양실적에 따라 지급보증 해소여부가 결정될 예정임.  


4. 향후대책 및 일정
당사는 횡령 및 배임 관련자인 김정주외 3인에 대하여 서울중앙지방검찰청에 고소장을 접수하였으며, 향후 조속한 사건처리 및 내부통제시스템 강화를 통한 재발 방지에 최선을 다하겠습니다. 


5. 대규모법인 해당여부
아니오


6. 기타
상기 횡령사고 발생금액은 공시일 현재 기해소된 지급보증 및 담보제공 금액을 제외한 금액으로 기재하였습니다.  


※ 관련공시일
-






",https://kind.krx.co.kr/external/2005/06/22/K00201/00000000424773/256654_00208.htm
9,아이텍스필,008030,2005-04-20 20:00,횡령사고발생,"






횡령사고 발생





1. 횡령사고 발생금액 (원)
429,000,000


   - 자기자본 (원)
8,222,000,000


   - 자기자본 대비 (%)
19.2


2. 사고 발생확인일
2005년 04월 20일


   - 사고발생일 
2005년 01월 21일


3. 사고내용
- 당사의 상무로 재직중인 홍승표는  (주)이션정보시스템 (이하'이션')과 이션의 대표이사인 강범석과 함께 자금을 융통해주겠다고 기망하여 총4매의 약속어음을 인성디지탈에 이션의 대금결제용으로 전달하는 등 회사에 배임행위를 하였습니다.


4. 향후대책 및 일정
- 금일 방배결찰서에 사기, 업무상배임, 유가증권변조 로 고소 하였습니다.- 당사는 본 사건과 관련하여 조속한 해결과 금액회수에 최선을 다하겠습니다.


5. 대규모법인 해당여부
아니오


6. 기타
- 상기 사고발생일은 최초어음발행일 입니다.


※ 관련공시일
-






",https://kind.krx.co.kr/external/2005/04/20/K00146/00000000408922/246645_00208.htm
