번호,시간,회사명,종목코드,공시제목,제출인
50,2000-12-29 18:25,엔케이바이오,19260,대표이사변경,셀텍
49,2000-12-20 16:17,ST&I,31800,회사정리절차종결결정,에스티앤아이
48,2000-12-18 14:02,디에스티,33430,대표이사변경,디에스티
47,2000-12-01 14:29,인지디스플레,37330,대표이사변경,인지디스플레이
46,2000-11-29 10:55,정산애강,22220,대표이사변경,정산애강
45,2000-11-28 17:15,삼지전자,37460,대표이사변경,삼지전자
44,2000-11-25 10:31,서울제약,18680,대표이사변경,서울제약
43,2000-11-23 10:19,ST&I,31800,회사정리절차종결신청,에스티앤아이
42,2000-11-08 15:08,동성하이켐,13450,벌금등의부과,동성하이켐
41,2000-11-02 17:37,쎄니트,37760,대표이사변경,이학수
40,2000-11-02 17:02,디에스티,33430,대표이사변경,디에스티
39,2000-11-02 15:29,화성밸브,39610,대표이사변경,화성밸브
38,2000-11-01 00:00,쎄니트,37760,대표이사변경(삼원정밀금속(주) 안내),
37,2000-10-21 11:43,ST&I,31800,대표이사변경,에스티앤아이
36,2000-10-20 18:44,이지홀딩스,35810,대표이사변경,이지홀딩스
35,2000-09-29 13:58,정산애강,22220,대표이사변경,정산애강
34,2000-09-26 14:52,서울제약,18680,대표이사변경,서울제약
33,2000-09-19 10:02,모라리소스,18890,대표이사변경,브이오산업
32,2000-09-07 15:54,원풍물산,8290,대표이사변경,원풍물산
31,2000-09-01 16:53,대웅바이오,16890,대표이사변경,대웅바이오
30,2000-08-24 13:00,동성하이켐,13450,재해발생,동성하이켐
29,2000-08-21 15:13,성우하이텍,15750,대표이사변경,성우하이텍
28,2000-08-07 15:44,지노시스템,33850,화의채무변제완료보고서제출,지노시스템
27,2000-08-07 15:11,에이원마이크로,37380,회계정책변경결정,에이원마이크로
26,2000-07-31 10:53,피에스텍,2230,대표이사변경,피에스텍
25,2000-07-31 00:00,피에스텍,2230,대표이사변경(풍성전기(주) 안내),
24,2000-07-21 17:19,대한광통신,10170,대표이사변경,대한광통신
23,2000-06-29 10:33,엠투엔,33310,화의채무변제완료보고서제출,엠투엔
22,2000-06-26 15:02,KBI메탈,24840,회계정책변경결정,케이비아이메탈
21,2000-06-26 00:00,녹십자셀,31390,대표이사변경(서울이동통신(주)),
20,2000-06-23 00:00,모헨즈,6920,대표이사변경(한일흥업(주)),
19,2000-06-14 09:26,화성밸브,39610,회계추정변경결정,화성밸브
18,2000-06-14 09:26,화성밸브,39610,회계정책변경결정,화성밸브
17,2000-06-09 00:00,모베이스전자,12860,대표이사변경((주)신창전기),
16,2000-05-15 11:54,일지테크,19540,회계추정변경결정,일지테크
15,2000-05-15 00:00,일지테크,19540,회계추정변경결정((주)일지테크),
14,2000-03-31 00:00,아진산업,13310,회사정리절차개시결정(아진산업(주)),
13,2000-03-28 00:00,ST&I,31800,회사정리절차개시결정(씨티아이반도체(주) (1)),
12,2000-03-28 00:00,ST&I,31800,회사정리절차개시결정(씨티아이반도체(주) (2)),
11,2000-03-14 00:00,한국선재,25550,회계정책변경결정(한국선재(주)),
10,2000-03-09 00:00,태광,23160,회계정책변경결정(태광벤드공업(주)),
9,2000-03-06 00:00,제일테크노스,38010,회계정책변경결정((주)제일중공),
8,2000-02-29 00:00,네스테크,37540,재해발생(네스테크(주) 삼성화재해상보험(주)와 포괄업무제휴협정 체결),
7,2000-02-26 00:00,스페코,13810,회계정책변경결정((주)스페코),
6,2000-02-23 00:00,경윤하이드로,19120,회계정책변경결정((주)삼우),
5,2000-02-21 00:00,KNS홀딩스,36760,회계정책변경결정((주)제이스텍),
4,2000-02-09 00:00,에이치엘비,28300,회사정리절차개시결정(국제정공(주) (1)),
3,2000-02-09 00:00,에이치엘비,28300,회사정리절차개시결정(국제정공(주) (2)),
2,2000-01-19 00:00,팜스토리,27710,회계정책변경결정((주)도드람사료),
1,2000-01-11 00:00,나노트로닉스,10670,회계정책변경결정(하이론코리아(주)),
109,2001-12-31 16:54,이수페타시스,7660,[정정]대표이사변경,이수페타시스
108,2001-12-31 16:01,이수페타시스,7660,대표이사변경[정],이수페타시스
107,2001-12-31 10:05,솔고바이오,43100,대표이사변경,솔고바이오메디칼
106,2001-12-29 10:47,3SOFT,36360,대표이사변경,쓰리소프트
105,2001-12-28 18:22,에이엠에스,44770,대표이사변경,에이엠에스
104,2001-12-27 12:45,케이엠에스,38830,상장유가증권(협회등록주권)관련이외의소제기,케이엠에스
103,2001-12-26 18:19,인바디,41830,회계추정변경결정,인바디
102,2001-12-26 14:58,대호특수강,21040,회사정리절차개시결정,대호특수강
101,2001-12-26 14:17,모라리소스,18890,대표이사변경,브이오산업
100,2001-12-26 08:10,대주산업,3310,화의채무변제완료보고서제출,대주산업
