model,SET1 val Accuracy,SET1 test Accuracy,SET1 test f1-Score,SET1 test Precision,SET1 test Recall,SET2 val Accuracy,SET2 test Accuracy,SET2 test f1_Score,SET2 test Precision,SET2 test Recall
Decision Tree,0.6918978720733162,0.593,0.7398,0.991,0.593,0.6680057749042747,0.6605,0.7907,0.9918,0.6605
Random Forest,0.7451195781809052,0.6894,0.8111,0.9931,0.6894,0.7829624631222146,0.7088,0.8246,0.9932,0.7088
Adaboost,0.719799447617852,0.6703,0.7977,0.9925,0.6703,0.756324147887766,0.7254,0.836,0.9919,0.7254
logistic,0.7352175004707802,0.7795,0.8712,0.9926,0.7795,0.7366926118887703,0.7756,0.8687,0.9923,0.7756
KNN,0.7058643525202436,0.7237,0.8348,0.9924,0.7237,0.7072060762036281,0.7303,0.8393,0.9921,0.7303
SVC,0.5393179963592996,0.0052,0.0001,0.0,0.0052,0.5519584457975018,0.0052,0.0001,0.0,0.0052
lightGBM,0.7142442407884,0.6434,0.778,0.9924,0.6434,0.7394545226288368,0.71,0.8255,0.9922,0.71
Catboost,0.7521185110790283,0.6847,0.8078,0.9931,0.6847,0.7786940556148391,0.7431,0.8476,0.9929,0.7431
MLP,0.6863269725692047,0.5928,0.7395,0.9916,0.5928,0.7268219195279644,0.6408,0.7761,0.9924,0.6408
Xgboost,0.7115529470843012,0.6519,0.7844,0.9923,0.6519,0.7478501035716527,0.7143,0.8284,0.9923,0.7143
