iter	Logloss
0	0.686203382
1	0.6811587885
2	0.6750970213
3	0.6692551323
4	0.6634526223
5	0.6569019578
6	0.651105703
7	0.6456390286
8	0.6397272904
9	0.6341295894
10	0.6288155029
11	0.6233722853
12	0.6186744263
13	0.6135745789
14	0.6087716618
15	0.6043342448
16	0.5995555428
17	0.5950560007
18	0.5902894772
19	0.5862816283
20	0.5819605952
21	0.5778573552
22	0.5732089214
23	0.5690567775
24	0.5650003564
25	0.560689322
26	0.5565300699
27	0.5531110586
28	0.5492043347
29	0.5458854533
30	0.5425061528
31	0.5396734202
32	0.5356924874
33	0.5323643655
34	0.5287539085
35	0.5255562445
36	0.522153345
37	0.5190517828
38	0.5154276783
39	0.5121591698
40	0.5090436758
41	0.5057732244
42	0.5026306247
43	0.4999135177
44	0.4974659037
45	0.49483907
46	0.4916119309
47	0.4887152251
48	0.486327272
49	0.4835524944
50	0.481076827
51	0.478269731
52	0.4768601412
53	0.4741166393
54	0.4715899355
55	0.4691503774
56	0.4667312906
57	0.4646451014
58	0.462258949
59	0.459837256
60	0.457255867
61	0.4549878991
62	0.452761348
63	0.4506282451
64	0.4485993948
65	0.446392083
66	0.4445470016
67	0.4431740897
68	0.4408072714
69	0.4391508399
70	0.4367707057
71	0.434376687
72	0.4323704406
73	0.4301512345
74	0.4285769255
75	0.4267485245
76	0.4249548586
77	0.4229428783
78	0.4211013036
79	0.4190000925
80	0.4171958592
81	0.4152605519
82	0.4135553111
83	0.4118448103
84	0.4107411545
85	0.4086914536
86	0.4071931543
87	0.4053454666
88	0.4036696061
89	0.4025217376
90	0.401052629
91	0.3994801207
92	0.3979850911
93	0.3965942904
94	0.3951575475
95	0.3936377105
96	0.3921261189
97	0.3909359808
98	0.3896366854
99	0.38840641
100	0.3874245875
101	0.3859678944
102	0.3846864878
103	0.3832488445
104	0.3821539553
105	0.3806418662
106	0.3793566923
107	0.3784063588
108	0.3773298086
109	0.3759678669
110	0.3746817216
111	0.3736918906
112	0.3728258358
