model,SET1 val Accuracy,SET1 test Accuracy,SET1 test f1-Score,SET1 test Precision,SET1 test Recall,SET2 val Accuracy,SET2 test Accuracy,SET2 test f1_Score,SET2 test Precision,SET2 test Recall
Decision Tree,0.6097605757931845,0.5729,0.3688,0.5009,0.5592,0.5988469447708579,0.5875,0.3753,0.5015,0.5967
Random Forest,0.6937720329024677,0.6577,0.4026,0.5017,0.6018,0.7046415981198589,0.6847,0.4142,0.5031,0.6757
Adaboost,0.6693081668625147,0.6565,0.4021,0.5017,0.6012,0.6992288484136311,0.6861,0.4134,0.5021,0.6161
logistic,0.6802658636897767,0.7563,0.4381,0.5025,0.6211,0.6829391891891892,0.7545,0.4374,0.5025,0.6202
KNN,0.6612661574618096,0.6603,0.4029,0.5013,0.5729,0.6639321386603996,0.6593,0.4026,0.5012,0.5724
SVC,0.5407535252643948,0.0039,0.0039,0.0019,0.5,0.5513513513513514,0.004,0.004,0.5019,0.5001
lightGBM,0.6653275558166862,0.6234,0.389,0.5011,0.5695,0.7005067567567568,0.6582,0.4025,0.5015,0.5869
Catboost,0.6828804347826086,0.6852,0.4134,0.5023,0.6307,0.7086662749706228,0.7083,0.4219,0.5027,0.6423
MLP,0.6393727967097532,0.581,0.3719,0.5008,0.5482,0.6273501762632196,0.5642,0.3651,0.5009,0.5549
Xgboost,0.6748237367802585,0.6337,0.393,0.5012,0.5747,0.677563160987074,0.6509,0.3997,0.5014,0.5833
