,회사명
119,(주)경윤하이드로에너지
174,(주)골드카운티
352,(주)굿이엠지
572,(주)나노트로닉스
581,(주)나노하이텍
677,(주)네오리소스
798,(주)네오퍼플
845,(주)네이쳐글로벌
871,(주)네프로아이티
885,(주)넥스지
980,(주)넷웨이브
984,(주)넷컴스토리지
1156,(주)뉴씨앤씨
1186,(주)뉴젠비아이티
1197,(주)뉴젠아이씨티
1206,(주)뉴켐진스템셀
1317,(주)다산씨앤드아이
1364,(주)다휘
1371,(주)단성일렉트론
1387,(주)대국
1547,(주)대양글로벌
1818,(주)데코앤이
1838,(주)도움
1901,(주)동방라이텍
1937,(주)동서정보기술
2118,(주)두림티앤씨
2201,(주)드림티엔터테인먼트
2228,(주)디보스
2257,(주)디씨씨
2272,(주)디아이디
2311,(주)디에스
2335,(주)디에스피이엔티
2347,(주)디에이치패션
2581,(주)디지텍시스템스
2583,(주)디지텔
2646,(주)디패션
2830,(주)레이더스컴퍼니
2862,(주)렉스엘이앤지
2961,(주)룩손에너지홀딩스
3028,(주)리더컴
3150,(주)마이스코
3255,(주)맥스브로
3261,(주)맥시스템
3411,(주)메카포럼
3472,(주)모다
3495,(주)모닷텔
3503,(주)모델라인
3526,(주)모디아
3536,(주)모라리소스
3543,(주)모린스
3605,(주)모보
3622,(주)모빌탑
3650,(주)모젬
3689,(주)미디어코프
3732,(주)미성포리테크
3846,(주)바이나믹
3941,(주)바이오빌
3979,(주)바이오시스
4097,(주)베스트플로우
4103,(주)벨로체피아노
4126,(주)보광티에스
4133,(주)보성인터내셔날
4138,(주)보진재
4148,(주)보홍
4247,(주)브이에스에스티
4285,(주)블루멈
4315,(주)블루스톤디앤아이
4326,(주)블루젬디앤씨
4424,(주)비앤비성원
4475,(주)비엔씨컴퍼니
4523,(주)비이티
4665,(주)사라콤
4687,(주)사이노젠
4695,(주)사이버패스
4736,(주)삼성수산
4791,(주)삼우이엠씨
5060,(주)샤인시스템
5372,(주)선우중공업
5403,(주)선팩테크
5455,(주)성우몰드
5481,(주)성진산업
5520,(주)세계투어
5532,(주)세니콘
5561,(주)세라온홀딩스
5593,(주)세븐코스프
5601,(주)세실
5915,(주)소예
5938,(주)소프트윈
6020,(주)솔빛미디어
6095,(주)슈마일렉트론
6219,(주)스탠더드텔레콤
6230,(주)스톰이앤에프
6253,(주)스틸플라워
6349,(주)시냅스엠
6407,(주)시스컴
6433,(주)시큐어소프트
6486,(주)신양오라컴디스플레이
6517,(주)신한에스아이티
6561,(주)실리콘화일
6563,(주)심스밸리
6640,(주)쌈지
6649,(주)써니트렌드
6653,(주)써미트테크놀로지
6670,(주)썬코어
6671,(주)썬테크놀로지스
6684,(주)썬테크놀로지스
6728,(주)쎄라텍
6776,(주)쏠라엔텍
6809,(주)쓰리소프트
6826,(주)씨그널엔터테인먼트그룹
