,회사명,부도,key,소속코드,상장폐지일,감사의견코드,정기공시제목,수시공시제목,폐지사유요약합본
91,(주)강원랜드,1,352502003,4,2003-09-04,UQ,0,상장폐지,['증권거래소 상장']
119,(주)경윤하이드로에너지,0,191202011,4,2011-04-06,UQ,0,상장폐지,['기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정']
174,(주)골드카운티,0,589002010,4,2010-10-12,UQ,0,상장폐지,"['기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정']"
352,(주)굿이엠지,0,515302009,4,2009-11-03,UQ,0,상장폐지,['주된 영업의 정지에 의한 상장폐지기준 해당']
356,(주)그로웰텔레콤,1,357802004,4,2005-01-11,UQ,0,상장폐지,['액면가액일정비율미만(취소사유발생일 : 2004년 12월 24일)']
389,(주)극동자동화,1,2724202018,4,2018-11-15,UQ,0,0,['N']
416,(주)글로포스트,1,378302009,4,2010-02-09,UQ,0,0,['N']
445,(주)금오하이텍,1,1652702017,4,2017-06-07,UQ,0,0,['N']
572,(주)나노트로닉스,0,106702013,4,2014-04-11,UQ,파산신청,0,['N']
581,(주)나노하이텍,0,713602009,4,2009-04-29,DU,0,상장폐지,['감사의견거절(감사범위제한)']
591,(주)나리지*온,1,368502010,4,2010-07-14,UQ,회생절차 종결신청,상장폐지(피흡수합병),['피흡수합병']
651,(주)나이코,1,1922402016,4,2016-12-23,UQ,0,0,['N']
660,(주)남성알미늄,1,332202005,4,2005-04-14,UQ,0,상장폐지,['주식분산기준 미달 2년 연속']
677,(주)네오리소스,0,585502009,4,2009-09-15,UQ,0,[정정]상장폐지,"['\r\n', '2009-07-23', '기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정', '기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정']"
798,(주)네오퍼플,0,280902013,4,2013-05-03,DS,0,상장폐지,['감사의견거절(감사범위 제한 및 계속기업으로서의 존속능력에 대한 불확실성)']
845,(주)네이쳐글로벌,0,880202010,4,2011-01-08,UQ,0,상장폐지,"['기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정']"
871,(주)네프로아이티,1,9500302012,4,2011-11-05,UQ,0,0,['N']
885,(주)넥스지,0,819702018,4,2018-10-11,DS,0,상장폐지,['감사의견거절(감사범위제한)']
908,(주)넥스텔,1,372202004,4,2005-04-09,UQ,0,0,['N']
980,(주)넷웨이브,0,477302012,4,2012-11-17,UQ,0,상장폐지,['기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정']
984,(주)넷컴스토리지,0,370102004,4,2004-04-08,DU,0,상장폐지,['감사의견거절(취소사유발생일 : 2004년 3월 23일)   ']
1163,(주)뉴씨앤씨,0,452402003,4,2003-04-04,UQ,0,상장폐지,['감사의견거절(취소사유발생일:2003년 3월 20일)']
1193,(주)뉴젠비아이티,0,546502009,4,2009-09-04,UQ,0,상장폐지,['반기보고서 법정제출기한 익일부터 10일이내 반기검토(감사)보고서 미제출']
1204,(주)뉴젠아이씨티,0,541502011,4,2011-04-29,DS,0,상장폐지,['감사의견거절(감사범위제한)']
1213,(주)뉴켐진스템셀,0,362802009,4,2009-04-24,UQ,0,상장폐지,"['기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정']"
1301,(주)다린,1,2046902017,4,2017-08-02,UQ,0,0,['N']
1324,(주)다산씨앤드아이,0,372002003,4,2003-06-19,UQ,0,상장폐지,['최종부도 및 은행거래정지']
1371,(주)다휘,0,552502010,4,2010-10-01,UQ,0,상장폐지,"['기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정']"
1378,(주)단성일렉트론,0,859902010,4,2010-05-08,DS,회생절차개시신청,상장폐지,['감사의견거절(감사범위제한)']
1382,(주)대경테크노스,1,376402004,4,2005-01-24,UQ,0,0,['N']
1394,(주)대국,0,423402012,4,2012-04-13,DU,0,상장폐지,['최근3사업연도중2사업연도자기자본 50%초과법인세비용차감전손실발생']
1482,(주)대백쇼핑,1,277002004,4,2004-06-18,UQ,0,상장폐지,['액면가액일정비율(30%)미달로 인한 관리종목지정후']
1554,(주)대양글로벌,1,401802011,4,2011-10-25,DS,0,[정정]상장폐지(정리매매 재개),"['2011-04-20', '2011-04-18', '감사의견거절(감사범위 제한)']"
1578,(주)대원모방,1,3118402019,4,2020-02-27,UQ,0,0,['N']
1662,(주)대한바이오링크,0,415002006,4,2006-04-25,QG,0,상장폐지,['2사업연도 연속 매출액 30억원 미달(상장폐지사유일 : 2006년 04월 10일)']
1701,(주)더블유게임즈,1,1920802018,4,2019-03-12,UQ,0,0,['N']
1748,(주)더존디지털웨어,1,453802009,4,2009-12-09,UQ,0,상장폐지(피흡수합병),['피흡수합병']
1758,(주)더체인지,1,541202011,4,2011-12-15,UQ,0,상장폐지(피흡수합병),['피흡수합병']
