,회사명,거래소코드,공시발생일,공시제목,text,link
0,미성포리테크,094700,2011-12-02 17:02,사채원리금미지급발생,"





:: 70344_사채 원리금 미지급 발생








사채 원리금 미지급 발생








1. 미지급금액


원금(원)


7,992,140,000




이자(원)


413,148,342




합계(원)


8,405,288,342




자기자본(원)


10,397,729,553




자기자본대비(%)


80.8




대규모 법인 여부


미해당




2. 미지급 발생일자


2011-12-02




3. 미지급사유 및 대책


1.미지급사유
          - 채권자의 조기상환 청구가 있었으나, 당사의 2011년 11월 30일 회생절차개시 신청으로 상환이 불가능하여 금번 조기상환청구에 대한 사채 원리금을 미지급하게 되었습니다.
         
 - 이자에는 조기상환청구금 이자 :409,325,442
            표면이자:3,822,900이 포함되어 있습니다.
         
2.대책
          - 현재 당사는 회생절차개시 신청진행중으로 법원의 판결에 따라 진행할 예정입니다.




4. 기타 투자판단에 참고할 사항


- 상기 자기자본은 2010년말 자기자본에 제출일 현재까지의 자본금 및 자본잉여금의 증감분을 반영한 금액입니다.




※관련공시


- 2010.11.08 주요사항보고서(신주인수권부사채권발행결정) 및 2010.11.15 (기재정정)주요사항보고서(신주인수권부사채권발행결정)
         - 2011.11.30 주요사항보고서(회생절차개시신청)




미지급된 사채원리금 내역




사채종류


발행회차


권면총액(원)


발행일


미지급 발생일자


미지급금액


비고




원금(원)


이자(원)


합계(원)




전환사채


3


10,000,000,000


2010-12-02


2011-12-02


7,992,140,000


413,148,342


8,405,288,342


-







",https://kind.krx.co.kr/external/2011/12/02/000349/20111202000125/70344.htm
1,엔스퍼트,098400,2011-11-30 16:25,사채원리금미지급발생,"





:: 70344_사채 원리금 미지급 발생








사채 원리금 미지급 발생








1. 미지급금액


원금(원)


7,714,800,000




이자(원)


415,596,276




합계(원)


8,130,396,276




자기자본(원)


21,951,612,702




자기자본대비(%)


37.04




대규모 법인 여부


미해당




2. 미지급 발생일자


2011-11-30




3. 미지급사유 및 대책


1.미지급사유
         -채권자의 조기상환 청구가 있었으나, 당사의 현재 유동성으로는 상환이 불가능하여 금번 조기상환청구에 대한 사채 원리금을 미지급하게 되었습니다.
         
2.대책
         -현재 당사는 자금조달을 위하여 여러가지 방안을 마련하고 있으며, 조달이 이루어질 경우 채권자에게 상환할 예정입니다.




4. 기타 투자판단에 참고할 사항


- 상기 자기자본은 2010년말 자기자본에 제출일 현재까지의 자본금 및 자본잉여금의 증감분을 반영한 금액입니다.




※관련공시


2010.11.15 주요사항보고서(전환사채권발행결정)




미지급된 사채원리금 내역




사채종류


발행회차


권면총액(원)


발행일


미지급 발생일자


미지급금액


비고




원금(원)


이자(원)


합계(원)




전환사채


3


12,000,000,000


2010-11-30


2011-11-30


7,714,800,000


415,596,276


8,130,396,276


-







",https://kind.krx.co.kr/external/2011/11/30/000316/20111130000090/70344.htm
2,릭스솔루션,029480,2011-07-06 16:45,사채원리금미지급발생,"





:: 70344_사채 원리금 미지급 발생








사채 원리금 미지급 발생








1. 미지급금액


원금(원)


11,342,190,000




이자(원)


788,917,367




합계(원)


12,131,107,367




자기자본(원)


45,486,668,987




자기자본대비(%)


26.67




대규모 법인 여부


해당




2. 미지급 발생일자


2011-07-06




3. 미지급사유 및 대책


1.미지급사유
         -채권자의 조기상환 청구가 있었으나, 당사의 현재 유동성으로는 상환이 불가능하여 금번 조기상환청구에 대한 사채 원리금을 미지급하게 되었습니다.
         
2.대책
         -현재 당사는 자금조달을 위하여 여러가지 방안을 마련하고 있으며, 조달이 이루어질 경우 채권자에게 상환할 예정입니다.




4. 기타 투자판단에 참고할 사항


- 상기 자기자본은 2010년말 자기자본에 제출일 현재까지의 자본금 및 자본잉여금의 증감분을 반영한 금액입니다.




※관련공시


2010-06-15 주요사항보고서(전환사채권발행결정)




미지급된 사채원리금 내역




사채종류


발행회차


권면총액(원)


발행일


미지급 발생일자


미지급금액


비고




원금(원)


이자(원)


합계(원)




전환사채


15


11,342,190,000


2010-07-06


2011-07-06


11,342,190,000


788,917,367


12,131,107,367


-







",https://kind.krx.co.kr/external/2011/07/06/000387/20110706000045/70344.htm
3,엘앤피아너스,061140,2011-06-21 07:19,사채원리금미지급발생,"





:: 70344_사채 원리금 미지급 발생








사채 원리금 미지급 발생








1. 미지급금액


원금(원)


5,200,000,000




이자(원)


464,356,271




합계(원)


5,664,356,271




자기자본(원)


50,830,000,000




자기자본대비(%)


11.1




대규모 법인 여부


미해당




2. 미지급 발생일자


2010-11-25




3. 미지급사유 및 대책


관련업황부진에따른 미지급발생, 자산매각을 통해 상환




4. 기타 투자판단에 참고할 사항


아샘투자자문에서 2010.11.25 기한이익 사유발생하여원리금 조기상황 요청하였으나,사채원리금 미상환하여,매각주관사인 법무법인 태평양을 통해 2011.6.20일 담보제공된 (주)태주주식 1,639,711주에대해 공개매각를 결정함.




※관련공시


2011.6.20 기타주요경영사항




미지급된 사채원리금 내역




사채종류


발행회차


권면총액(원)


발행일


미지급 발생일자


미지급금액


비고




원금(원)


이자(원)


합계(원)




무기명식 이권부 무보증 분리형 신주인수권부사채


12회차


5,200,000,000


2010-03-19


2010-11-25


5,200,000,000


464,356,271


5,664,356,271


-







",https://kind.krx.co.kr/external/2011/06/21/000003/20110620000996/70344.htm
4,엘앤피아너스,061140,2011-06-21 07:19,사채원리금미지급발생,"





:: 70344_사채 원리금 미지급 발생








사채 원리금 미지급 발생








1. 미지급금액


원금(원)


10,000,000,000




이자(원)


1,481,225,540




합계(원)


11,481,225,540




자기자본(원)


50,830,000,000




자기자본대비(%)


22.6




대규모 법인 여부


미해당




2. 미지급 발생일자


2010-11-25




3. 미지급사유 및 대책


관련업황불황에따릉 미지급발생, 자산매각을 통해 상환




4. 기타 투자판단에 참고할 사항


아샘투자자문에서 2010.11.25일 BW 조기상황 요청하였으나 사채원리금 미상환하여,2011.6.20일 매각주관사인 법무법인 태평양을 통해 담보제공토파즈 주식 153,685주, (주)화성바이오팜 주식 909,900주에대한 공개매각를 결정함.




※관련공시


2011.6.20 기타주요경영사항




미지급된 사채원리금 내역




사채종류


발행회차


권면총액(원)


발행일


미지급 발생일자


미지급금액


비고




원금(원)


이자(원)


합계(원)




무기명식 이권부 무보증 분리형 신주인수권부사채


10회차


10,000,000,000


2009-11-25


2010-11-25


10,000,000,000


1,481,225,540


11,481,225,540


-







",https://kind.krx.co.kr/external/2011/06/21/000002/20110620000995/70344.htm
5,엘앤피아너스,061140,2011-06-20 11:50,사채원리금미지급발생,"





:: 70344_사채 원리금 미지급 발생








사채 원리금 미지급 발생








1. 미지급금액


원금(원)


13,000,000,000




이자(원)


631,038,876




합계(원)


13,631,038,876




자기자본(원)


50,830,000,000




자기자본대비(%)


25.5




대규모 법인 여부


미해당




2. 미지급 발생일자


2010-12-02




3. 미지급사유 및 대책


관련업황 부진에따른 미지급발생. 자산매각을 통해 상환




4. 기타 투자판단에 참고할 사항


메리츠종금에서 2010.12.2일 BW 조기상환요청하였으나 사채원리금 미상환하여 대전 공장에 대한 공매 개시 되었슴. 이후 2011.5.30 공매가 재개되어 현재까지 8회 유찰됨. 2011.5.7일 생산직원의 구조조정이 완료되었슴.




※관련공시


2009년 12월 2일 사채발행공시




미지급된 사채원리금 내역




사채종류


발행회차


권면총액(원)


발행일


미지급 발생일자


미지급금액


비고




원금(원)


이자(원)


합계(원)




무보증사모분리형 신주인수권부사채


11회


13,631,038,876


2009-12-02


2010-12-02


13,000,000,000


631,038,876


13,631,038,876


-







",https://kind.krx.co.kr/external/2011/06/20/000059/20110617001003/70344.htm
6,케이에스알,066340,2011-03-10 17:58,사채원리금미지급발생(자율공시),"





:: 70060_사채 원리금 미지급 발생(자율공시)








사채 원리금 미지급 발생(자율공시)








1. 미지급금액


원금(원)


2,000,000,000




이자(원)


70,000,000




합계(원)


2,070,000,000




자기자본(원)


73,527,498,663




자기자본대비(%)


2.81




대기업 여부


미해당




2. 미지급 발생일자


2011-03-10




3. 미지급사유 및 대책


1. 원인 : 제6회 신주인수권부사채 만기일이 도래하였으나 당사의 자금부족으로 원리금 대하여 미지급이 발생하였습니다.
         
2. 대책 : 현재 당사는 사채권자와 협의 중에 있으며 상환 기일을 조정 할 예정 입니다.




4. 기타 투자판단에 참고할 사항


1. 당사는 2008년 3월 10일 발행한 제6회 신주인수권부사채 권면총액 6,000,000,000원 중 3회의 신주인수권사채 발행 만기전 사채취득을 하였으며, 나머지 2,000,000,000원은 사채권자와 상환 기일을 조정할 예정 입니다.
         
2. 상기사항은 2011년 3월 9일 조회공시 답변내용 중 만기도래한 신주인수권부사채 상환과 관련한 상계 협의와 관련된 사항입니다.




※관련공시


- 2008년 3월 10일 신주인수권부사채 발행결정
         - 2009년 6월 11일 신주인수권부사채 발행후 만기전 사채 취득
         - 2010년 3월 10일 신주인수권부사채 발행후 만기전 사채 취득
         - 2010년 7월 12일 신주인수권부사채 발행후 만기전 사채 취득
         - 2011년 3월 9일 조회공시요구(현저한시황변동)에대한답변(미확정)




미지급된 사채원리금 내역




사채종류


발행회차


권면총액(원)


발행일


미지급 발생일자


미지급금액


비고




원금(원)


이자(원)


합계(원)




신주인수권부사채


6


2,000,000,000


2008-03-10


2011-03-10


2,000,000,000


70,000,000


2,070,000,000


-







",https://kind.krx.co.kr/external/2011/03/10/001906/20110310002159/70060.htm
7,나이스메탈,072530,2011-02-28 07:05,사채원리금미지급발생,"





:: 70344_사채 원리금 미지급 발생








사채 원리금 미지급 발생








1. 미지급금액


원금(원)


2,015,000,000




이자(원)


0




합계(원)


2,015,000,000




자기자본(원)


9,945,159,935




자기자본대비(%)


20.26




대규모 법인 여부


미해당




2. 미지급 발생일자


2011-02-25




3. 미지급사유 및 대책


1. 사유 : 기한이익의 상실로 인한 사채권자의 조기 상환 청구가 있었으나 당사 자금부족으로 인하여 원리금 일부에 대하여 미지급 발생 하였습니다.
         
2. 대책 : 현재 당사는 사채권자와 협의 중에 있으며 상환 기일을 조정 할 예정 입니다.




4. 기타 투자판단에 참고할 사항


1. 상기의 자기자본금은 2010년 당사의 최근 자기자본금 입니다.
         
2. 원금 전액과 직전이자지급일로부터 기한의 이익이 상실된 날까지 사채의 이자율에 의한 이자 그리고 사채발행일로부터 기한의 이익이 상실된 날까지 제3조 8항에 의한 만기보장수익률과 사채의 이율과의 차이를 매 3개월 복리로 계산된 금액을 즉시 변제하여야 한다.




※관련공시


2010.02.22 주요사항보고서(신주인수권부사채발행결정)
         2010.02.23 증권발행결과(자율공시)




미지급된 사채원리금 내역




사채종류


발행회차


권면총액(원)


발행일


미지급 발생일자


미지급금액


비고




원금(원)


이자(원)


합계(원)




무기명식 이권부무보증 분리형 사모 신주인수권부사채


9


4,000,000,000


2010-02-23


2011-02-25


2,015,000,000


0


2,015,000,000


-







",https://kind.krx.co.kr/external/2011/02/28/000004/20110225001375/70344.htm
8,피엘에이,082390,2010-12-28 07:14,사채원리금미지급발생,"





:: 70344_사채 원리금 미지급 발생








사채 원리금 미지급 발생








1. 미지급금액


원금(원)


4,200,000,000




이자(원)


1,229,145,589




합계(원)


5,429,145,589




자기자본(원)


46,118,427,037




자기자본대비(%)


11.77




대규모 법인 여부


미해당




2. 미지급 발생일자


2010-12-27




3. 미지급사유 및 대책


제2회 신주인수권부사채 만기일이 도래하였으나 자금 부족으로 원리금 일부에 대하여 미지급이 발생하였으며, 발생한 미지급에 대한 원리금은 2011년 6월 26일까지 원리금 지급기일을 연장하고 계약을 체결 하였습니다.




4. 기타 투자판단에 참고할 사항


당사는 2010년 12월 27일 제2회 신주인수권부사채 잔액 21,730,000,000원 중 17,530,000,000원은 제3회 신주인수권부사채로 차환발행 하였으며, 나머지 4,200,000,000원은 원리금 지급기일을 연장하고 계약을 체결 하였습니다.




※관련공시


2회차
         2008.10.27 신주인수권행사가액의 조정
         2007.12.24 [기재정정]신주인수권부사채
            발행결정(2회차 BW)
         2007.12.24 신주인수권부사채 발행결정
            (2회차 BW)




미지급된 사채원리금 내역




사채종류


발행회차


권면총액(원)


발행일


미지급 발생일자


미지급금액


비고




원금(원)


이자(원)


합계(원)




신주인수권부사채


2


4,200,000,000


2007-12-26


2010-12-27


4,200,000,000


1,229,145,589


5,429,145,589


-







",https://kind.krx.co.kr/external/2010/12/28/000003/20101227001187/70344.htm
9,하이드로젠파워,070080,2010-06-28 16:39,사채원리금미지급발생,"





:: 70344_사채 원리금 미지급 발생








사채 원리금 미지급 발생








1. 미지급금액


원금(원)


3,266,800,000




이자(원)


167,312,428




합계(원)


3,434,112,428




자기자본(원)


25,043,598,000




자기자본대비(%)


13.71




대규모 법인 여부


미해당




2. 미지급 발생일자


2010-06-28




3. 미지급사유 및 대책


- 당사는 자금부족으로 인해 전환사채 원리금을 미지급하였으며, 추후 사채권자와 협의를 통해 일부 상환 및 만기 연장 등의 조치를 취해나갈 것입니다.




4. 기타 투자판단에 참고할 사항


- 당사는 자본잠식법인으로 상기 자기자본은 2009년말의 자본금입니다.




※관련공시


- 2009년 6월 3일 전환사채발행결정
         - 2009년 10월 29일 전환가액 조정




미지급된 사채원리금 내역




사채종류


발행회차


권면총액(원)


발행일


미지급 발생일자


미지급금액


비고




원금(원)


이자(원)


합계(원)




무기명식 무보증 전환사채


5


9,258,000,000


2009-06-26


2010-06-28


3,266,800,000


167,312,428


3,434,112,428


-







",https://kind.krx.co.kr/external/2010/06/28/000265/20100628000242/70344.htm
