,회사명,거래소코드,공시발생일,text,link
0,에스에프씨,112240,2017-12-27 17:26,"





:: 70341_파산신청 기각








파산신청 기각








1. 사건번호


2017하합7098




2. 기각일자


2017-12-26




3. 관할법원


대전지방법원




4. 기각사유


법원의 파신신청 기각결정




5. 확인(결정서 접수)일자


2017-12-27




6. 기타 투자판단에 참고할 사항


상기 확인일자는 당사가 파산신청 결정문을 전자문서로 수신하여 파산신청 기각일을 확인한 일자입니다




※관련공시



2017-11-17 파산신청









",https://kind.krx.co.kr/external/2017/12/27/000877/20171222001527/70341.htm
1,우리기술,032820,2017-12-22 17:53,"





:: 70057_횡령ㆍ배임 혐의 진행사항








횡령ㆍ배임 혐의 진행사항








1. 사고발생내용


당사 전직 임원의 특정경제범죄가중처벌등에관한법률위반(사기,횡령) 등에 대한 서울고등법원의 2심 판결 내용 입니다.
         
1. 판결내용
           가. 노선봉 (전 대표이사): 징역3년,
                                     집행유예5년
                                     사회봉사 120시간
           나. 이종석 (전 부사장): 징역3년,
                                   집행유예5년
                                   사회봉사 120시간  
         2. 판결선고일 : 2017년 12월 21일




2. 횡령 등 관련사항


발생금액(원)


1,155,000,000




자기자본(원)


32,870,757,725




자기자본대비(%)


3.51




대기업해당여부


미해당




최초 공시일자


2017-06-19




3. 진행사항


1. 서울지방법원 1심 판결 결과
          (1) 판결선고일 : 2017년 6월 14일
          (2) 판결내용
            가. 노선봉 (전 대표이사): 징역3년,
                                      집행유예5년
                                      사회봉사 120시간
            나. 이종석 (전 부사장): 징역3년,
                                    집행유예5년
                                    사회봉사 120시간
         2. 서울고등법원 2심 판결 결과  
           (1) 판결선고일 : 2017년 12월 21일
           (2) 판결내용
            가. 노선봉 (전 대표이사): 징역3년,
                                      집행유예5년
                                      사회봉사 120시간
            나. 이종석 (전 부사장): 징역3년,
                                    집행유예5년
                                    사회봉사 120시간




4. 진행사항 확인일자


2017-12-22




5. 기타 투자판단에 참고할 사항


- 상기 내용은 서울고등법원의 2심 판결에 따른 것이며, 향후 항소심 결과에 따라 변동될 수 있습니다.
         
- 상기 자기자본은 2015년말 별도재무제표 기준 입니다.
         
- 당사는 본 사건과 관련하여 상기 발생금액 전액을 회수 완료 하였습니다.
         
- 상기 확인일자는 판결문을 수령한 날자 입니다.




※ 관련공시



2017-06-19 횡령ㆍ배임사실확인









",https://kind.krx.co.kr/external/2017/12/22/001124/20171222002128/70057.htm
2,이엠앤아이,083470,2017-12-21 11:07,"





:: 70341_파산신청 기각








파산신청 기각








1. 사건번호


2017하합10071




2. 기각일자


2017-12-20




3. 관할법원


수원지방법원




4. 기각사유


법원의 파산신청 기각결정




5. 확인(결정서 접수)일자


2017-12-21




6. 기타 투자판단에 참고할 사항


- 상기 확인일자는 당사가 파산신청 결정문을 전자문서로 수신하여 파산신청 기각일을 확인한 일자입니다.




※관련공시



2017-12-08 파산신청









",https://kind.krx.co.kr/external/2017/12/21/000155/20171219000924/70341.htm
3,동성화인텍,033500,2017-12-21 10:36,"





:: 70057_횡령ㆍ배임 혐의 진행사항







정정신고(보고)




정정일자


2017-12-21








1. 정정관련 공시서류


횡령ㆍ배임 혐의 진행사항




2. 정정관련 공시서류제출일


2017-12-20




3. 정정사유


기재정정




4. 정정사항




정정항목


정정전


정정후




3.진행사항


본 사건에 대하여 서울중앙지방검찰청에서 각하 처분 통지하였습니다.


본 사건에 대하여 당사자 간 피해금액 회수와 변제 노력에 따라 서울중앙지방검찰청에서 불기소결정 통지하였습니다.








본 사건에 대하여 당사자 간 피해금액 회수와 변제 노력에 따라 서울중앙지방검찰청에서 불기소결정 통지하였습니다.









횡령ㆍ배임 혐의 진행사항








1. 사고발생내용


퇴직임원의 업무상 횡령 및 배임 혐의 발생
         
가.대상자: 유선근 前 상무
         
나.신청인: (주)화인텍피엔씨 대표이사




2. 횡령 등 관련사항


발생금액(원)


742,020,000




자기자본(원)


122,341,495,480




자기자본대비(%)


0.6




대기업해당여부


미해당




최초 공시일자


2017-08-14




3. 진행사항


본 사건에 대하여 서울중앙지방검찰청에서 각하 처분 통지하였습니다.




4. 진행사항 확인일자


2017-12-20




5. 기타 투자판단에 참고할 사항


1.상기 2.횡령 등 금액 중 자기자본은 16년 말 별도재무제표 기준입니다.
         
2.상기 4.진행사항 확인일자는 당사가 처분결과통지서를 접수한 일자입니다.




※ 관련공시



2017-08-21 횡령ㆍ배임혐의발생









