iter	Logloss
0	0.6893461149
1	0.686572351
2	0.6830885824
3	0.6799729071
4	0.6768781057
5	0.6740339612
6	0.6712377568
7	0.6681895101
8	0.6655564909
9	0.6626235514
10	0.6593876494
11	0.6568292486
12	0.6542944829
13	0.6514141006
14	0.6488639729
15	0.6461722875
16	0.6438892787
17	0.6414082564
18	0.638859064
19	0.6365169442
20	0.6342380257
21	0.6318540628
22	0.6296367623
23	0.6269802083
24	0.6249710195
25	0.6227651911
26	0.620721432
27	0.6182708967
28	0.6162881907
29	0.6142002293
30	0.6120029998
31	0.6097396701
32	0.6071546396
33	0.6052279651
34	0.6029678854
35	0.600586226
36	0.598744557
37	0.5965257181
38	0.5949286183
39	0.5927688311
40	0.5907151806
41	0.588987074
42	0.5869991164
43	0.5846356337
44	0.5827868447
45	0.58057793
46	0.5792342727
47	0.5778488667
48	0.5763132314
49	0.5747755425
50	0.5731272283
51	0.5717689539
52	0.5702216513
53	0.5688784001
54	0.5673170907
55	0.5655855912
56	0.5638340886
57	0.5621103478
58	0.5608219561
59	0.5585173399
60	0.5571959069
61	0.5553583804
62	0.5540768957
63	0.5528957926
64	0.551858774
65	0.5505300282
66	0.5492158485
67	0.5480214028
68	0.5467910678
69	0.5454620004
70	0.5440091054
71	0.5428221864
72	0.5415064167
73	0.5404723351
74	0.5393447362
75	0.5381690761
76	0.5366728753
77	0.5355355024
78	0.5345261108
79	0.5333171089
80	0.5324453237
81	0.5311643733
82	0.5302106108
83	0.5289174891
84	0.5279990006
85	0.5271624728
86	0.5260479468
87	0.5246860361
88	0.5235733124
89	0.5223468505
90	0.5212494616
91	0.5201385413
92	0.5190773592
93	0.5181286885
94	0.5170215777
95	0.5159552595
96	0.5148308052
97	0.5139638677
98	0.5128444794
99	0.5120739101
100	0.5111001199
101	0.5101875356
102	0.509108389
103	0.5083046948
104	0.5071704118
105	0.5063680238
106	0.5054672865
107	0.5047654782
108	0.5039513476
109	0.5028453843
110	0.5021169722
111	0.5015630199
112	0.500773911
113	0.5002154157
114	0.4992880897
115	0.4985704465
116	0.4976867371
117	0.4966712407
118	0.495779034
119	0.4951223176
120	0.4947014322
121	0.4941118172
122	0.4932851645
123	0.4925623443
124	0.4915122786
125	0.4903218038
126	0.489798839
127	0.4889157361
128	0.4881427558
129	0.4872390596
130	0.4863076342
131	0.4855820746
132	0.4844812254
133	0.483956172
134	0.4833472274
135	0.482409936
136	0.4818965539
137	0.4811349027
138	0.4804264083
139	0.4798421531
140	0.4794036307
141	0.4786301767
142	0.478103022
143	0.4770733366
144	0.4764178126
145	0.4758348722
146	0.474887985
147	0.4743207031
148	0.4736295853
149	0.47290339
150	0.4720113432
151	0.4713037608
152	0.4706381314
153	0.4700350192
154	0.4696078381
155	0.4692561014
156	0.4688000903
157	0.4679819048
158	0.4674298832
159	0.4666045262
160	0.4659151714
161	0.4648541705
162	0.4641534144
163	0.4633064239
164	0.4627656938
165	0.4621122486
166	0.4615663069
167	0.4607470506
168	0.4599738683
169	0.45926961
170	0.4584943308
171	0.4577879891
172	0.457155638
173	0.4567063762
174	0.4562775718
175	0.4556006268
176	0.4550210435
177	0.4545053749
178	0.4539235689
179	0.4534443285
180	0.4530090813
181	0.4523766048
182	0.4518330891
183	0.4514824269
184	0.4509812066
185	0.4501907451
186	0.4494996183
187	0.4487358161
188	0.4482163567
189	0.4476306573
190	0.44716621
191	0.4467337744
192	0.4461565494
193	0.4456168842
194	0.445331651
195	0.4450019029
196	0.4442540302
197	0.4437408527
198	0.4434736625
199	0.4431696143
200	0.4426090297
201	0.4422230913
202	0.4417453789
203	0.4414727606
204	0.4410778309
205	0.440667953
206	0.4401493734
207	0.4395961364
208	0.4389826564
209	0.4385891455
210	0.4381348486
211	0.4375106403
212	0.4370235834
213	0.436864806
214	0.436243375
215	0.4355405893
216	0.4350709877
217	0.434715654
218	0.4340966461
219	0.4335468447
220	0.4332309521
221	0.4324951651
222	0.4321125265
223	0.4314850696
224	0.4312454709
225	0.4306778861
226	0.4300933029
227	0.4296925075
228	0.4294304824
229	0.4286727992
230	0.4281371934
231	0.4276726416
232	0.4272120967
233	0.4266909368
234	0.4261409896
235	0.4258818575
236	0.4256307544
237	0.4252053167
238	0.4248372368
239	0.4244764055
240	0.4240555565
241	0.4234336024
242	0.4228459249
243	0.4223674153
244	0.421989692
245	0.4213295143
246	0.4207873655
247	0.4204781318
248	0.4197440655
249	0.419391138
250	0.4190177533
251	0.4185130109
252	0.4180061565
253	0.4177688687
254	0.4174117731
255	0.4171983411
256	0.4166803884
257	0.416053625
258	0.4155535095
259	0.4151693701
260	0.4148431616
261	0.4143099725
262	0.413911093
263	0.4135644411
264	0.413316056
265	0.4127798045
266	0.4123717663
267	0.4120662262
268	0.4117813785
269	0.4114663958
270	0.410911712
271	0.4105325097
272	0.410069182
273	0.409047163
274	0.4085710388
275	0.4083101638
276	0.4076185504
277	0.4073656662
278	0.4068904589
279	0.4066778096
280	0.4064485489
281	0.4060857971
282	0.4055640539
283	0.4050724747
284	0.4047292114
285	0.4042832068
286	0.4039980252
287	0.4036353521
288	0.40325299
289	0.4026969788
290	0.4022806788
291	0.4016735529
292	0.4012422555
293	0.4010780604
294	0.400642562
295	0.4002767282
296	0.3999499164
297	0.399566639
298	0.399114563
299	0.3987297843
300	0.3983047877
301	0.3979032816
302	0.3975515908
303	0.3970168093
304	0.3965937923
305	0.396402706
306	0.3962477881
307	0.3958926086
308	0.3955260313
309	0.3952653214
310	0.3949752595
311	0.3947951956
312	0.3943486836
313	0.3937118808
314	0.3932175568
315	0.3927691971
316	0.3924621233
317	0.3919715856
318	0.391339764
319	0.3910934159
320	0.3908092493
321	0.3905909088
322	0.3904279821
323	0.3899203395
324	0.3896827915
325	0.3892915484
326	0.3888058596
327	0.3884316384
328	0.3881146185
329	0.3879789468
330	0.3875508242
331	0.3872252416
332	0.3868599385
333	0.3864693041
334	0.3861968851
335	0.385690371
336	0.3854781459
337	0.3852371801
338	0.3848512672
339	0.3844654951
340	0.3842341513
341	0.3839117409
342	0.3836257444
343	0.3834393255
344	0.3831033845
345	0.3827529656
346	0.3824578709
347	0.3821821296
348	0.3819366501
349	0.3815921775
350	0.3813655861
351	0.3811520091
352	0.3807854833
353	0.3806482415
354	0.3804656898
355	0.3801866164
356	0.3798583265
357	0.379264702
358	0.3787961793
359	0.3785385072
360	0.3783410287
361	0.3780697225
362	0.3775680336
363	0.3772999751
364	0.3770254152
365	0.376583175
366	0.3763878676
367	0.3760512139
368	0.375700983
369	0.3754944285
370	0.3753503169
371	0.3749796202
372	0.3745941318
373	0.3744352166
374	0.3742192348
375	0.3740347851
376	0.3736790524
