iter	Passed	Remaining
0	2	2880
1	5	2623
2	8	2864
3	11	2880
4	13	2778
5	16	2761
6	19	2704
7	21	2664
8	24	2697
9	27	2701
10	30	2700
11	32	2712
12	35	2697
13	38	2732
14	41	2741
15	44	2735
16	47	2745
17	49	2726
18	52	2726
19	55	2735
20	58	2743
21	61	2737
22	64	2719
23	66	2713
24	69	2726
25	73	2750
26	76	2755
27	79	2745
28	81	2738
29	84	2723
30	87	2725
31	90	2726
32	92	2723
33	95	2712
34	98	2707
35	102	2731
36	105	2744
37	108	2735
38	110	2731
39	113	2717
40	115	2703
41	119	2721
42	121	2712
43	124	2711
44	127	2696
45	129	2681
46	131	2670
47	135	2682
48	137	2675
49	140	2677
50	143	2662
51	145	2652
52	147	2641
53	151	2646
54	154	2650
55	156	2639
56	158	2629
57	161	2620
58	164	2618
59	167	2616
60	169	2613
61	171	2601
62	174	2595
63	176	2586
64	179	2580
65	182	2585
66	185	2579
67	187	2568
68	189	2562
69	192	2551
70	194	2547
71	197	2550
72	200	2547
73	203	2547
74	206	2541
75	208	2534
76	227	2732
77	230	2725
78	233	2720
79	235	2711
80	237	2697
81	239	2683
82	243	2689
83	246	2686
84	248	2678
85	250	2667
86	253	2658
87	255	2651
88	258	2646
89	261	2645
90	264	2637
91	266	2629
92	269	2625
93	271	2620
94	274	2618
95	277	2616
96	280	2610
97	282	2603
98	285	2597
99	287	2587
100	290	2586
101	294	2591
102	296	2586
103	300	2587
104	302	2578
105	304	2572
106	308	2571
107	310	2564
108	313	2561
109	316	2557
110	318	2550
111	321	2550
112	324	2547
113	327	2545
114	330	2541
115	332	2534
116	335	2528
117	338	2530
118	342	2532
119	344	2526
120	347	2525
121	350	2519
122	354	2525
123	357	2526
124	360	2523
125	362	2517
126	365	2511
127	368	2509
128	372	2512
129	385	2580
130	387	2572
131	390	2564
132	392	2558
133	394	2549
134	396	2540
135	398	2534
136	401	2531
137	404	2525
138	406	2519
139	409	2512
140	411	2505
141	414	2501
142	416	2498
143	419	2493
144	422	2490
145	424	2483
146	426	2477
147	429	2471
148	432	2467
149	434	2462
150	437	2458
151	439	2451
152	442	2447
153	444	2441
154	446	2435
155	449	2431
156	451	2426
157	454	2420
158	456	2415
159	459	2411
160	461	2405
161	464	2403
162	467	2399
163	469	2394
164	472	2391
165	475	2387
166	478	2385
167	481	2385
168	484	2382
169	487	2378
170	489	2374
171	492	2369
172	495	2369
173	498	2366
174	501	2363
175	503	2357
176	505	2351
177	508	2346
178	511	2346
179	514	2343
180	517	2341
181	519	2335
182	521	2329
183	524	2326
184	528	2326
185	531	2324
186	533	2318
187	535	2313
188	538	2308
189	540	2305
190	544	2305
191	547	2301
192	549	2296
193	551	2291
194	553	2286
195	557	2285
196	560	2282
197	571	2312
198	573	2309
199	576	2306
200	578	2300
201	580	2293
202	582	2287
203	584	2282
204	587	2277
205	590	2277
206	593	2272
207	595	2267
208	597	2261
209	600	2257
210	603	2255
211	606	2255
212	609	2251
213	612	2248
214	614	2243
215	616	2238
216	619	2234
217	622	2232
218	624	2228
219	627	2223
220	629	2219
221	631	2213
222	633	2208
223	637	2208
224	639	2204
225	642	2200
226	644	2195
227	647	2191
228	649	2186
229	652	2185
230	655	2182
231	658	2179
232	661	2176
233	664	2174
234	668	2177
235	672	2176
236	675	2174
237	678	2171
238	680	2167
239	685	2170
240	688	2169
241	691	2166
242	694	2163
243	697	2162
244	701	2161
245	704	2160
246	707	2157
247	710	2154
248	715	2157
249	718	2156
250	722	2155
251	724	2151
252	727	2149
253	733	2153
254	737	2154
255	740	2151
256	743	2150
257	749	2156
258	753	2156
259	757	2155
260	762	2160
261	767	2160
262	772	2163
263	776	2164
264	780	2164
265	783	2162
266	786	2160
267	789	2156
268	793	2157
269	797	2156
270	800	2152
271	802	2148
272	805	2144
273	809	2143
274	811	2140
275	815	2138
276	817	2134
277	820	2130
278	823	2127
279	826	2124
280	829	2123
281	832	2119
282	834	2114
283	837	2110
284	840	2108
285	843	2106
286	846	2102
