,회사명,거래소코드,공시발생일,text,link
0,유일엔시스,038720,2012-11-26 17:16,"





:: 70344_사채 원리금 미지급 발생








사채 원리금 미지급 발생








1. 미지급금액


원금(원)


1,392,805,650




이자(원)


-




합계(원)


1,392,805,650




자기자본(원)


11,866,332,009




자기자본대비(%)


11.74




대규모 법인 여부


미해당




2. 미지급 발생일자


2012-11-26




3. 미지급사유 및 대책


1) 사유 : 사채권자와의 협의하에 상환기일 연장에 따른 사유 발생
         
2) 대책 :사채권자와 협의를 통해 만기도래 사채에 대한 이자액만 지급하고 상환기일(2013년 2월 25일) 연장




4. 기타 투자판단에 참고할 사항


-




※관련공시


2009.11.23 주요사항보고서(신주인수권부사채권발행결정)




미지급된 사채원리금 내역




사채종류


발행회차


권면총액(원)


발행일


미지급 발생일자


미지급금액


비고




원금(원)


이자(원)


합계(원)




무기명식 이권부 무보증 분리형 사모 신주인수권부사채


4


5,000,000,000


2009-11-25


2012-11-26


1,392,805,650


-


1,392,805,650


-







",https://kind.krx.co.kr/external/2012/11/26/000343/20121126000718/70344.htm
1,엘컴텍,037950,2012-11-22 15:18,"





:: 70345_대출원리금 연체사실 발생








대출원리금 연체사실 발생








1. 대출원리금 연체금액


대출금(원)


88,086,131,223




이자(원)


0




합계(원)


88,086,131,223




자기자본(원)


60,580,103,238




자기자본대비(%)


145.40




대기업 여부


해당




2. 연체 발생일자


2012-10-18




3. 연체사유 및 대책


- 2012년 10월 18일 회생신청에 따른 금융기관 기한이익 상실에 따른 대출원리금 연체내역입니다.




4. 기타 투자판단에 참고할 사항


- 상기 자기자본은 2011년말 자기자본에서 현재까지
          자본금과 자본잉여금을 가감한 금액입니다.




※관련공시


2012-10-18 회생절차개시신청
         2012-11-02 회생절채개시결정




[대출원리금 연체 내역]




대출종류


대출기관


대출금(원)


연체 발생일자


연체금액(원)


비고




원금(원)


이자(원)


합계(원)




당좌대출


산업은행


4,000,000,000


2012-10-17


4,000,000,000


27,500,000


4,027,500,000


이자연체는10/17
         대출만기일은10/30




운영자금


산업은행


5,500,000,000


2012-10-19


5,500,000,000


-


5,500,000,000


-




운영자금


산업은행


4,175,000,000


2012-10-02


4,175,000,000


-


4,175,000,000


10/16 기신고분




시설자금


산업은행


399,980,000


2012-10-19


399,980,000


-


399,980,000


-




시설자금


산업은행


199,990,000


2012-10-02


199,990,000


-


199,990,000


10/16 기신고분




무역금융


산업은행


19,499,900,000


2012-10-19


19,499,900,000


-


19,499,900,000


-




사모사채


산업은행


19,000,000,000


2012-10-19


19,000,000,000


-


19,000,000,000


-




운전자금


외환은행


999,400,000


2012-10-19


999,400,000


-


999,400,000


-




무역금융


외환은행


3,498,400,000


2012-10-18


3,498,400,000


-


3,498,400,000


-




운전자금


국민은행


2,700,000,000


2012-10-30


2,700,000,000


-


2,700,000,000


-




무역금융


국민은행


3,977,000,000


2012-10-19


3,977,000,000


-


3,977,000,000


-




무역금융


국민은행


103,700,000


2012-10-12


103,700,000


-


103,700,000


10/16 기신고분




기타


국민은행


1,150,636,170


2012-10-19


1,150,636,170


-


1,150,636,170


-




기타


국민은행


500,000,000


2012-10-02


500,000,000


-


500,000,000


10/16 기신고분




기타


국민은행


724,363,830


2012-10-15


724,363,830


-


724,363,830


10/16 기신고분




기타


수출입은행


4,500,000,000


2012-10-19


4,500,000,000


-


4,500,000,000


-




외화대출금


수출입은행


3,112,819,200


2012-10-19


3,112,819,200


-


3,112,819,200


엔화환율
         1,441.12/100엔




운전자금


우리은행


700,000,000


2012-10-18


700,000,000


-


700,000,000


-




무역금융


우리은행


2,300,000,000


2012-10-18


2,300,000,000


-


2,300,000,000


-




신용카드채권


우리은행


50,000,000


2012-10-23


50,000,000


-


50,000,000


-




무역금융


신한은행


1,800,000,000


2012-10-16


1,800,000,000


-


1,800,000,000


-




무역금융


신한은행


1,000,000,000


2012-10-15


1,000,000,000


-


1,000,000,000


10/16 기신고분




신용카드채권


외환신용카드


49,000,000


2012-10-24


49,000,000


-


49,000,000


-




금융리스


한국캐피탈


1,277,713,769


2012-10-22


1,277,713,769


-


1,277,713,769


-




일반대


신한은행


1,017,130,571


2012-10-18


1,017,130,571


-


1,017,130,571


-




무역금융


하나은행


1,500,000,000


2012-10-18


1,500,000,000


-


1,500,000,000


-




수출보증


우리은행


267,394,618


2012-10-18


267,394,618


-


267,394,618


-




유산스


우리은행


1,989,456,895


2012-10-18


1,989,456,895


-


1,989,456,895


-




신주인수권부사채


수성기술외


4,200,000,000


2012-10-18


4,200,000,000


-


4,200,000,000


-




P-CBO


신한금융투자


2,500,000,000


2012-10-18


2,500,000,000


-


2,500,000,000


-




P-CBO


대우증권


1,400,000,000


2012-10-18


1,400,000,000


-


1,400,000,000


-




보험대출


삼성화재


120,000,000


2012-10-18


120,000,000


-


120,000,000


-




보험대출


LIG손해보험


464,800,000


2012-10-18


464,800,000


-


464,800,000


-




신용카드


신한은행


5,000,000


2012-11-01


5,000,000


-


5,000,000


신용카드한도금액임




신용카드


국민은행


30,000,000


2012-10-25


30,000,000


-


30,000,000


신용카드한도금액임




신용카드


농협은행


20,000,000


2012-10-23


20,000,000


-


20,000,000


신용카드한도금액임




신용카드


하나은행


10,000,000


2012-10-23


10,000,000


-


10,000,000


신용카드한도금액임




신용카드


삼성카드


20,000,000


2012-10-18


20,000,000


-


20,000,000


신용카드한도금액임







",https://kind.krx.co.kr/external/2012/11/22/000207/20121121000041/70345.htm
2,엘컴텍,037950,2012-10-31 18:06,"





:: 70345_대출원리금 연체사실 발생







정정신고(보고)




정정일자


2012-10-31








1. 정정관련 공시서류


대출원리금 연체사실 발생




2. 정정관련 공시서류제출일


2012-10-16




3. 정정사유


연체발생일자 및 금액 오기




4. 정정사항




정정항목


정정전


정정후




2. 대출원리금 연체금액


대출금(원) : 6,703,053,830
            이자(원) : 295,219,979
            합계(원) : 6,998,273,809
            자기자본(원) : 60,580,103,238
            자기자본대비(%) : 11.55


대출금(원) : 4,874,990,000
            이자(원) : 196,036,672
            합계(원) : 5,071,026,672
            자기자본(원) : 60,580,103,238
            자기자본대비(%) : 8.37




2. 연체발생일자


2012-10-15


2012-10-02








최초로 자기 자본의 5%를 넘어서는 대출금액(4,874,990,000원, 8.05%)의 연체가 발생된 시점은 2012년 10월 2일이므로 날짜를 정정하고, 발생 당시의 연체금액을 기재함.









대출원리금 연체사실 발생








1. 대출원리금 연체금액


대출금(원)


4,874,990,000




이자(원)


196,036,672




합계(원)


5,071,026,672




자기자본(원)


60,580,103,238




자기자본대비(%)


8.37




대기업 여부


해당




2. 연체 발생일자


2012-10-02




3. 연체사유 및 대책


- 최근 자회사 매각잔금 지연입금과 자금조달의 어려움
         - 매출대금 조기회수, 자회사 매각잔금 일부 조기회수, 금융기관과 다각적인 연장등을 협의하고 있습니다.




4. 기타 투자판단에 참고할 사항


- 상기 자기자본은 2011년말 자기자본에서 현재까지
           자본금과 자본잉여금을 가감한 금액입니다.




※관련공시


-




[대출원리금 연체 내역]




대출종류


대출기관


대출금(원)


연체 발생일자


연체금액(원)


비고




원금(원)


이자(원)


합계(원)




구매론


국민은행


500,000,000


2012-10-02


500,000,000


142,437


500,142,437


-




구매론


국민은행


724,363,830


2012-10-15


724,363,830


3,300,625


727,664,455


-




무역금융


국민은행


103,700,000


2012-10-12


103,700,000


479,179


104,179,179


-




무역금융


국민은행


-


2012-10-15


-


139,526


139,526


-




무역금융


산업은행


-


2012-10-02


-


165,380,707


165,380,707


-




무역금융


산업은행


-


2012-10-04


-


440,350


440,350


-




무역금융


산업은행


-


2012-10-08


-


30,143,533


30,143,533


-




무역금융


산업은행


-


2012-10-10


-


2,475,123


2,475,123


-




무역금융


산업은행


-


2012-10-12


-


2,934,246


2,934,246


-




무역금융


산업은행


-


2012-10-15


-


42,921,924


42,921,924


-




무역금융


신한은행


1,000,000,000


2012-10-15


1,000,000,000


5,356,667


1,005,356,667


-




시설대


산업은행


199,990,000


2012-10-02


199,990,000


4,639,967


204,629,967


-




운영자금


산업은행


4,175,000,000


2012-10-02


4,175,000,000


25,873,561


4,200,873,561


-




일반대


신한은행


-


2012-10-15


-


10,992,134


10,992,134


-







",https://kind.krx.co.kr/external/2012/10/31/000489/20121031000938/70345.htm
3,엘컴텍,037950,2012-10-16 17:47,"





:: 70345_대출원리금 연체사실 발생








대출원리금 연체사실 발생








1. 대출원리금 연체금액


대출금(원)


6,703,053,830




이자(원)


295,219,979




합계(원)


6,998,273,809




자기자본(원)


60,580,103,238




자기자본대비(%)


11.55




대기업 여부


해당




2. 연체 발생일자


2012-10-15




3. 연체사유 및 대책


- 최근 자회사 매각잔금 지연입금과 자금조달의 어려움
         - 매출대금 조기회수, 자회사 매각잔금 일부 조기회수, 금융기관과 다각적인 연장등을 협의하고 있습니다.




4. 기타 투자판단에 참고할 사항


- 상기 자기자본은 2011년말 자기자본에서 현재까지
           자본금과 자본잉여금을 가감한 금액입니다.




※관련공시


-




[대출원리금 연체 내역]




대출종류


대출기관


대출금(원)


연체 발생일자


연체금액(원)


비고




원금(원)


이자(원)


합계(원)




구매론


국민은행


500,000,000


2012-10-02


500,000,000


142,437


500,142,437


-




구매론


국민은행


724,363,830


2012-10-15


724,363,830


3,300,625


727,664,455


-




무역금융


국민은행


103,700,000


2012-10-12


103,700,000


479,179


104,179,179


-




무역금융


국민은행


-


2012-10-15


-


139,526


139,526


-




무역금융


산업은행


-


2012-10-02


-


165,380,707


165,380,707


-




무역금융


산업은행


-


2012-10-04


-


440,350


440,350


-




무역금융


산업은행


-


2012-10-08


-


30,143,533


30,143,533


-




무역금융


산업은행


-


2012-10-10


-


2,475,123


2,475,123


-




무역금융


산업은행


-


2012-10-12


-


2,934,246


2,934,246


-




무역금융


산업은행


-


2012-10-15


-


42,921,924


42,921,924


-




무역금융


신한은행


1,000,000,000


2012-10-15


1,000,000,000


5,356,667


1,005,356,667


-




시설대


산업은행


199,990,000


2012-10-02


199,990,000


4,639,967


204,629,967


-




운영자금


산업은행


4,175,000,000


2012-10-02


4,175,000,000


25,873,561


4,200,873,561


-




일반대


신한은행


-


2012-10-15


-


10,992,134


10,992,134


-







",https://kind.krx.co.kr/external/2012/10/16/000386/20121016000389/70345.htm
4,렉스엘이앤지,004790,2012-10-05 17:11,"





:: 70345_대출원리금 연체사실 발생








대출원리금 연체사실 발생








1. 대출원리금 연체금액


대출금(원)


5,970,000,000




이자(원)


109,838,166




합계(원)


6,079,838,166




자기자본(원)


25,480,101,337




자기자본대비(%)


23.86




대기업 여부


미해당




2. 연체 발생일자


2012-09-17




3. 연체사유 및 대책


- 당사 매출관련하여 미수금의 회수가 늦어져 당사에 현금 유동성이 어려움을 격고 있는 상태입니다.
         - 현재 연장 및 이자율 관련하여 은행과 협의중에 있습니다.




4. 기타 투자판단에 참고할 사항


상기 자기자본 금액은 2011년말 기준임




※관련공시


-




[대출원리금 연체 내역]




대출종류


대출기관


대출금(원)


연체 발생일자


연체금액(원)


비고




원금(원)


이자(원)


합계(원)




일반운전자금대출


국민은행


4,280,000,000


2012-09-17


4,280,000,000


92,193,502


4,372,193,502


-




일반운전자금대출


국민은행


1,690,000,000


2012-09-17


1,690,000,000


17,644,664


1,707,644,664


-







",https://kind.krx.co.kr/external/2012/10/05/000432/20121005000905/70345.htm
5,제이브이엠,054950,2012-10-04 17:24,"





:: 70183_벌금등의부과








벌금 등의 부과








1. 벌금 등 부과내역


종류


추징금




부과금액(원)


2,638,525,562




납부기한


2012년 10월 31일




자기자본(원)


68,681,085,476




자기자본대비(%)


3.84




대기업해당여부


해당




2. 부과기관


대구지방국세청




3. 부과사유


법인세 통합조사(2008년01월~2010년12월)




4. 향후대책


납부기한 내에 납부 예정




5. 확인(통지서접수)일자


2012-10-04




6. 기타 투자판단에 참고할 사항


- 상기 자기자본은 2011년 12월 31일 자기자본임.
         - 상기 확인일자는 세무조사결과통지서 수령일임.
         - 상기 금액은 세무조사결과통지서상의 금액임.




※관련공시


-







",https://kind.krx.co.kr/external/2012/10/04/000293/20120919000008/70183.htm
6,유아이에너지,050050,2012-09-14 17:07,"





:: 70643_회계처리기준위반행위로인한증권선물위원회의검찰고발등







정정신고(보고)




정정일자


2012-09-14








1. 정정관련 공시서류


회계처리기준 위반행위로 인한 증권선물위원회의 검찰고발 등




2. 정정관련 공시서류제출일


2012-05-15




3. 정정사유


이의신청에 대한 조건부 일부인용에 따른 변경




4. 정정사항




정정항목


정정전


정정후




2. 감리(조사) 지적사항


(주)유아이에너지는 제21기(2007.1.1~2007.12.31)부터 제25기 3분기(2011.1.1~2011.9.30)까지의 재무제표를 작성,공시함에 있어 [주식회사의 외부감사에 관한 법률] 및 [자본시장과 금융투자업에 관한 법률]을 위반함


(주)유아이에너지는 제23기(2009.1.1~2009.12.31)부터 제25기 3분기(2011.1.1~2011.9.30)까지의 재무제표를 작성,공시함에 있어 [주식회사의 외부감사에 관한 법률] 및 [자본시장과 금융투자업에 관한 법률]을 위반함




4. 조치결정일


2012-05-09


2012-09-10




6. 조치사실 확인일


2012-05-15


2012-09-14








-









회계처리기준 위반행위로 인한 증권선물위원회의 검찰고발 등








1. 조치대상자


(주)유아이에너지


회사와의 관계


본인




2. 감리(조사) 지적사항


(주)유아이에너지는 제23기(2009.1.1~2009.12.31)부터 제25기 3분기(2011.1.1~2011.9.30)까지의 재무제표를 작성,공시함에 있어 [주식회사의 외부감사에 관한 법률] 및 [자본시장과 금융투자업에 관한 법률]을 위반함




3. 증권선물위원회 조치내용


- (주)유아이에너지는 12개월간(2012.5.9~2013.5.8) [자본시장과 금융투자업에 관한 법률]상의 증권을 발행할 수 없다.
         다만, 조치일 현재 이사회 결의에 의하여 발행이 확정된 증권, 증권의 사모발행(채권자 출자전환 포함), 기발행 사채의 상환을 위한 회사채 발행 및 해외증권 발행은 제외한다.
         
- (주)유아이에너지는 2012회계연도부터 2014회계연도(2012.1.1~2014.12.31)까지 증권선물위원회가 지정하는 감사인으로부터 외부감사를 받아야 한다.
         
- (주)유아이에너지의 주주총회에 대하여 대표이사 최규선 및 담당임원 염조일을 임원에서 해임할 것을 권고한다.
         
- (주)유아이에너지는 지적사항을 회계장부 및 조치후 제출할 재무제표에 반영하여야 한다.
         
- 검찰고발(회사, 대표이사, 담당임원)




4. 조치결정일


2012-09-10




5. 향후대책


관련기관과 협의하여 적절한 조치를 취할 예정입니다.




6. 조치사실 확인일


2012-09-14




7. 기타 투자판단에 참고할 사항


- 본 공시는 2011년 11월 09일 분식회계설 관련 조회공시요구(풍문또는보도)에 대한 답변(미확정)의 확정 답변입니다.
         -상기 조치사실 확인일은 당사가 본 조치통보서를 수령한 일자 입니다.




※관련공시


2011.11.09 조회공시요구(풍문또는보도) (분식회계설)
         2011.11.10 조회공시요구(풍문또는보도)에대한답변(미확정)
         2011.12.09 조회공시요구(풍문또는보도)에대한답변(미확정)
         2012.01.09 조회공시요구(풍문또는보도)에대한답변(미확정)
         2012.04.09 조회공시요구(풍문또는보도)에대한답변(미확정)
         2012.05.09 기타시장안내 (상장폐지실질심사 관련)
         2012.05.15 회계처리기준위반행위로인한증권선물위원회의검찰고발등







",https://kind.krx.co.kr/external/2012/09/14/000326/20120914000448/70643.htm
7,큐리어스,045050,2012-09-04 15:14,"





:: 70643_회계처리기준위반행위로인한증권선물위원회의검찰고발등








회계처리기준 위반행위로 인한 증권선물위원회의 검찰고발 등








1. 조치대상자


(주)큐리어스


회사와의 관계


본인




2. 감리(조사) 지적사항


(주)큐리어스는 제24기(2011.1.1~2011.12.31)부터 제25기 1분기(2012.1.1~2012.3.31)까지의 재무제표를 작성,공시함에 있어 [주식회사의 외부감사에 관한 법률] 및 [자본시장과 금융투자업에 관한 법률]을 위반함




3. 증권선물위원회 조치내용


- (주)큐리어스에 대하여 과징금 221,700,000원을 부과한다.
         
- (주)큐리어스는 2013회계연도(2013.1.1~2013.12.31)부터 2015회계연도(2015.1.1~2015.12.31)까지 증권선물위원회가 지정하는 감사인으로부터 외부감사를 받아야 한다.
         

- (주)큐리어스의 주주총회에 대하여 대표이사 조도형을 임원에서 해임할 것을 권고한다.
          




4. 조치결정일


2012-08-29




5. 향후대책


관련기관과 협의하여 적절한 조치를 취할 예정입니다.




6. 조치사실 확인일


2012-09-04




7. 기타 투자판단에 참고할 사항



- 상기 조치사실 확인일은 당사가 본 조치통보서를 수령한 일자 입니다.




※관련공시


- 2012.06.21 조회공시요구(풍문또는보도) (횡령설)
         - 2012.06.21 조회공시요구(풍문또는보도)에대한답변(미확정)
         - 2012.07.20 조회공시요구(풍문또는보도)에대한답변(미확정)
         - 2012.08.20 조회공시요구(풍문또는보도)에대한답변(미확정)
         - 2012.08.29 기타시장안내 (상장폐지실질심사 관련)







",https://kind.krx.co.kr/external/2012/09/04/000173/20120904000290/70643.htm
8,오스템임플란트,048260,2012-08-16 17:25,"





:: 70183_벌금등의부과








벌금 등의 부과








1. 벌금 등 부과내역


종류


추징금




부과금액(원)


2,391,068,230




납부기한


2012년 8월 31일 까지




자기자본(원)


72,784,673,669




자기자본대비(%)


3.28




대기업해당여부


해당




2. 부과기관


금천세무서




3. 부과사유


-.07년~10년 법인제세 세무조사건에 대한 감사원의 시정요구건에 대한 추징




4. 향후대책


□ 상기 자기자본은 2011년도말 기준 임.
         
□ 상기 확인일자는 납부통지서 수령일 임.
         
□ 당사는 과세의 공평성을 저해하거나 조세회피행위 등
            부당성이 없었으므로,적극적인 대책을 마련할 예정 임.




5. 확인(통지서접수)일자


2012-08-16




6. 기타 투자판단에 참고할 사항


-




※관련공시


-







",https://kind.krx.co.kr/external/2012/08/16/000345/20120816000110/70183.htm
9,엔케이바이오,019260,2012-08-14 17:09,"





:: 70008_횡령ㆍ배임 혐의발생








횡령ㆍ배임 혐의발생








1. 사고발생내용


1. 전 대표이사 윤병규, 김영주, 김송락의 업무상 횡령.배임혐의 발생
         
2. 전 대표이사 윤병규, 김영주, 주식회사 에너지드림 대표이사 손광수, 전대표이사 안효득의 업무상 횡령.배임혐의 발생




2. 횡령 등 금액


발생금액(원)


5,550,000,000




자기자본(원)


45,404,978,724




자기자본대비(%)


12.22




대기업해당여부


미해당




3. 향후대책


- 수원지방검찰청 성남지청에 형사고소 하였으며, 민사 손해배상청구의 소를 향후 진행하기 위해 검토중에 있습니다.




4. 사고발생일자


-




5. 확인일자


2012-08-14




6. 기타 투자판단에 참고할 사항


- 상기 공시내용은 2건의 횡령.배임혐의 발생건 임.
           1. 횡령금액 : 1,050,000,000원
           2. 횡령금액 : 4,500,000,000원
         
- 위 혐의발생 금액은 공시일 현재까지 확인된 바에따른 추정금액이며, 정확한 금액은 추후 확정될 것으로 예상됩니다.
         
- 사고발생일자는 현재 확인중 입니다.
         
- 상기 자기자본은 2011.12.31. 기준으로 작성하였습니다.




※관련공시


-







",https://kind.krx.co.kr/external/2012/08/14/001695/20120814004299/70008.htm
