회사명,거래소코드,회계년도,발행종류
(주)CMG제약,058820,2000/12,
(주)CMG제약,058820,2001/12,
(주)CMG제약,058820,2002/12,
(주)CMG제약,058820,2003/12,
(주)CMG제약,058820,2004/12,
(주)CMG제약,058820,2005/12,
(주)CMG제약,058820,2006/12,
(주)CMG제약,058820,2007/12,
(주)CMG제약,058820,2008/12,20
(주)CMG제약,058820,2008/12,10
(주)CMG제약,058820,2009/12,10
(주)CMG제약,058820,2009/12,20
(주)CMG제약,058820,2009/12,10
(주)CMG제약,058820,2010/12,20
(주)CMG제약,058820,2010/12,10
(주)CMG제약,058820,2010/12,10
(주)CMG제약,058820,2011/12,20
(주)CMG제약,058820,2012/12,20
(주)CMG제약,058820,2013/12,20
(주)CMG제약,058820,2014/12,20
(주)CMG제약,058820,2015/12,
(주)CMG제약,058820,2016/12,
(주)CMG제약,058820,2017/12,
(주)CMG제약,058820,2018/12,
(주)CMG제약,058820,2019/12,
(주)CMG제약,058820,2020/12,
(주)ES큐브,050120,2001/06,
(주)ES큐브,050120,2002/06,
(주)ES큐브,050120,2003/06,
(주)ES큐브,050120,2004/06,10
(주)ES큐브,050120,2005/12,10
(주)ES큐브,050120,2006/12,20
(주)ES큐브,050120,2006/12,10
(주)ES큐브,050120,2007/12,
(주)ES큐브,050120,2008/12,20
(주)ES큐브,050120,2009/12,20
(주)ES큐브,050120,2010/12,20
(주)ES큐브,050120,2011/12,
(주)ES큐브,050120,2012/12,
(주)ES큐브,050120,2013/12,
(주)ES큐브,050120,2014/12,
(주)ES큐브,050120,2015/12,
(주)ES큐브,050120,2016/12,
(주)ES큐브,050120,2017/12,
(주)ES큐브,050120,2018/12,10
(주)ES큐브,050120,2019/12,10
(주)ES큐브,050120,2019/12,10
(주)ES큐브,050120,2019/12,10
(주)ES큐브,050120,2020/12,10
(주)ES큐브,050120,2020/12,10
(주)ES큐브,050120,2020/12,10
(주)가비아,079940,2002/12,
(주)가비아,079940,2003/12,
(주)가비아,079940,2004/12,
(주)가비아,079940,2005/12,
(주)가비아,079940,2006/12,
(주)가비아,079940,2007/12,10
(주)가비아,079940,2008/12,10
(주)가비아,079940,2009/12,20
(주)가비아,079940,2010/12,20
(주)가비아,079940,2011/12,20
(주)가비아,079940,2012/12,
(주)가비아,079940,2013/12,
(주)가비아,079940,2014/12,
(주)가비아,079940,2015/12,
(주)가비아,079940,2016/12,
(주)가비아,079940,2017/12,
(주)가비아,079940,2018/12,
(주)가비아,079940,2019/12,
(주)가비아,079940,2020/12,
(주)강스템바이오텍,217730,2013/12,
(주)강스템바이오텍,217730,2014/12,
(주)강스템바이오텍,217730,2015/12,
