,회사명,거래소코드,공시발생일,공시제목,text,link
0,골드앤에스,035290,2002-12-30 14:53,회계추정변경결정,"








회계추정 변경




1. 변경대상
무형자산 중 사용수익권의 상각기간 변경


2. 변경내용


   가. 변경전
무형자산 중 사용수익권의 상각기간을 5년으로 함


   나. 변경후
무형자산 중 사용수익권의 상각기간을 개별 사용수익권의 계약기간으로 함


3. 변경기준일
2002년 01월 01일


4. 변경사유(이유, 근거)
사용수익권의 계약기간내 상각 추정으로 인하여 합리적 수익,비용간의 기간대응 가능


5. 손익에 미치는 영향
(1) 상각기간 변경 전 2002년 무형자산(사용수익권) 상각 추정액 : 41억 5천 7백만원(2) 상각기간 변경 후 2002년 무형자산(사용수익권) 상각 추정액 : 108억 6천 8백만원(3) 상각기간 변경으로 인한 2002년 무형자산(사용수익권) 추가 상각 추정액 : 67억 1천 1백만원


6. 변경일(이사회결의일)
2002년 12월 30일


   - 사외이사 참석여부
참석(명)
0
불참(명)
1


   - 감사 참석여부
참석


7. 기타
(1) 상기 회계추정의 변경으로 인하여 발생하는 2002 사업년도 추가손실에 대한 추정금액은 당사의 감사법인인 삼일회계법인의 감사결과에 따라 변경될 수 있습니다.(2) 당사는 상기 회계추정의 변경으로 인하여 2003 사업년도부터 손익의 개선효과를 기대하고 있습니다.





",https://kind.krx.co.kr/external/2002/12/30/K00086/00000000164157/96007_00462.htm
1,CL,035710,2002-12-27 16:04,회계정책변경결정,"








회계처리기준 변경




1. 변경대상
상품매출 총액 인식기준 변경


2. 변경내용


   가. 변경전
총액매출인식 : 당사가 판매하는 상품의 판매가액 총액을 수익으로계상


   나. 변경후
수수료 매출인식 : 당사가 타인의 대리인 역할을 수행하여 상품을 판매하는 경우, 판매총액이 아닌 수수료만을 수익으로 계상


3. 변경기준일
2003년 01월 01일


4. 변경사유(이유, 근거)
기업회계기준서 제4호(수익인식)A34에의거 수익인식기준 변경(2002년 12월31일 이후 최초로 개시하는 회계년도부터 적용)


5. 손익에 미치는 영향
 영업이익 영향없음


6. 변경일(이사회결의일)
2002년 12월 27일


   - 사외이사 참석여부
참석(명)
-
불참(명)
0


   - 감사 참석여부
불참


7. 기타
-





",https://kind.krx.co.kr/external/2002/12/27/K00105/00000000163741/95772_00461.htm
2,소프트센,032680,2002-12-27 15:10,회계정책변경결정,"








회계처리기준 변경




1. 변경대상
재고자산평가방법,투자유가증권중 중대한 영향력을 행사할수있는 회사의 평가방법


2. 변경내용


   가. 변경전
재고자산평가방법:선입선출법투자유가증권중 중대한 영향력을 행사할수있는회사의평가방법:일부 원가법


   나. 변경후
재고자산평가방법:이동평균법투자유가증권중 중대한 영향력을 행사할수있는 회사의평가방법:전부지분법


3. 변경기준일
2001년 10월 01일


4. 변경사유(이유, 근거)
새로운 전산시스템(ERP)전산처리방법의 변경해석적용사례 2002-6


5. 손익에 미치는 영향
재고자산평가방법:607,732천원은 전진적으로 매출원가에서 차감반영투자유가증권중 중대한 영향력을 행사할수있는회사의평가방법:지분법평가손실 510,075천원,투자유가증권평가손실(자본조정)276,915천원변경전 당기순손실 : 5,302,997천원변경후 당기순손실 : 5,205,340천원매출액대비 변경손실비율 : 0.16%   


6. 변경일(이사회결의일)
-


   - 사외이사 참석여부
참석(명)
-
불참(명)
-


   - 감사 참석여부
불참


7. 기타
-





",https://kind.krx.co.kr/external/2002/12/27/K00080/00000000163696/95751_00461.htm
3,CJ,ENM,2002-12-27 13:55,회계정책변경결정,"








회계처리기준 변경




1. 변경대상
상품매출총액 인식기준 변경


2. 변경내용


   가. 변경전
총액매출인식: 당사가 판매하는 상품의 판매가액 총액을 수익으로 계상 


   나. 변경후
수수료매출인식: 당사가 타인의 대리인 역할을 수행하여 상품을 판매                     하는 경우 판매총액이 아닌 수수료만을 수익으로 계상 


3. 변경기준일
2003년 01월 01일


4. 변경사유(이유, 근거)
'수익인식'에 관한 기업회계기준서 제정에 따른 변경(2002.12.31 이후 최초로 개시하는 회계연도부터 적용)


5. 손익에 미치는 영향
외형매출 감소, 영업이익 영향 없음


6. 변경일(이사회결의일)
2002년 12월 27일


   - 사외이사 참석여부
참석(명)
1
불참(명)
0


   - 감사 참석여부
불참


7. 기타
-





",https://kind.krx.co.kr/external/2002/12/27/K00056/00000000163656/95726_00461.htm
4,엔피케이,048830,2002-12-27 11:19,회계정책변경결정,"








회계처리기준 변경




1. 변경대상
유형자산의 감가상각방법과 내용연수


2. 변경내용


   가. 변경전
기계장치- 정율법, 7년


   나. 변경후
기계장치- 정액법, 10년


3. 변경기준일
2002년 01월 01일


4. 변경사유(이유, 근거)
① 대규모 신규시설투자에 의한 합리적비용 배분② 임가공 납품업체인 엘지화학과의 감가상각방법 차이로 인한    단가결정의 어려움 해소


5. 손익에 미치는 영향
120백만원 당기순이익 증가 (추정)이익잉여금 667백만원 증가 (추정)


6. 변경일(이사회결의일)
2002년 12월 27일


   - 사외이사 참석여부
참석(명)
1
불참(명)
-


   - 감사 참석여부
참석


7. 기타
※ 손익에 미치는 영향은 감사결과 변경될수 있음※ 내용연수는 회계추정변경 내용에 해당.





",https://kind.krx.co.kr/external/2002/12/27/K00034/00000000163613/95700_00461.htm
5,인터파크,035080,2002-12-26 18:01,회계추정변경결정,"








회계추정 변경




1. 변경대상
고정자산의 감가상각 방법 변경


2. 변경내용


   가. 변경전
반기상각


   나. 변경후
월할상각


3. 변경기준일
2002년 01월 01일


4. 변경사유(이유, 근거)
수익과 비용의 적절한 대응 및 거래의 실질과 경제적 사실을 보다 정확하게 재무제표에 반영함


5. 손익에 미치는 영향
2002년 12월 31일 현재 감가상각기간 변경이 손익에 미치는 영향- 반기상각 감가상각비 : 198,687,563원- 월할상각 감가상각비 : 137,862,444원- 차이금액 : 60,825,119원(감가상각비용 감소)


6. 변경일(이사회결의일)
2002년 12월 26일


   - 사외이사 참석여부
참석(명)
-
불참(명)
-


   - 감사 참석여부
불참


7. 기타
2002년1월~11월말까지의 매입자산이며, 이후 자산증가가 없는 것으로 가정하여 12월말 현재 감가상각비를 산출하였음





",https://kind.krx.co.kr/external/2002/12/26/K00162/00000000163466/95587_00462.htm
6,인터파크,035080,2002-12-26 18:01,회계정책변경결정,"








회계처리기준 변경




1. 변경대상
당사 상품 판매분에 대한 매출인식 기준변경


2. 변경내용


   가. 변경전
총액매출인식    : 상품 판매의 경우, 판매가액 총액을 수익으로 계상


   나. 변경후
수수료매출인식 : 타인의 대리인 역할을 수행하여 상품을 판매하는 경우에                       판매가액이 아닌 판매수수료만을 수익으로 계상


3. 변경기준일
2003년 01월 01일


4. 변경사유(이유, 근거)
금융감독원의 2001년12월27일 수익인식기준서 제정에 따른 변경: 의무시행일 2002년12월31일 이후 최초로 개시하는 회계연도부터 적용


5. 손익에 미치는 영향
외형상 해당상품의 매출이 감소하나, 해당상품의 영업이익에는 영향 없음


6. 변경일(이사회결의일)
2002년 12월 26일


   - 사외이사 참석여부
참석(명)
-
불참(명)
-


   - 감사 참석여부
불참


7. 기타
-





",https://kind.krx.co.kr/external/2002/12/26/K00161/00000000163464/95586_00461.htm
7,GS홈쇼핑,028150,2002-12-18 18:02,회계정책변경결정,"








회계처리기준 변경




1. 변경대상
당사 상품 판매분 중 일부에 대한 매출인식 기준변경


2. 변경내용


   가. 변경전
당사의 상품 판매분 중 타인의 대리인 역할을 수행하여 재화를 판매하는 경우에 판매가액 총액을 수익으로 계상


   나. 변경후
위의 경우에 해당하는 경우, 판매수수료만을 수익으로 인식


3. 변경기준일
2003년 01월 01일


4. 변경사유(이유, 근거)
금융감독원의 2001년 12월 27일 수익인식기준서 제정(의무시행일 2002년 12월 31일 이후 최초로 개시하는 회계연도부터 적용)에 따른 변경


5. 손익에 미치는 영향
외형상 해당상품의 매출의 감소 /  해당상품의 영업이익 부분 영향 없음


6. 변경일(이사회결의일)
2002년 12월 17일


   - 사외이사 참석여부
참석(명)
3
불참(명)
0


   - 감사 참석여부
불참


7. 기타
-





",https://kind.krx.co.kr/external/2002/12/18/K00190/00000000162148/94700_00461.htm
8,농우바이오,054050,2002-12-16 17:46,회계정책변경결정,"








회계처리기준 변경




1. 변경대상
기타중요변경(투자유가증권)


2. 변경내용


   가. 변경전
원가법


   나. 변경후
지분법


3. 변경기준일
2001년 11월 01일


4. 변경사유(이유, 근거)
기업회계기준 제59조 규정에 의거


5. 손익에 미치는 영향
이익잉여금(회계변경누적효과) : 35,548,631원증가영업외수익(지분법평가이익) : 714,247,649원증가자본조정(투자유가증권평가이익) : 15,077,819원증가


6. 변경일(이사회결의일)
2002년 12월 16일


   - 사외이사 참석여부
참석(명)
-
불참(명)
-


   - 감사 참석여부
참석


7. 기타
-2002회계년도(2001.11-2002.10)의 외부감사과정에서 지분법 적용여부가 확정되어 이사회결의함.-상기의 금액은 외부감사를 마친 예측결과이나, 재무제표 확정시 약간의 변동이 있을 수 있음.





",https://kind.krx.co.kr/external/2002/12/16/K00174/00000000161249/94097_00461.htm
9,서호전기,065710,2002-12-13 14:19,회계추정변경결정,"








회계추정 변경




1. 변경대상
고정자산의 감가상각기간 변경


2. 변경내용


   가. 변경전
반년상각


   나. 변경후
월할상각


3. 변경기준일
2002년 01월 01일


4. 변경사유(이유, 근거)
  수익과 비용의 적절한 대응 및 거래의 실질과 경제적 사실을 보다 정확하게 재무제표에 반영하기 위함


5. 손익에 미치는 영향
2002년 12월 31일 현재 감가상각기간 변경이 손익에 미치는 영향반년상각 감가상각비 : 77,403,060원월할상각 감가상각비 : 72,228,805원차     이     금     액 :   5,174,255원


6. 변경일(이사회결의일)
2002년 12월 13일


   - 사외이사 참석여부
참석(명)
-
불참(명)
-


   - 감사 참석여부
참석


7. 기타
공시이후 신규취득자산 발생시 차이금액이 변경될 수 있습니다. 당사 자체결산의 결과이며 외부감사 후 변경사항이 발생하면 재공시 하겠습니다.





",https://kind.krx.co.kr/external/2002/12/13/K00113/00000000160457/93585_00462.htm
10,피에스엠씨,024850,2002-12-12 11:12,회계추정변경결정,"








회계추정 변경




1. 변경대상
신규취득자산 감가상각 방법 변경


2. 변경내용


   가. 변경전
정액법(반년할 상각)


   나. 변경후
정액법(월할상각)


3. 변경기준일
2002년 01월 01일


4. 변경사유(이유, 근거)
기간별 비용귀속의 적정성 및 수익과 비용을 보다 적절히 대응시키기 위함.


5. 손익에 미치는 영향
9월말 현재 당기말 감가상각비 109,869천원 감소 및 당기순이익 77,238천원 증가예상


6. 변경일(이사회결의일)
2002년 12월 11일


   - 사외이사 참석여부
참석(명)
2
불참(명)
-


   - 감사 참석여부
참석


7. 기타
-





",https://kind.krx.co.kr/external/2002/12/12/K00034/00000000159848/93176_00462.htm
11,보성파워텍,006910,2002-12-03 19:31,회계정책변경결정,"








회계처리기준 변경




1. 변경대상
투자유가증권(관계회사 주식)


2. 변경내용


   가. 변경전
원가법


   나. 변경후
지분법


3. 변경기준일
2001년 10월 01일


4. 변경사유(이유, 근거)
회사의 적정한 손익 회계처리


5. 손익에 미치는 영향
- 당기의 영향  경상이익 : 384,259,927원 감소  당기순이익  :  265,907,869 원 감소- 전기의 영향  경상이익 : 485,991,415원 감소  당기순이익  :  336,306,059 원 감소


6. 변경일(이사회결의일)
2002년 12월 03일


   - 사외이사 참석여부
참석(명)
0
불참(명)
1


   - 감사 참석여부
참석


7. 기타
- 당사 자체 결산시 위와 같이 적용하였으며, 외부감사인의 과정에서 지분법 적용 여부가 최종적으로 결정 될 것이며,변동사항 발생시 재공시 하겠습니다.





",https://kind.krx.co.kr/external/2002/12/03/K00172/00000000157804/91827_00461.htm
12,SGA,049470,2002-11-13 11:00,회계추정변경결정,"








회계추정 변경




1. 변경대상
고정자산(유형자산) 감가상각 방법 변경


2. 변경내용


   가. 변경전
반기상각


   나. 변경후
월할상각


3. 변경기준일
2002년 01월 01일


4. 변경사유(이유, 근거)
1. 기간별 비용귀속의 적정성 확보2. 세무회계와 재무회계의 차이 최소화


5. 손익에 미치는 영향
9월말 현재 감가상각 방법 변경이 손익에 미치는 영향반기상각 감가상각비 : 201,957,954원월할상각 감가상각비 : 173,740,203원차                    이  :  28,217,751원


6. 변경일(이사회결의일)
2002년 11월 13일


   - 사외이사 참석여부
참석(명)
0
불참(명)
0


   - 감사 참석여부
참석


7. 기타
-





",https://kind.krx.co.kr/external/2002/11/13/K00053/00000000153339/88600_00462.htm
13,대림제지,017650,2002-11-01 12:02,회계추정변경결정,"








회계추정 변경




1. 변경대상
신규취득자산 감가상각 방법 변경


2. 변경내용


   가. 변경전
정액법(반년상각)


   나. 변경후
정액법(월할상각)


3. 변경기준일
2002년 01월 01일


4. 변경사유(이유, 근거)
거래의 실질과 경제적 사실을 정확하게 재무제표에 반영하고 수익과 비용을 보다 적절히 대응시키기 위함


5. 손익에 미치는 영향
당기 (2002년12월31일현재) 손익계산서에 감가상각비 10,559,233원 감소 및 당기순이익 10,559,233원 증가예상


6. 변경일(이사회결의일)
2002년 11월 01일


   - 사외이사 참석여부
참석(명)
1
불참(명)
-


   - 감사 참석여부
참석


7. 기타
-





",https://kind.krx.co.kr/external/2002/11/01/K00077/00000000150730/86619_00462.htm
14,정원엔시스,045510,2002-09-30 11:44,[정정]회계정책변경결정,"








정 정 신 고 (보고)






2002년 09월 30일




1. 정정대상 공시서류 : 회계처리기준 변경 건

2. 정정대상 공시서류의 최초제출일 : 2002년 9월 30일 

3. 정정사유 : 오기

4. 정정사항


항  목
정정전
정정후


3.변경기준일 
2002년 09월 30일 
2002년 01월 01일 




회계처리기준 변경




1. 변경대상
재고자산평가방법


2. 변경내용


   가. 변경전
원재료 - 이동평균법 / 상품및 제품 - 후입선출법


   나. 변경후
원재료 - 선입선출법 / 상품및 제품 - 선입선출법


3. 변경기준일
2002년 01월 01일


4. 변경사유(이유, 근거)
경기 여건 변동으로 인한 적정 재무제표 표시


5. 손익에 미치는 영향
당기:당기 손익계산서에 매출원가 33,998,714원 증가 예상됨(추정치)


6. 변경일(이사회결의일)
2002년 09월 30일


   - 사외이사 참석여부
참석(명)
1
불참(명)
-


   - 감사 참석여부
참석


7. 기타
-





",https://kind.krx.co.kr/external/2002/09/30/K00022/00000000144743/82666_00461.htm
15,유니셈,036200,2002-09-30 11:36,회계정책변경결정,"








회계처리기준 변경




1. 변경대상
재고자산등 평가방법


2. 변경내용


   가. 변경전
선입선출법


   나. 변경후
총평균법


3. 변경기준일
2002년 01월 01일


4. 변경사유(이유, 근거)
당사 원재료 소요의 소액화, 다품종화 및 주문형 제품생산으로 인한 정확한 제조원가 및 재고자산 단가를 산정키 위함.


5. 손익에 미치는 영향
 -


6. 변경일(이사회결의일)
2002년 09월 28일


   - 사외이사 참석여부
참석(명)
 -
불참(명)
 -


   - 감사 참석여부
참석


7. 기타
 -





",https://kind.krx.co.kr/external/2002/09/30/K00019/00000000144741/82665_00461.htm
16,정원엔시스,045510,2002-09-30 11:25,회계정책변경결정,"








회계처리기준 변경




1. 변경대상
재고자산평가방법


2. 변경내용


   가. 변경전
원재료 - 이동평균법 / 상품및 제품 - 후입선출법


   나. 변경후
원재료 - 선입선출법 / 상품및 제품 - 선입선출법


3. 변경기준일
2002년 09월 30일


4. 변경사유(이유, 근거)
경기 여건 변동으로 인한 적정 재무제표 표시


5. 손익에 미치는 영향
당기:당기 손익계산서에 매출원가 33,998,714원 증가 예상됨(추정치)


6. 변경일(이사회결의일)
2002년 09월 30일


   - 사외이사 참석여부
참석(명)
1
불참(명)
-


   - 감사 참석여부
참석


7. 기타
-





",https://kind.krx.co.kr/external/2002/09/30/K00013/00000000144727/82656_00461.htm
17,이지홀딩스,035810,2002-09-13 15:59,회계정책변경결정,"








회계처리기준 변경




1. 변경대상
재고자산 평가방법(원재료, 제품, 상품, 저장품, 반제품 및 재공품)


2. 변경내용


   가. 변경전
선입선출법


   나. 변경후
이동평균법


3. 변경기준일
2002년 01월 01일


4. 변경사유(이유, 근거)
ERP System 구축으로 인한 재고자산 평가방법의 변경


5. 손익에 미치는 영향
-


6. 변경일(이사회결의일)
2002년 09월 13일


   - 사외이사 참석여부
참석(명)
-
불참(명)
-


   - 감사 참석여부
참석


7. 기타
-





",https://kind.krx.co.kr/external/2002/09/13/K00065/00000000142263/81260_00461.htm
18,인바디,041830,2002-09-02 17:55,회계추정변경결정,"








회계추정 변경




1. 변경대상
유형자산(소프트웨어) 감가상각 내용연수 변경 


2. 변경내용


   가. 변경전
내용연수 1년 (비용처리)


   나. 변경후
내용연수 4년 (정율상각)


3. 변경기준일
2002년 01월 01일


4. 변경사유(이유, 근거)
100만원 이상의 자산성 있는 소프트웨어는 실질에 따라 감가상각 하기로 함


5. 손익에 미치는 영향
손익에 미치는 영향 없음


6. 변경일(이사회결의일)
2002년 09월 02일


   - 사외이사 참석여부
참석(명)
-
불참(명)
-


   - 감사 참석여부
참석


7. 기타
-





",https://kind.krx.co.kr/external/2002/09/02/K00107/00000000140024/79848_00462.htm
19,부산저축은행,007830,2002-08-21 13:57,회계정책변경결정,"








회계처리기준 변경




1. 변경대상
예금보험공사 예금보험료 비용인식시점 변경


2. 변경내용


   가. 변경전
예금보험공사 예금보험료 납부시 비용인식


   나. 변경후
예금보험공사 예금보험료 산정기준기간 비용인식(7월 1일부터 6월 30일)


3. 변경기준일
2001년 07월 01일


4. 변경사유(이유, 근거)
2002년 6월 5일자 본 건에 대한 모 화재보험사의 질의에 대한금융감독원의 답변 결과 기업회계기준서 제1호에 의거 회계정책의변경에 해당함


5. 손익에 미치는 영향
당 회사의 전기오류수정손실로 처리한 전기분 예금보험료 1,085,970천원을 전기재무제표상 예금보험료로 처리하고, 전기재무제표에 계상된 예금보험료 531,257천원을 전기이익잉여금의전기오류수정손실로 처리


6. 변경일(이사회결의일)
2002년 08월 20일


   - 사외이사 참석여부
참석(명)
3
불참(명)
-


   - 감사 참석여부
불참


7. 기타
-





",https://kind.krx.co.kr/external/2002/08/21/K00024/00000000138127/78628_00461.htm
20,대양제지,006580,2002-08-16 15:25,회계정책변경결정,"








회계처리기준 변경




1. 변경대상
재고자산(원재료, 제품, 상품, 저장품, 반제품및 재공품)의 평가방법


2. 변경내용


   가. 변경전
선입선출법


   나. 변경후
총평균법


3. 변경기준일
2002년 01월 01일


4. 변경사유(이유, 근거)
재고자산 평가방법 변경으로 업무의 효율성 증대와 합리화


5. 손익에 미치는 영향
재고자산 평가 방법 변경으로 경상이익이 약 19,854천원 증가 예상


6. 변경일(이사회결의일)
2002년 08월 14일


   - 사외이사 참석여부
참석(명)
1
불참(명)
-


   - 감사 참석여부
참석


7. 기타
-





",https://kind.krx.co.kr/external/2002/08/16/K00059/00000000137359/78137_00461.htm
21,토탈소프트,045340,2002-08-14 16:14,회계추정변경결정,"








회계추정 변경




1. 변경대상
 고정자산의 감가상각방법 (2002년 01월 01일 이후 취득한 고정자산에 한함)   


2. 변경내용


   가. 변경전
 반년상각


   나. 변경후
 월할상각


3. 변경기준일
2002년 01월 01일


4. 변경사유(이유, 근거)
 수익과 비용의 적절한 대응 및 거래의 실질과 경제적 사실을  보다 정확하게 재무제표에 반영


5. 손익에 미치는 영향
 당반기(2002년 06월 30일 현재) 손익계산서에 감가상각비  10백만원 감소


6. 변경일(이사회결의일)
2002년 08월 14일


   - 사외이사 참석여부
참석(명)
-
불참(명)
-


   - 감사 참석여부
참석


7. 기타
-





",https://kind.krx.co.kr/external/2002/08/14/K00378/00000000136787/77802_00462.htm
22,KH바텍,060720,2002-08-13 18:08,회계추정변경결정,"








회계추정 변경




1. 변경대상
신규취득자산  감가상각 방법


2. 변경내용


   가. 변경전
6개월단위상각


   나. 변경후
사용월수에 따른 월할상각


3. 변경기준일
2002년 01월 01일


4. 변경사유(이유, 근거)
거래의 실질과 경제적 사실을 정확하게 재무제표에 반영하고수익과 비용을 보다 적절하게 대응시키기 위해서 입니다.


5. 손익에 미치는 영향
2002년 반기말 현재 감가상각비는 148,320천원감소 및 당기순이익 108,156천원증가 


6. 변경일(이사회결의일)
2002년 08월 12일


   - 사외이사 참석여부
참석(명)
-
불참(명)
-


   - 감사 참석여부
불참


7. 기타
-





",https://kind.krx.co.kr/external/2002/08/13/K00313/00000000135975/77367_00462.htm
23,에프아이투어,047370,2002-08-13 16:12,회계추정변경결정,"








회계추정 변경




1. 변경대상
유형자산의 감가상각 방법


2. 변경내용


   가. 변경전
반년 상각


   나. 변경후
월할 상각


3. 변경기준일
2002년 06월 30일


4. 변경사유(이유, 근거)
기간손익의 배분을 보다 합리적으로 할 목적(법인세법 시행령 제26조 [상각범위액의 계산] ⑨에 의거)


5. 손익에 미치는 영향
당반기 감가상각비는 종전의 방법에 의할 경우보다 54백만원이 감소하며 반기순이익과 차기이월이익잉여금이 동액 만큼 증가


6. 변경일(이사회결의일)
2002년 08월 13일


   - 사외이사 참석여부
참석(명)
-
불참(명)
-


   - 감사 참석여부
참석


7. 기타
-





",https://kind.krx.co.kr/external/2002/08/13/K00217/00000000135752/77244_00462.htm
24,JS,037110,2002-08-13 15:58,회계추정변경결정,"








회계추정 변경




1. 변경대상
신규 취득자산의 감가상각 방법


2. 변경내용


   가. 변경전
6개월단위 상각


   나. 변경후
사용월수에 따른 월할상각


3. 변경기준일
2002년 01월 01일


4. 변경사유(이유, 근거)
거래의 실질과 경제적 사실을 정확하게 재무제표에 반영하고수익과 비용을 보다 적절히 대응시키기 위해서 입니다.


5. 손익에 미치는 영향
2002년 반기말 현재 감가상각비 27,555천원 감소 및 당반기순손실27,555천원 감소


6. 변경일(이사회결의일)
2002년 08월 13일


   - 사외이사 참석여부
참석(명)
0
불참(명)
2


   - 감사 참석여부
불참


7. 기타
-





",https://kind.krx.co.kr/external/2002/08/13/K00180/00000000135711/77222_00462.htm
25,인바디,041830,2002-08-13 15:04,회계추정변경결정,"








회계추정 변경




1. 변경대상
유ㆍ 무형 고정자산 감가상각방법(2002년 1월 1일 이후 취득, 처분한 유형고정자산에 한함)


2. 변경내용


   가. 변경전
반년상각


   나. 변경후
월할상각


3. 변경기준일
2002년 01월 01일


4. 변경사유(이유, 근거)
법인세법상의 감가상각 규정 변경에 따라 당기 중 취득, 처분하는 자산에 대하여 월할상각하는 것으로 감가상각 규정을 변경하였습니다.


5. 손익에 미치는 영향
2002년 반기말 현재 감가상각비 16,106,296원 감소 및 당반기순이익 16,106,296원 증가


6. 변경일(이사회결의일)
2002년 08월 13일


   - 사외이사 참석여부
참석(명)
-
불참(명)
-


   - 감사 참석여부
불참


7. 기타
-





",https://kind.krx.co.kr/external/2002/08/13/K00173/00000000135702/77215_00462.htm
26,상신브레이크,041650,2002-08-09 16:05,회계추정변경결정,"









회계추정 변경




1. 변경대상
신규취득자산 감가상각 방법   


2. 변경내용


   가. 변경전
6개월단위 상각


   나. 변경후
사용월수에 따른 월할상각


3. 변경기준일
2002년 01월 01일


4. 변경사유(이유, 근거)
거래의 실질과 경제적 사실을 정확하게 재무제표에 반영하고수익과 비용을 보다 적절히 대응시키기 위해서 입니다.


5. 손익에 미치는 영향
2002년 반기말 현재 감가상각비 249,531천원 감소 및 당반기순이익 249,531천원 증가


6. 변경일(이사회결의일)
2002년 08월 09일


   - 사외이사 참석여부
참석(명)
-
불참(명)
-


   - 감사 참석여부
불참


7. 기타
-





",https://kind.krx.co.kr/external/2002/08/09/K00114/00000000134875/76714_00462.htm
