,회사명,거래소코드,공시발생일,공시제목,text,link
0,에스비엠,037630,2002-11-18 15:24,생산중단,"








조업중단 등




1. 조업중단 내용
평택공장 화학소재 생산라인 일부 철거 및 매각


2. 조업중단 사업장
평택공장 PC SHEET 생산라인


3. 조업중단 사업장 생산액 (원)
371,000,000


   - 당해법인 직전사업연도말     총 생산액 (원)
4,956,442,913


   - 생산액 대비 (%)
7.48


4. 조업 중단일(기간)
2002년 11월 19일


5. 조업중단 사유
○ 화학소재 관련 생산일원화를 통한 경쟁력 강화    - 북경벤트리로 생산을 일원화함으로써 규모의 경제를       실현하고, 이를 통한 원가절감으로 시장경쟁력 강화○ 주력사업인 기능성식품 및 화장품 사업의 본격적인    마케팅 활동 추진에 따른 품질 및 재고관리 등을 위해    자체 물류창고의 확장 필요성


6. 조업개시 예정일
-


7. 조업중단으로 인한 영향
생산가의 절간으로 당기순이익 개선에 영향을 미칠 수 있음


8. 사후조치
북경 벤트리와의 화학소재 관련 제품 생산에 관한 협력 강화


9. 당해회사의 직전사업연도말   자산총액 (원)
41,987,851,883


10. 기타
○ 철거자산 내역    - 취득가액 : 341,638,118원(코팅라인외 6건)    - 매각대금 : 5,000,000원    - 고정자산처분손 : 41,074,103원○ 철거자산에 포함된 보일러, 콤퓨레샤 등은 재활용 예정○ 3항의 생산액은 2002년 9월말 당해제품의 매출액 기준임※ 이사회개최일 : 2002년 11월 16일





",https://kind.krx.co.kr/external/2002/11/18/K00086/00000000154963/89897_00241.htm
1,알티전자,032290,2002-11-14 14:57,생산중단,"








조업중단 등




1. 조업중단 내용
천안공장의   유휴 토지, 건물, 기계기구의   매각대  잔금 4,500,000,000원이 입금 완료됨에 따라 소유권이 이전되었고, 천안공장에서 생산하던 김치냉장고 부품의  주요 설비가 구미공장으로 이전 완료되어 천안공장의 조업을 중단하고 구미공장의 신규 라인에서 생산을 대체함.


2. 조업중단 사업장
충북 천안시 직산읍 부송리 72-15


3. 조업중단 사업장 생산액 (원)
14,548,195,266


   - 당해법인 직전사업연도말     총 생산액 (원)
77,535,767,625


   - 생산액 대비 (%)
18.8


4. 조업 중단일(기간)
2002.11.14


5. 조업중단 사유
구미공장으로의 사업장 일원화를 통한 원가경쟁력 강화와 천안공장의 생산설비가 구미공장으로 이전 완료되었으며, 유휴 고정자산의 매각대 입금완료에 따른 소유권 이전으로조업을 중단 함.  


6. 조업개시 예정일
-


7. 조업중단으로 인한 영향
구미공장으로의 신규 생산 라인이 완공됨에 따라 제품 수급상에 문제는 없으며, 유휴 고정자산매각으로 현금흐름의개선과 원가 경쟁력 향상이 기대됨.


8. 사후조치
매각대 입금 완료로 소유권이 완전 이전되고 신규 생산설비가 구축됨에 따라 부가가치세법상의 사업자등록을 폐쇄하는 지점폐쇄를 시행할 것임.


9. 당해회사의 직전사업연도말   자산총액 (원)
56,946,139,083


10. 기타
관련 공시일:2002년 10월 14일





",https://kind.krx.co.kr/external/2002/11/14/K00343/00000000154182/89307_00241.htm
2,소리바다,053110,2002-10-08 15:09,생산중단,"








조업중단 등




1. 조업중단 내용
드림공장(제 1공장) 조업을 중단하고 그린공장(제 2공장)의 신규라인에서 생산을 대체함.


2. 조업중단 사업장
경북 경주시 천북면 모아리 1146-14


3. 조업중단 사업장 생산액 (원)
1,963,057,875


   - 당해법인 직전사업연도말     총 생산액 (원)
3,180,815,752


   - 생산액 대비 (%)
61.7


4. 조업 중단일(기간)
 2002. 10. 8 부터 


5. 조업중단 사유
드림공장(제1공장) 생산라인을 대체할 그린공장(제 2공장)신규 설비가 완공됨에 따라 제1공장 조업을 중담함.


6. 조업개시 예정일
-


7. 조업중단으로 인한 영향
제2공장에 신규 생산 라인 완공됨에 따라 제품 수급상에 문제없으며 자동화설비 구축으로 생산효율성 향상이 기대됨.


8. 사후조치
제 1공장의 활용방안은 매각, 임대, 제2의 신제품 생산기지등 가능한 모든 방법으로 강구할 것이나 현재 확정된 사항은 없습니다.


9. 당해회사의 직전사업연도말   자산총액 (원)
10,863, 149,248


10. 기타
이사회 결의일 : 2002년 10월 08일관련 공시일 : 2002년 5월 15일(신규 시설투자 등)기타 : 향후 제 1공장의 처리 방안이 확정되면 재공시하겠          습니다.





",https://kind.krx.co.kr/external/2002/10/08/K00054/00000000146200/83603_00241.htm
3,에스피코프,048130,2002-08-26 13:27,거래처와의거래중단,"








거래처와의 거래중단




1. 거래처명
주식회사 온앤오프라인


2. 중단일자(이사회 결의일)
2002년 08월 24일


   - 사외이사 참석여부
참석(명)
-
불참(명)
-


   - 감사 참석여부
참석


3. 중단예상기간
시작일
2002년 08월 26일


종료일
-


4. 중단사유
인터넷 사업 부분 축소 및 채권 회수 위험 회피


5. 거래내용
이코인 카드(선불형 전자화폐) 판매전자결제시스템(B2B솔루션)을 통한 B2B상품 판매


6. 거래규모
수량
-


금액 (원)
4,528,817,070


매출액 대비 (%)
51.45


7. 최근사업연도 매출액 (원)
8,801,796,054


8. 파급효과
인터넷 사업 부분 매출액 감소


9. 향후대책
매출처 다변화 및 신규 사업 진출을 통한 매출 증대


10. 당해회사의 직전사업연도말     자산총액 (원)
27,364,965,842


11. 기타
거래규모 및 매출액은 2001년말 기준임.





",https://kind.krx.co.kr/external/2002/08/26/K00020/00000000138787/79041_00247.htm
4,세중,039310,2002-08-02 16:38,거래처와의거래중단,"









거래처와의 거래중단




1. 거래처명
(주)다우데이타시스템


2. 중단일자(이사회 결의일)
2002년 08월 01일


   - 사외이사 참석여부
참석(명)
-
불참(명)
-


   - 감사 참석여부
불참


3. 중단예상기간
시작일
2002년 09월 02일


종료일
-


4. 중단사유
협약한 최소구매액중 분기목표액의 60% 달성 미달 


5. 거래내용
나모 웹에디터의 국내총판 계약


6. 거래규모
수량
-


금액 (원)
1,594,759,633


매출액 대비 (%)
20.99


7. 최근사업연도 매출액 (원)
7,594,389,962


8. 파급효과
1. 하반기 시장의 보다 강한 매출 드라이브2. 적정한 시장 규모에 따른 revenue 확보3. 타이트한 파트너쉽을 통한 적극적인 시장개척 마케팅    활동추진   


9. 향후대책
기존 3사 총판체제에서 (주)소프트뱅크코리아 1사 총판체제로 총판구조를 변경하며 2003년 신규 총판사를 재 선정할 예정


10. 당해회사의 직전사업연도말     자산총액 (원)
38,136,044,451


11. 기타
거래규모는 제 7 기(2001년도) 연간 실적입니다 





",https://kind.krx.co.kr/external/2002/08/02/K00059/00000000133682/75954_00247.htm
5,세중,039310,2002-08-02 16:37,거래처와의거래중단,"









거래처와의 거래중단




1. 거래처명
주식회사 인성디지탈


2. 중단일자(이사회 결의일)
2002년 08월 01일


   - 사외이사 참석여부
참석(명)
-
불참(명)
-


   - 감사 참석여부
불참


3. 중단예상기간
시작일
2002년 09월 02일


종료일
-


4. 중단사유
협약한 최소구매액중 분기목표액의 60% 달성 미달 


5. 거래내용
나모 웹에디터의 국내총판 계약


6. 거래규모
수량
-


금액 (원)
1,925,498,617


매출액 대비 (%)
25.35


7. 최근사업연도 매출액 (원)
7,594,389,962


8. 파급효과
1. 하반기 시장의 보다 강한 매출 드라이브2. 적정한 시장 규모에 따른 revenue 확보3. 타이트한 파트너쉽을 통한 적극적인 시장개척 마케팅    활동추진      


9. 향후대책
기존 3사 총판체제에서 (주)소프트뱅크코리아 1사 총판체제로 총판구조를 변경하며 2003년 신규 총판사를 재 선정할 예정   


10. 당해회사의 직전사업연도말     자산총액 (원)
38,136,044,451   


11. 기타
거래규모는 제 7 기(2001년도) 연간 실적입니다 





",https://kind.krx.co.kr/external/2002/08/02/K00058/00000000133679/75953_00247.htm
6,삼보판지,023600,2002-07-20 12:43,생산중단,"









조업중단 등




1. 조업중단 내용
부천1공장 생산설비를 폐쇄하고 부동산 임대로 전환함.


2. 조업중단 사업장
부천1공장(경기도 부천시 원미구 춘의동 195)


3. 조업중단 사업장 생산액 (원)
12,223,358,470


   - 당해법인 직전사업연도말     총 생산액 (원)
60,449,973,675


   - 생산액 대비 (%)
20.22


4. 조업 중단일(기간)
2002년 7월 22일


5. 조업중단 사유
부천1공장 생산설비를 시화공장 생산설비증설로 대체 생산하고 부천1공장을 임대업으로 전환함.


6. 조업개시 예정일
-


7. 조업중단으로 인한 영향
시화공장에 부천1공장 대체 생산시설 증설로 생산액및매출액이 증가예상되며 생산성 향상이 기대됨 (연간생산능력-부천1공장 : 66,000,000㎡          시화공장증설설비  : 75,000,000㎡  )현재 부천1공장 일부임대중이며 임대완료되면 임대보증금 10억원, 연간 임대소득 12억원 발생예상


8. 사후조치
-


9. 당해회사의 직전사업연도말   자산총액 (원)
110,030,085,440


10. 기타
1. 이사회결의일:2002년 7월 20일2. 관련공시- 신규시설투자 2002년 5월 21일





",https://kind.krx.co.kr/external/2002/07/20/K00020/00000000131758/74641_00241.htm
7,대선조선,031990,2002-05-03 17:04,영업면허등의취소ㆍ반납,"









주된 영업면허등의 취소ㆍ반납




1. 면허내용
건설업(철강재설치공사업) 등록증 반납


2. 사유 및 경위
① 건설기술자(5명) 보유 미달    (근거 : 건설산업기본법 제10조 및 시행령 제13조 1)② 건설업 자본금 (10억) 미달    (근거 : 건설산업기본법 제10조 및 시행령 제13조 1)③ 전문건설 공제조합 출좌자수 미취득    (근거 : 건설산업기본법 제10조 및 시행령 제13조 1)④ 최근 2년간 실적(5천만원) 미달    (근거 : 건설산업기본법 제82조 1의 2 및 시행령 제79조 1)


3. 면허시가 (원)
-


   - 직전사업연도말 매출액 (원)
63,838,560,787


   - 매출액 대비 (%)
-


4. 장부가액 (원)
-


5. 사유발생일
2002년 05월 03일


6. 향후 대책 및 일정
 - 상기 사유 발생일은 이사회 결의일이며 결의 후 면허반납  신청    예정임.


7. 당해회사의 직전사업연도말   자산총액 (원)
137,918,909,762


8. 기타
-





",https://kind.krx.co.kr/external/2002/05/03/K00087/00000000120095/67264_00243.htm
8,인바디,041830,2002-02-16 12:06,거래처와의거래중단,"









거래처와의 거래중단




1. 거래처명
(주)동서메디칼


2. 중단일자(이사회 결의일)
2002년 02월 15일


   - 사외이사 참석여부
참석(명)
-
불참(명)
-


   - 감사 참석여부
불참


3. 중단예상기간
시작일
2002년 03월 01일


종료일
-


4. 중단사유
(주)동서메디칼은 독자적인 제품 영업을 시작하기 위하여, 당사와의 거래를 중단하고 자체 제품 판매에 매진하고자 합니다.


5. 거래내용
체성분 분석기 InBody 3.0의 충청, 호남 대리점


6. 거래규모
수량
62


금액 (원)
610,032,000


매출액 대비 (%)
12.01


7. 최근사업연도 매출액 (원)
5,079,947,757


8. 파급효과
3월부터 신규 대리점이 영업을 시작할 계획이므로 특별한 변동사항은 없을 것으로 예상됩니다.


9. 향후대책
2월동안 업무인수인계를 하여 3월부터 신규 대리점이 활동할 수 있도록 계획하고 있습니다.


10. 당해회사의 직전사업연도말     자산총액 (원)
10,846,579,318


11. 기타
1. 거래규모 중 수량은 체성분 분석기 InBody 3.0의 판매수량만 기재하였습니다.2. 최근사업연도 매출액 및 직전사업연도말 자산총액은 2001년도 결산이 확정되지 않아 2000년도 기준으로 작성하였습니다.





",https://kind.krx.co.kr/external/2002/02/16/K00020/00000000089551/52723_00247.htm
9,SNT홀딩스,036530,2001-12-28 10:55,생산중단,"









조업중단 등




1. 조업중단 내용
 생산효율성 증대를 위한 공장 가동 중단


2. 조업중단 사업장
 이천지점(고주파핀튜브 제조공장)


3. 조업중단 사업장 생산액 (원)
4,273,536,145 


   - 당해법인 직전사업연도말     총 생산액 (원)
44,598,490,207 


   - 생산액 대비 (%)
9.58 


4. 조업 중단일(기간)
 2001년 12월 31일


5. 조업중단 사유
 본사(창원)와의 지리적 여건 개선을 통한 생산효율성 증대


6. 조업개시 예정일
-


7. 조업중단으로 인한 영향
 생산효율성 증대 및 물류비용 절감을 통한 수익성 증대


8. 사후조치
 생산설비 등을 신규매입한 공장(2001년 12월 15일 취득)  으로 이전하여 재가동할 예정


9. 당해회사의 직전사업연도말   자산총액 (원)
52,505,701,359 


10. 기타
 1. 이사회결의일 : 2001년 12월 28일 2. 관련공시(주요고정자산취득) : 2001년 12월 10일





",https://kind.krx.co.kr/external/2001/12/28/K00025/00000000082844/48658_00241.htm
