iter	Passed	Remaining
0	162	162599
1	166	82888
2	168	56032
3	171	42619
4	173	34460
5	175	29098
6	177	25216
7	180	22350
8	182	20083
9	184	18260
10	186	16763
11	188	15517
12	190	14459
13	193	13609
14	195	12827
15	197	12136
16	199	11523
17	201	10982
18	203	10503
19	205	10088
20	208	9698
21	210	9341
22	212	9015
23	214	8725
24	217	8463
25	219	8218
26	221	7991
27	223	7767
28	225	7556
29	227	7358
30	229	7173
31	231	7000
32	233	6848
33	235	6700
34	237	6556
35	239	6423
36	241	6295
37	243	6175
38	246	6069
39	248	5973
40	251	5871
41	253	5777
42	255	5689
43	257	5597
44	259	5508
45	261	5430
46	264	5365
47	266	5293
48	268	5218
49	270	5145
50	272	5070
51	274	5000
52	276	4932
53	277	4869
54	280	4818
55	282	4757
56	283	4696
57	285	4638
58	287	4582
59	289	4531
60	291	4482
61	293	4432
62	295	4389
63	296	4341
64	298	4295
65	300	4248
66	301	4204
67	303	4164
68	305	4124
69	307	4084
70	309	4048
71	311	4012
72	313	3977
73	315	3942
74	317	3911
75	319	3879
76	320	3845
77	322	3811
78	324	3780
79	326	3752
80	328	3722
81	329	3692
82	331	3663
83	333	3635
84	335	3607
85	337	3584
86	339	3559
87	341	3536
88	343	3512
89	344	3487
90	346	3462
91	348	3438
92	350	3415
93	351	3391
94	353	3368
95	355	3345
96	357	3326
97	359	3305
98	361	3287
99	363	3267
100	365	3249
101	366	3230
102	368	3211
103	370	3192
104	372	3174
105	374	3157
106	376	3142
107	378	3126
108	380	3108
109	382	3092
110	383	3075
111	385	3057
112	387	3041
113	389	3025
114	391	3011
115	393	2996
116	395	2982
117	397	2967
118	398	2953
119	401	2941
120	403	2931
121	406	2923
122	408	2910
123	410	2897
124	411	2883
125	413	2869
126	415	2855
127	417	2841
128	420	2836
129	422	2826
130	424	2814
131	425	2801
132	427	2788
133	429	2776
134	431	2764
135	433	2753
136	435	2741
137	437	2730
138	438	2718
139	440	2707
140	442	2695
141	444	2684
142	446	2672
143	448	2664
144	450	2657
145	452	2646
146	454	2636
147	456	2627
148	458	2621
149	461	2614
150	464	2608
151	467	2605
152	469	2598
153	471	2589
154	473	2580
155	475	2570
156	477	2562
157	479	2554
158	481	2547
159	483	2538
160	485	2528
161	487	2519
162	488	2509
163	490	2499
164	492	2491
165	494	2483
166	496	2478
167	498	2469
168	500	2460
169	502	2451
170	503	2442
171	505	2433
