,회사명,거래소코드,회계년도,설비투자효율,총자본투자효율,부채구성비율,비유동장기적합률,재고자산보유기간,매출채권회수기간,매입채무회전률,경영자본회전률,경영자본순이익률,자기자본순이익률,자기자본증가율,년,key,부도
0,(주)CMG제약,58820.0,2019/12,103.68,8.96,6.286314716270554,22.77,54.88721804511278,116.98717948717947,13.81,0.41,2.11,2.15,73.26,2019.0,588202020.0,0.0
1,(주)CMG제약,58820.0,2020/12,90.74,7.3,7.281578246892852,27.17,68.22429906542057,110.6060606060606,13.0,0.36,0.12,0.12,0.54,2020.0,588202021.0,0.0
2,(주)ES큐브,50120.0,2019/12,-62.01,-4.82,60.32337485760482,137.52,6.582506762849413,35.26570048309179,8.43,0.74,-33.18,-21.14,-18.84,2019.0,501202020.0,0.0
3,(주)ES큐브,50120.0,2020/12,-4259.32,-28.77,11.032380023172143,101.12,6.682533870377152,28.03379416282642,7.24,1.38,-132.8,-45.82,35.13,2020.0,501202021.0,0.0
4,(주)가비아,79940.0,2019/12,81.31,29.33,34.81106490688845,110.62,0.0,18.168242906918863,30.42,1.26,10.04,8.96,8.53,2019.0,799402020.0,0.0
5,(주)가비아,79940.0,2020/12,55.97,26.38,40.49937298002712,106.75,0.0,17.489218974604697,26.5,1.09,8.06,8.46,7.91,2020.0,799402021.0,0.0
6,(주)강스템바이오텍,217730.0,2019/12,-461.82,-20.08,28.168028714537748,58.19,347.6190476190476,675.9259259259259,1.13,0.01,-45.09,-42.09,47.76,2019.0,2177302020.0,0.0
7,(주)강스템바이오텍,217730.0,2020/12,-67.13,-22.23,24.47391221346021,44.6,38.340336134453786,12.54726710209694,1.12,0.0,-30.93,-31.88,-27.4,2020.0,2177302021.0,0.0
8,(주)강원에너지,114190.0,2019/12,-303.51,-46.87,58.4364678982325,89.9,2.841572596340989,238.562091503268,4.48,0.69,-53.92,-92.7,-53.53,2019.0,1141902020.0,0.0
9,(주)강원에너지,114190.0,2020/12,-143.63,-27.54,47.84229347233165,53.81,1.611336747307081,109.28143712574852,6.57,1.07,-39.1,-69.99,-24.85,2020.0,1141902021.0,0.0
10,(주)게임빌,63080.0,2019/12,60.12,1.1,51.49874308697838,133.24,0.0,28.22892498066512,0.0,2.22,-22.62,-7.7,-8.46,2019.0,630802020.0,0.0
11,(주)게임빌,63080.0,2020/12,1241.43,10.66,54.15584236444142,174.4,0.0,26.44927536231884,0.0,2.82,1.64,0.37,3.35,2020.0,630802021.0,0.0
12,(주)고려시멘트,198440.0,2019/12,15.25,6.01,30.377215907301867,81.23,28.785488958990538,144.2687747035573,18.26,0.72,3.44,3.88,2.24,2019.0,1984402020.0,0.0
13,(주)고려시멘트,198440.0,2020/12,19.37,8.43,19.91971423121608,73.26,27.097253155159613,127.17770034843204,22.04,0.73,4.61,4.92,4.43,2020.0,1984402021.0,0.0
14,(주)고바이오랩,348150.0,2019/12,0.0,0.0,255.4838896280442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019.0,3481502020.0,0.0
15,(주)고바이오랩,348150.0,2020/12,-18746.89,-98.95,2.7678491243825776,1.89,8.39080459770115,213.45029239766083,0.0,0.08,-101.73,-104.03,0.0,2020.0,3481502021.0,0.0
16,(주)고영테크놀러지,98460.0,2019/12,207.72,23.06,18.180312966690472,28.81,35.57504873294347,182.5,16.16,0.73,12.07,14.42,9.92,2019.0,984602020.0,0.0
17,(주)고영테크놀러지,98460.0,2020/12,101.85,10.99,16.644837767843885,37.02,51.994301994302,226.70807453416148,13.87,0.55,2.62,2.95,0.25,2020.0,984602021.0,0.0
18,(주)골드앤에스,35290.0,2019/12,-423.17,-97.19,131.06983101391648,0.0,42.69005847953216,56.67701863354037,75.98,0.37,-121.49,0.0,0.0,2019.0,352902020.0,0.0
19,(주)골드앤에스,35290.0,2020/12,173.98,30.31,29.785790442958227,62.54,38.020833333333336,69.25996204933587,33.98,0.39,15.56,0.0,0.0,2020.0,352902021.0,0.0
20,(주)골드퍼시픽,38530.0,2019/12,-2762.95,-34.43,71.11561977353111,197.83,70.1923076923077,74.48979591836734,13.52,0.41,-114.29,-153.58,4.89,2019.0,385302020.0,0.0
21,(주)골드퍼시픽,38530.0,2020/12,654.98,6.45,16.356762811537383,48.6,89.68058968058968,67.84386617100373,11.02,0.37,-3.82,-3.71,183.53,2020.0,385302021.0,0.0
22,(주)골프존,215000.0,2019/12,72.89,25.45,32.58239000724921,93.57,11.781794706262104,28.12018489984592,69.31,0.96,7.89,9.78,4.1,2019.0,2150002020.0,0.0
23,(주)골프존,215000.0,2020/12,100.13,31.09,34.325069028826896,87.85,9.870200108166577,21.804062126642773,84.92,0.96,12.35,16.74,11.21,2020.0,2150002021.0,0.0
24,(주)골프존뉴딘홀딩스,121440.0,2019/12,-24.75,-3.22,16.270282739811655,96.68,0.0,26.818515797207937,0.0,0.22,-24.31,-6.49,-7.1,2019.0,1214402020.0,0.0
25,(주)골프존뉴딘홀딩스,121440.0,2020/12,60.8,7.31,16.701682354050405,94.38,0.4694352629480535,12.297843665768196,113151.58,0.53,25.29,5.92,4.04,2020.0,1214402021.0,0.0
26,(주)광림,14200.0,2019/12,-290.68,-35.48,68.61635902443057,165.09,75.41322314049587,22.35150030618494,9.6,0.67,-48.98,-75.18,-49.77,2019.0,142002020.0,0.0
27,(주)광림,14200.0,2020/12,4.78,0.54,36.93518372630763,117.87,57.480314960629926,17.548076923076923,9.81,1.1,-10.62,-9.63,143.79,2020.0,142002021.0,0.0
28,(주)광진윈텍,90150.0,2019/12,51.38,10.86,54.5968699660188,80.62,41.38321995464853,112.3076923076923,6.11,1.49,4.07,6.85,22.0,2019.0,901502020.0,0.0
29,(주)광진윈텍,90150.0,2020/12,43.25,9.39,52.94588078015708,90.43,43.97590361445783,113.0030959752322,6.04,1.43,2.89,4.24,2.09,2020.0,901502021.0,0.0
30,(주)구영테크,53270.0,2019/12,19.27,9.31,58.4011061084128,109.87,38.91257995735607,64.37389770723104,15.5,0.87,1.45,2.67,1.4,2019.0,532702020.0,0.0
31,(주)구영테크,53270.0,2020/12,19.98,9.06,61.140187781622814,110.19,42.79015240328253,68.35205992509364,10.49,0.75,0.8,1.54,0.1,2020.0,532702021.0,0.0
32,(주)국보디자인,66620.0,2019/12,280.68,11.88,43.32783851296002,23.8,0.0,58.58747993579454,12.5,1.45,5.8,8.82,8.18,2019.0,666202020.0,0.0
