iter	Passed	Remaining
0	2	2283
1	4	2119
2	6	2051
3	8	2021
4	10	2168
5	12	2118
6	14	2081
7	16	2066
8	18	2057
9	20	2043
10	22	2043
11	32	2675
12	34	2612
13	36	2553
14	38	2519
15	41	2534
16	43	2503
17	45	2469
18	47	2447
19	49	2425
20	51	2393
21	53	2370
22	55	2377
23	57	2356
24	59	2336
25	61	2317
26	63	2295
27	65	2283
28	67	2267
29	69	2262
30	72	2252
31	74	2256
32	76	2241
33	78	2225
34	80	2208
35	81	2193
36	84	2193
37	86	2192
38	88	2185
39	90	2177
40	93	2188
41	95	2183
42	97	2170
43	101	2200
44	103	2199
45	105	2188
46	107	2175
47	109	2164
48	111	2156
49	112	2146
50	114	2134
51	116	2127
52	118	2118
53	120	2110
54	122	2102
55	124	2093
56	126	2084
57	127	2075
58	129	2068
59	132	2073
60	134	2071
61	136	2066
62	138	2062
63	140	2052
64	142	2045
65	144	2039
66	146	2043
67	148	2038
68	150	2029
69	152	2019
70	153	2010
71	155	2000
72	156	1990
73	158	1985
74	160	1980
75	163	1984
76	165	1978
77	167	1975
78	168	1969
79	170	1964
80	172	1957
81	174	1953
82	176	1949
83	178	1946
84	180	1941
85	182	1936
86	184	1933
87	186	1928
88	188	1924
89	189	1920
90	191	1916
91	194	1920
92	196	1919
93	198	1914
94	200	1910
95	202	1910
96	204	1906
97	206	1902
98	209	1907
99	211	1905
100	213	1901
101	215	1897
102	217	1895
103	219	1889
104	221	1885
105	223	1883
106	225	1879
107	226	1874
108	228	1868
109	230	1863
110	232	1858
111	233	1854
112	235	1849
113	237	1846
114	239	1843
115	241	1838
116	243	1834
117	244	1830
118	246	1827
119	248	1823
120	250	1819
121	252	1816
122	254	1813
123	256	1809
124	258	1806
125	260	1803
126	262	1805
127	264	1804
128	266	1800
129	268	1799
130	270	1796
131	272	1793
132	275	1795
133	277	1791
134	279	1788
135	288	1829
136	290	1826
137	291	1822
138	293	1817
139	295	1812
140	296	1807
141	298	1802
142	300	1800
143	302	1797
144	304	1794
145	306	1791
146	308	1789
147	310	1785
148	311	1781
149	313	1776
150	315	1775
151	317	1770
152	318	1765
153	320	1760
154	322	1755
155	323	1750
156	325	1746
157	326	1741
158	328	1737
159	330	1734
160	332	1733
161	334	1729
162	336	1725
163	337	1722
164	339	1717
165	341	1714
166	342	1710
167	344	1707
168	346	1705
169	348	1703
170	350	1700
171	352	1697
172	354	1694
173	356	1691
174	358	1688
175	360	1688
176	362	1686
177	364	1682
178	366	1678
179	367	1674
180	369	1671
181	370	1667
182	372	1663
183	374	1659
184	375	1655
185	377	1653
186	379	1649
187	381	1645
188	382	1642
189	384	1638
190	385	1634
191	387	1631
192	389	1627
193	390	1623
194	392	1620
195	394	1617
196	396	1614
197	398	1612
198	399	1609
199	401	1606
200	403	1603
201	405	1600
202	406	1597
203	408	1594
204	410	1591
205	411	1587
206	413	1584
207	415	1580
208	416	1577
209	418	1573
210	419	1570
211	421	1566
212	423	1563
213	424	1560
214	426	1557
215	428	1553
216	429	1550
217	431	1547
218	432	1544
219	434	1541
220	436	1538
221	438	1535
222	439	1532
223	441	1530
224	443	1527
225	445	1524
226	446	1521
227	448	1518
228	450	1515
229	451	1512
230	453	1510
231	455	1508
232	457	1506
233	459	1503
234	461	1501
235	463	1499
236	465	1497
237	466	1494
238	468	1491
239	470	1489
240	472	1487
241	474	1485
242	475	1482
243	477	1479
244	479	1477
245	481	1476
246	483	1475
247	486	1474
248	488	1472
249	490	1471
250	492	1469
251	494	1467
252	495	1464
253	497	1461
254	499	1459
255	501	1457
256	503	1455
257	506	1455
258	508	1453
259	509	1451
260	511	1449
261	513	1446
262	515	1444
263	517	1442
264	519	1440
265	521	1439
266	524	1439
267	526	1437
268	528	1435
269	530	1433
270	532	1431
271	534	1429
272	536	1427
273	538	1425
274	540	1423
275	542	1422
276	543	1419
277	545	1417
278	547	1415
279	549	1413
280	551	1411
281	553	1408
282	555	1406
283	556	1403
284	558	1401
285	560	1398
286	562	1396
287	564	1394
288	565	1392
289	567	1390
290	569	1387
291	571	1385
292	573	1383
293	575	1381
294	577	1380
295	579	1378
296	582	1377
297	584	1376
298	585	1373
299	587	1371
300	589	1369
301	591	1367
302	593	1365
303	595	1363
304	597	1360
305	599	1358
306	601	1356
307	602	1354
308	604	1351
309	605	1348
310	608	1347
311	609	1345
312	611	1342
313	613	1340
314	615	1337
315	616	1335
316	618	1332
317	620	1329
318	621	1327
319	623	1325
320	625	1323
321	627	1320
322	629	1318
323	630	1316
324	632	1314
325	634	1311
326	636	1309
327	638	1308
328	640	1306
329	642	1304
330	644	1302
331	646	1300
332	647	1297
333	649	1295
334	651	1292
335	652	1290
336	655	1289
337	657	1287
338	659	1285
339	660	1283
340	662	1281
341	664	1278
342	666	1276
343	668	1274
344	670	1272
345	671	1269
346	674	1268
347	676	1268
348	678	1266
349	680	1264
350	682	1262
351	684	1260
352	686	1258
353	688	1256
354	690	1254
355	692	1252
356	694	1250
357	695	1247
358	697	1245
359	699	1243
360	701	1241
361	703	1239
362	705	1238
363	707	1236
364	709	1234
365	711	1232
366	713	1230
367	715	1228
368	717	1226
369	719	1224
370	721	1222
371	723	1220
372	725	1219
373	727	1217
374	729	1215
375	731	1213
376	733	1211
377	734	1209
378	736	1207
379	738	1205
380	740	1202
381	741	1200
382	743	1198
383	746	1196
384	747	1194
385	749	1192
386	751	1190
387	753	1188
388	755	1186
389	756	1183
390	758	1181
391	760	1179
392	762	1177
393	764	1175
394	766	1173
395	768	1171
396	769	1169
397	771	1166
398	773	1164
399	774	1162
400	776	1160
401	778	1158
402	780	1155
403	781	1153
404	783	1151
405	785	1148
406	787	1146
407	788	1144
408	790	1142
409	792	1140
410	794	1138
411	796	1136
412	797	1133
413	799	1131
414	800	1129
415	802	1127
416	804	1124
417	806	1122
418	808	1120
419	809	1118
420	811	1116
421	813	1113
422	814	1111
423	816	1109
424	818	1106
425	819	1104
426	821	1102
427	823	1100
428	825	1098
429	826	1096
430	828	1093
431	830	1091
432	831	1089
433	833	1087
434	835	1084
435	836	1082
436	839	1080
437	840	1078
438	842	1076
439	844	1074
440	845	1072
441	847	1069
442	849	1067
443	851	1065
444	853	1064
445	855	1062
446	856	1060
447	858	1058
448	860	1056
449	862	1053
450	863	1051
451	865	1049
452	867	1047
453	869	1045
454	870	1043
455	872	1041
456	874	1038
457	876	1037
458	878	1035
459	879	1033
460	881	1030
461	883	1028
462	885	1027
463	887	1024
464	889	1023
465	891	1021
466	892	1019
467	895	1017
468	896	1015
469	898	1013
470	900	1011
471	902	1009
472	904	1007
473	906	1005
474	907	1003
475	909	1001
476	911	998
477	912	996
478	914	994
479	916	992
480	918	990
481	919	988
482	921	986
483	923	984
484	925	982
485	926	980
486	928	977
487	929	975
488	932	974
489	933	972
490	935	970
491	937	967
492	939	965
493	940	963
494	942	961
495	944	959
496	946	958
497	948	956
498	950	954
499	952	952
500	954	950
501	956	948
502	958	946
503	960	945
504	962	943
505	964	941
506	966	939
507	968	937
508	970	935
509	971	933
510	973	931
511	975	929
512	977	928
513	979	926
514	981	924
515	982	921
516	984	919
517	986	917
518	987	915
519	989	913
520	991	911
521	993	909
522	995	907
523	997	905
524	998	903
525	1000	901
526	1001	899
527	1003	897
528	1005	894
529	1006	892
530	1008	891
531	1010	888
532	1012	886
533	1013	884
534	1015	882
535	1017	880
536	1018	878
537	1020	876
538	1021	874
539	1023	872
540	1026	871
541	1028	869
542	1030	867
543	1032	865
544	1033	863
545	1035	861
546	1037	858
547	1039	857
548	1041	855
549	1043	853
550	1045	851
551	1047	849
552	1048	847
553	1050	845
554	1052	844
555	1055	842
556	1058	842
557	1063	842
558	1066	841
559	1072	842
560	1076	842
561	1080	842
562	1084	841
563	1088	841
564	1092	840
565	1095	839
566	1100	840
567	1103	839
568	1107	838
569	1111	838
570	1115	837
571	1119	837
572	1123	836
573	1126	835
574	1129	834
575	1134	835
576	1138	834
577	1140	832
578	1143	831
579	1146	830
580	1149	829
581	1154	828
582	1156	827
583	1159	826
584	1163	825
585	1167	824
586	1172	824
587	1175	823
588	1178	822
589	1181	821
590	1184	819
591	1186	817
592	1188	815
593	1190	813
594	1194	813
595	1197	811
596	1201	810
597	1203	809
598	1205	807
599	1208	805
600	1211	804
601	1213	802
602	1216	800
603	1219	799
604	1221	797
605	1223	795
606	1226	793
607	1229	792
608	1231	790
609	1233	788
610	1236	787
611	1239	785
612	1242	784
613	1244	782
614	1246	780
615	1248	778
616	1250	776
617	1254	775
618	1257	773
619	1259	771
620	1261	769
621	1263	767
622	1265	765
623	1267	763
624	1270	762
625	1273	760
626	1275	759
627	1278	757
628	1280	755
629	1283	753
630	1286	752
631	1289	750
632	1292	749
633	1294	747
634	1296	745
635	1298	743
636	1301	741
637	1303	739
638	1306	738
639	1310	737
640	1312	735
641	1316	734
642	1320	733
643	1323	731
644	1326	730
645	1332	729
646	1335	728
647	1338	726
648	1340	725
649	1342	723
650	1348	722
651	1350	721
652	1353	719
653	1356	717
654	1357	715
655	1360	713
656	1365	712
657	1368	711
658	1374	711
659	1378	710
660	1380	708
661	1383	706
662	1386	704
663	1388	702
664	1392	701
665	1395	699
666	1397	697
667	1400	696
668	1403	694
669	1406	692
670	1410	691
671	1412	689
672	1414	687
673	1416	685
674	1419	683
675	1422	681
676	1424	679
677	1427	677
678	1429	675
679	1431	673
680	1434	671
681	1437	670
682	1440	668
683	1442	666
684	1444	664
685	1447	662
686	1450	660
687	1454	659
688	1456	657
689	1459	655
690	1461	653
691	1464	651
692	1467	650
693	1470	648
694	1472	646
695	1474	644
696	1476	642
697	1478	639
698	1480	637
699	1483	635
700	1486	633
701	1488	631
702	1490	629
703	1493	627
704	1495	625
705	1497	623
706	1499	621
707	1501	619
708	1503	617
709	1505	614
710	1507	612
711	1509	610
712	1511	608
713	1513	606
714	1515	604
715	1517	601
716	1519	599
717	1521	597
718	1523	595
719	1525	593
720	1528	591
721	1531	589
722	1533	587
723	1535	585
724	1537	583
725	1539	581
726	1541	578
727	1544	577
728	1547	575
729	1549	573
730	1552	571
731	1554	568
732	1555	566
733	1557	564
734	1560	562
735	1562	560
736	1564	558
737	1567	556
738	1569	554
739	1571	551
740	1572	549
741	1575	547
742	1577	545
743	1579	543
744	1581	541
745	1583	539
746	1585	537
747	1587	534
748	1590	532
749	1592	530
750	1594	528
751	1596	526
752	1598	524
753	1600	522
754	1601	519
755	1604	517
756	1606	515
757	1608	513
758	1610	511
759	1612	509
760	1614	507
761	1616	504
762	1618	502
763	1621	500
764	1623	498
765	1625	496
766	1627	494
767	1629	492
768	1631	489
769	1633	487
770	1635	485
771	1637	483
772	1639	481
773	1641	479
774	1642	476
775	1645	474
776	1647	472
777	1649	470
778	1651	468
779	1654	466
780	1656	464
781	1657	462
782	1659	460
783	1661	457
784	1663	455
785	1666	453
786	1667	451
787	1670	449
788	1672	447
789	1675	445
790	1676	443
791	1678	440
792	1681	438
793	1683	436
794	1685	434
795	1688	432
796	1690	430
797	1692	428
798	1694	426
799	1696	424
800	1698	421
801	1701	420
802	1704	418
803	1705	415
804	1707	413
805	1709	411
806	1711	409
807	1713	407
808	1715	404
809	1717	402
810	1719	400
811	1721	398
812	1724	396
813	1726	394
814	1728	392
815	1730	390
816	1732	388
817	1734	385
818	1736	383
819	1738	381
820	1741	379
821	1744	377
822	1746	375
823	1748	373
824	1750	371
825	1752	369
826	1753	366
827	1755	364
828	1759	362
829	1761	360
830	1763	358
831	1764	356
832	1766	354
833	1768	351
834	1769	349
835	1771	347
836	1774	345
837	1776	343
838	1778	341
839	1779	339
840	1781	336
841	1783	334
842	1785	332
843	1788	330
844	1791	328
845	1792	326
846	1794	324
847	1796	322
848	1798	319
849	1800	317
850	1802	315
851	1805	313
852	1806	311
853	1808	309
854	1810	307
855	1812	304
856	1813	302
857	1815	300
858	1817	298
859	1820	296
860	1822	294
861	1823	292
862	1825	289
863	1827	287
864	1829	285
865	1831	283
866	1834	281
867	1836	279
868	1838	277
869	1839	274
870	1841	272
871	1843	270
872	1845	268
873	1846	266
874	1848	264
875	1850	261
876	1852	259
877	1854	257
878	1855	255
879	1857	253
880	1859	251
881	1861	249
882	1864	246
883	1866	244
884	1868	242
885	1870	240
886	1872	238
887	1874	236
888	1876	234
889	1878	232
890	1881	230
891	1883	228
892	1885	225
893	1887	223
894	1889	221
895	1891	219
896	1893	217
897	1896	215
898	1899	213
899	1901	211
900	1903	209
901	1905	206
902	1906	204
903	1909	202
904	1911	200
905	1914	198
906	1916	196
907	1918	194
908	1920	192
909	1922	190
910	1923	187
911	1926	185
912	1928	183
913	1930	181
914	1932	179
915	1935	177
916	1937	175
917	1940	173
918	1942	171
919	1944	169
920	1946	166
921	1948	164
922	1950	162
923	1952	160
924	1955	158
925	1958	156
926	1960	154
927	1962	152
928	1964	150
929	1966	147
930	1968	145
931	1970	143
932	1972	141
933	1975	139
934	1977	137
935	1979	135
936	1981	133
937	1983	131
938	1986	129
939	1988	126
940	1990	124
941	1991	122
942	1993	120
943	1996	118
944	1999	116
945	2001	114
946	2004	112
947	2006	110
948	2007	107
949	2009	105
950	2011	103
951	2014	101
952	2017	99
953	2019	97
954	2020	95
955	2022	93
956	2024	90
957	2026	88
958	2029	86
959	2032	84
960	2034	82
961	2036	80
962	2038	78
963	2040	76
964	2058	74
965	2060	72
966	2062	70
967	2065	68
968	2067	66
969	2068	63
970	2070	61
971	2072	59
972	2074	57
973	2076	55
974	2080	53
975	2082	51
976	2084	49
977	2086	46
978	2087	44
979	2089	42
980	2091	40
981	2094	38
982	2097	36
983	2099	34
984	2101	32
985	2103	29
986	2105	27
987	2107	25
988	2111	23
989	2113	21
990	2115	19
991	2117	17
992	2119	14
993	2121	12
994	2123	10
995	2126	8
996	2128	6
997	2129	4
998	2131	2
999	2133	0
