회사명,거래소코드,회계년도,외국인_주식분포비율,종가
(주)CMG제약,058820,2000/12,,
(주)CMG제약,058820,2001/12,0,1420
(주)CMG제약,058820,2002/12,0,520
(주)CMG제약,058820,2003/12,0,800
(주)CMG제약,058820,2004/12,0,550
(주)CMG제약,058820,2005/12,0,1210
(주)CMG제약,058820,2006/12,0.48,14150
(주)CMG제약,058820,2007/12,0.04,5710
(주)CMG제약,058820,2008/12,0.68,1120
(주)CMG제약,058820,2009/12,0.2,1460
(주)CMG제약,058820,2010/12,0.01,792
(주)CMG제약,058820,2011/12,0.07,785
(주)CMG제약,058820,2012/12,0.29,1330
(주)CMG제약,058820,2013/12,0.25,932
(주)CMG제약,058820,2014/12,0.34,912
(주)CMG제약,058820,2015/12,0.65,2110
(주)CMG제약,058820,2016/12,2.07,3180
(주)CMG제약,058820,2017/12,3.51,6240
(주)CMG제약,058820,2018/12,4.69,4235
(주)CMG제약,058820,2019/12,2.12,4250
(주)CMG제약,058820,2020/12,7.2,5780
(주)ES큐브,050120,2001/06,,
(주)ES큐브,050120,2002/06,14.98,1870
(주)ES큐브,050120,2003/06,7.02,900
(주)ES큐브,050120,2004/06,5.14,6030
(주)ES큐브,050120,2005/12,2.46,6490
(주)ES큐브,050120,2006/12,2.21,1860
(주)ES큐브,050120,2007/12,1.43,1270
(주)ES큐브,050120,2008/12,1.28,890
(주)ES큐브,050120,2009/12,1.16,1760
(주)ES큐브,050120,2010/12,2.76,2385
(주)ES큐브,050120,2011/12,2.12,2120
(주)ES큐브,050120,2012/12,2.04,3430
(주)ES큐브,050120,2013/12,0.74,1540
(주)ES큐브,050120,2014/12,1.13,1395
(주)ES큐브,050120,2015/12,2.77,1605
(주)ES큐브,050120,2016/12,2.49,1705
(주)ES큐브,050120,2017/12,1.12,1030
(주)ES큐브,050120,2018/12,3.33,668
(주)ES큐브,050120,2019/12,2.92,852
(주)ES큐브,050120,2020/12,0.96,558
(주)가비아,079940,2002/12,,
(주)가비아,079940,2003/12,,
(주)가비아,079940,2004/12,,
(주)가비아,079940,2005/12,0,11900
(주)가비아,079940,2006/12,0.04,3750
(주)가비아,079940,2007/12,0.11,2760
(주)가비아,079940,2008/12,0.05,1250
(주)가비아,079940,2009/12,0,2130
(주)가비아,079940,2010/12,0.12,3050
(주)가비아,079940,2011/12,5.38,3950
(주)가비아,079940,2012/12,1.18,4035
(주)가비아,079940,2013/12,7.57,4790
(주)가비아,079940,2014/12,13.82,6420
(주)가비아,079940,2015/12,13.82,7130
(주)가비아,079940,2016/12,12.71,5840
(주)가비아,079940,2017/12,12.85,5870
(주)가비아,079940,2018/12,17.49,6360
(주)가비아,079940,2019/12,16.57,8280
(주)가비아,079940,2020/12,12.07,13150
(주)강스템바이오텍,217730,2013/12,,
(주)강스템바이오텍,217730,2014/12,,
(주)강스템바이오텍,217730,2015/12,0.01,10900
(주)강스템바이오텍,217730,2016/12,0.53,10800
(주)강스템바이오텍,217730,2017/12,0.68,12500
(주)강스템바이오텍,217730,2018/12,1.19,21800
(주)강스템바이오텍,217730,2019/12,2.78,8140
(주)강스템바이오텍,217730,2020/12,1.7,7910
(주)강원랜드,035250,2000/12,,
(주)강원랜드,035250,2001/12,3.93,132500
(주)강원랜드,035250,2002/12,13.82,112000
(주)강원에너지,114190,2000/11,,
(주)강원에너지,114190,2001/11,,
(주)강원에너지,114190,2002/11,,
(주)강원에너지,114190,2003/11,,
(주)강원에너지,114190,2004/11,,
(주)강원에너지,114190,2005/11,0,
(주)강원에너지,114190,2006/11,0,
(주)강원에너지,114190,2007/11,0,
(주)강원에너지,114190,2008/11,0,
(주)강원에너지,114190,2009/11,0,4440
