회사명,거래소코드,회계년도,자기자본배율,당좌비율,이자보상배율(이자비용),총자본회전률,재고자산회전률,총자본증가율,매출액증가율,부가가치율
(주)DB하이텍,000990,2000/12,583.23,32.25,1.01,0.99,4.9,-3.78,44.94,16.29
(주)DB하이텍,000990,2001/12,591.05,25.72,1.37,0.98,4.98,0.77,-2.38,14.47
(주)DB하이텍,000990,2002/12,603.31,19.53,1.5,0.89,4.62,5.57,-6.29,17.66
(주)DB하이텍,000990,2003/12,648.28,25.92,1.27,0.92,4.78,2.56,7.11,14.67
(주)DB하이텍,000990,2004/12,754.92,26.15,2.94,1.15,5.19,11.09,34.37,13.92
(주)DB하이텍,000990,2005/12,808.48,29.28,1.01,1.1,4.76,15.35,7.85,10.35
(주)DB하이텍,000990,2006/12,812.04,32.91,0.56,0.97,5.09,-4.48,-6.83,11.38
(주)DB하이텍,000990,2007/12,474,29.5,-0.12,0.64,5.73,198.65,27.82,26.58
(주)DB하이텍,000990,2008/12,460.94,28.7,-0.5,0.41,4.36,3.76,-1.79,13.85
(주)DB하이텍,000990,2009/12,332.97,49.91,-0.76,0.4,3.89,-26.58,-14.45,27.42
(주)DB하이텍,000990,2010/12,204.05,182.49,-2.8,0.31,3.38,-43.87,-48.53,39.02
(주)DB하이텍,000990,2011/12,135.92,23.7,-0.62,0.42,6.81,-13.84,-9.96,20.75
(주)DB하이텍,000990,2012/12,123.36,39.77,-0.29,0.5,7.47,-2.95,9.28,23.38
(주)DB하이텍,000990,2013/12,88.65,31.45,-0.16,0.45,6.51,-8.67,-15.44,19.7
(주)DB하이텍,000990,2014/12,61.16,47.09,0.67,0.55,8.02,-4.53,14.98,18.63
(주)DB하이텍,000990,2015/12,124.76,103.5,2.49,0.66,8.73,0.37,17.42,40.94
(주)DB하이텍,000990,2016/12,163.76,105.82,4.39,0.77,9.68,0.07,15.98,29.79
(주)DB하이텍,000990,2017/12,198.4,191.12,6.01,0.69,8.98,-2.86,-12.08,28.38
(주)DB하이텍,000990,2018/12,243.78,215.06,6.76,0.66,11.35,7.48,-1.54,31.71
(주)DB하이텍,000990,2019/12,289.95,168.83,13.43,0.75,17.05,3.68,20.64,34.55
(주)DB하이텍,000990,2020/12,357.32,154.28,36.77,0.83,18.05,8.25,15.92,38.34
(주)LG데이콤,015940,2000/12,564.62,42.04,0.03,0.42,218.79,-10.87,32.89,47.74
(주)LG데이콤,015940,2001/12,557.55,55.75,0.86,0.45,173.39,0.58,-0.18,51.78
(주)LG데이콤,015940,2002/12,468.16,35.89,1.11,0.41,323.52,28.31,6.12,37.45
(주)LG데이콤,015940,2003/12,370.7,27.13,0.42,0.38,389.63,-14.3,-5.29,31.07
(주)LG데이콤,015940,2004/12,315.73,41.98,1.5,0.45,503.37,-8.01,6.63,38.78
(주)LG데이콤,015940,2005/12,305.43,46.62,1.87,0.51,849.96,-5.86,6.09,36.67
(주)LG데이콤,015940,2006/12,316.51,68.04,5.42,0.58,1385.92,-0.03,9.06,38.56
(주)LG데이콤,015940,2007/12,334.42,70.57,7.74,0.65,1225.33,-5.26,9.44,36.9
(주)LG데이콤,015940,2008/12,346.63,90.05,14.07,0.8,526.25,3.14,21.74,28.63
(주)LG파워콤,045820,2001/12,,,,,,,,
(주)LG파워콤,045820,2002/12,106.75,16.99,2.98,0.34,52.31,0,0,64.11
(주)LG파워콤,045820,2003/12,110.46,46.32,4.32,0.37,62.21,-2.75,7.1,68.52
(주)LG파워콤,045820,2004/12,120.08,71.36,6.04,0.41,62.84,-2.62,8.43,78.44
(주)LG파워콤,045820,2005/12,126.03,136.2,3.07,0.43,119.93,14.27,11.76,72.88
(주)LG파워콤,045820,2006/12,118.11,49.7,-2.49,0.56,0,-5.37,34.07,45.34
(주)LG파워콤,045820,2007/12,151.89,45.76,1.76,0.71,651.09,12.16,29.64,51.4
(주)LG파워콤,045820,2008/12,148.74,57.96,2.27,0.71,388.11,16.45,14.79,45.2
(주)MH에탄올,023150,2000/12,586.7,64.97,2.71,0.57,9.77,24.65,-31.73,27.52
(주)MH에탄올,023150,2001/12,624.58,61.72,2.6,0.54,5.5,11.57,11.86,26.56
(주)MH에탄올,023150,2002/12,636.23,118.86,5.5,0.61,5.91,-12.39,11.91,21.47
(주)MH에탄올,023150,2003/12,719.32,83.44,18.2,0.68,8.36,13.04,11.01,29.66
(주)MH에탄올,023150,2004/12,799.91,68.08,15.14,0.69,9.05,10.66,12.24,28.63
(주)MH에탄올,023150,2005/12,770.91,59.21,11.04,0.72,7.82,-3.2,8.25,26.85
(주)MH에탄올,023150,2006/12,780.56,169.38,8.29,0.74,10.23,14.92,8.54,21.36
(주)MH에탄올,023150,2007/12,830.35,90.08,7.52,0.67,10.63,11.13,2.81,25.99
(주)MH에탄올,023150,2008/12,781.46,100.07,3.3,0.58,7.68,37.62,7.55,1.13
(주)MH에탄올,023150,2009/12,1023.17,38.23,2.14,0.44,8.61,28.54,1.5,23.43
(주)MH에탄올,023150,2010/12,965.85,49.92,1.84,0.38,10.29,3.11,-1.19,15.81
(주)MH에탄올,023150,2011/12,1274.22,32.66,1.5,0.34,9.89,18.63,-0.23,24.94
(주)MH에탄올,023150,2012/12,1332.11,26.4,1.64,0.33,9.24,2.41,5.28,20.86
(주)MH에탄올,023150,2013/12,1069.09,29.15,3.44,0.35,8.12,-11.98,1.78,-26.27
(주)MH에탄올,023150,2014/12,1142.28,66.52,5.62,0.47,7.49,-30.42,5.8,17.47
(주)MH에탄올,023150,2015/12,1252.4,88.4,12.7,0.61,9.52,-7.7,2.86,27.72
(주)MH에탄올,023150,2016/12,1376.13,175.61,29.42,0.65,10.7,-8.47,-2.96,28.85
(주)MH에탄올,023150,2017/12,1407.49,81.93,33.29,0.54,8.74,49.17,-1.28,24.74
(주)MH에탄올,023150,2018/12,1489.56,87,8.73,0.43,7.87,2.07,-2.75,27.29
(주)MH에탄올,023150,2019/12,1293.9,70.51,7.59,0.45,6.48,-7.84,0.1,3.41
(주)MH에탄올,023150,2020/12,1253.26,70.26,9.71,0.52,6.28,-3.51,9.12,15.03
(주)SH에너지화학,002360,2000/06,55.23,461.19,0.76,1.56,40.05,0,0,14.69
(주)SH에너지화학,002360,2001/06,168.57,516.53,1.17,0.77,23.22,4.28,-3.06,16.57
(주)SH에너지화학,002360,2002/06,175.95,602.6,2.09,0.78,27.92,0.69,4.14,20.48
(주)SH에너지화학,002360,2003/06,171.89,728.16,2.71,1,29.99,-11.94,20.48,10.47
(주)SH에너지화학,002360,2004/06,150.63,43.97,0.46,1.16,30.28,-6.39,5.64,7.81
(주)SH에너지화학,002360,2005/06,110.48,190.22,1.15,1.57,35.51,-8.89,24.49,2.88
(주)SH에너지화학,002360,2006/12,109.29,105.63,0.43,1.68,23.66,0,0,3.91
