회사명,거래소코드,회계년도,종가
(주)CMG제약,058820,2000/12,
(주)CMG제약,058820,2001/12,1420
(주)CMG제약,058820,2002/12,520
(주)CMG제약,058820,2003/12,800
(주)CMG제약,058820,2004/12,550
(주)CMG제약,058820,2005/12,1210
(주)CMG제약,058820,2006/12,14150
(주)CMG제약,058820,2007/12,5710
(주)CMG제약,058820,2008/12,1120
(주)CMG제약,058820,2009/12,1460
(주)CMG제약,058820,2010/12,792
(주)CMG제약,058820,2011/12,785
(주)CMG제약,058820,2012/12,1330
(주)CMG제약,058820,2013/12,932
(주)CMG제약,058820,2014/12,912
(주)CMG제약,058820,2015/12,2110
(주)CMG제약,058820,2016/12,3180
(주)CMG제약,058820,2017/12,6240
(주)CMG제약,058820,2018/12,4235
(주)CMG제약,058820,2019/12,4250
(주)CMG제약,058820,2020/12,5780
(주)ES큐브,050120,2001/06,
(주)ES큐브,050120,2002/06,1870
(주)ES큐브,050120,2003/06,900
(주)ES큐브,050120,2004/06,6030
(주)ES큐브,050120,2005/12,6490
(주)ES큐브,050120,2006/12,1860
(주)ES큐브,050120,2007/12,1270
(주)ES큐브,050120,2008/12,890
(주)ES큐브,050120,2009/12,1760
(주)ES큐브,050120,2010/12,2385
(주)ES큐브,050120,2011/12,2120
(주)ES큐브,050120,2012/12,3430
(주)ES큐브,050120,2013/12,1540
(주)ES큐브,050120,2014/12,1395
(주)ES큐브,050120,2015/12,1605
(주)ES큐브,050120,2016/12,1705
(주)ES큐브,050120,2017/12,1030
(주)ES큐브,050120,2018/12,668
(주)ES큐브,050120,2019/12,852
(주)ES큐브,050120,2020/12,558
(주)가비아,079940,2002/12,
(주)가비아,079940,2003/12,
(주)가비아,079940,2004/12,
(주)가비아,079940,2005/12,11900
(주)가비아,079940,2006/12,3750
(주)가비아,079940,2007/12,2760
(주)가비아,079940,2008/12,1250
(주)가비아,079940,2009/12,2130
(주)가비아,079940,2010/12,3050
(주)가비아,079940,2011/12,3950
(주)가비아,079940,2012/12,4035
(주)가비아,079940,2013/12,4790
(주)가비아,079940,2014/12,6420
(주)가비아,079940,2015/12,7130
(주)가비아,079940,2016/12,5840
(주)가비아,079940,2017/12,5870
(주)가비아,079940,2018/12,6360
(주)가비아,079940,2019/12,8280
(주)가비아,079940,2020/12,13150
(주)강스템바이오텍,217730,2013/12,
(주)강스템바이오텍,217730,2014/12,
(주)강스템바이오텍,217730,2015/12,10900
(주)강스템바이오텍,217730,2016/12,10800
(주)강스템바이오텍,217730,2017/12,12500
(주)강스템바이오텍,217730,2018/12,21800
(주)강스템바이오텍,217730,2019/12,8140
(주)강스템바이오텍,217730,2020/12,7910
(주)강원랜드,035250,2000/12,
(주)강원랜드,035250,2001/12,132500
(주)강원랜드,035250,2002/12,112000
(주)강원에너지,114190,2000/11,
(주)강원에너지,114190,2001/11,
(주)강원에너지,114190,2002/11,
(주)강원에너지,114190,2003/11,
(주)강원에너지,114190,2004/11,
