회사명,거래소코드,회계년도,순운전자본비율,자기자본배당률,자기자본배율,유동부채비율,매입채무회전률,총자본투자효율,유동자산회전률
(주)DB하이텍,000990,2000/12,-7.06,1.05,583.23,111.91,8.71,16.4,2.86
(주)DB하이텍,000990,2001/12,-10.01,0.39,591.05,108.52,8.02,14.12,3.14
(주)DB하이텍,000990,2002/12,-16.71,1.6,603.31,128.45,7.61,15.29,3.1
(주)DB하이텍,000990,2003/12,-16.67,1.49,648.28,131.34,8.1,13.26,3.07
(주)DB하이텍,000990,2004/12,-13.11,1.28,754.92,134.86,8.49,15.22,3.27
(주)DB하이텍,000990,2005/12,-16.45,0.59,808.48,149.48,9.01,10.59,2.91
(주)DB하이텍,000990,2006/12,-9.25,0.59,812.04,104.43,12.22,11.36,2.92
(주)DB하이텍,000990,2007/12,-11.31,0,474,105.75,13.12,11.35,3.07
(주)DB하이텍,000990,2008/12,-14.74,0,460.94,132.45,9.59,5.6,2.21
(주)DB하이텍,000990,2009/12,0.34,0,332.97,83.34,7.81,12.91,1.95
(주)DB하이텍,000990,2010/12,13.01,0,204.05,27.7,6.64,16.85,1.43
(주)DB하이텍,000990,2011/12,-44.83,0,135.92,273.15,19.91,9.37,1.89
(주)DB하이텍,000990,2012/12,-22.63,0,123.36,205.19,25.12,11.88,2.05
(주)DB하이텍,000990,2013/12,-24.24,0,88.65,241.63,18.66,9.27,1.88
(주)DB하이텍,000990,2014/12,-12.96,0,61.16,276.37,17.37,10.55,2.42
(주)DB하이텍,000990,2015/12,9.14,0,124.76,87.2,17.02,27.13,2.3
(주)DB하이텍,000990,2016/12,9.16,0,163.76,74.62,18.38,22.88,2.21
(주)DB하이텍,000990,2017/12,21.01,2.48,198.4,32.41,18.53,19.73,1.91
(주)DB하이텍,000990,2018/12,21.25,2,243.78,28.9,19.69,20.2,1.84
(주)DB하이텍,000990,2019/12,18.63,2.36,289.95,34.03,24.22,25.61,2.01
(주)DB하이텍,000990,2020/12,16.44,1.91,357.32,32.91,27.89,30.43,2.13
(주)MH에탄올,023150,2000/12,-2.89,0,586.7,48.87,0,14.11,2
(주)MH에탄올,023150,2001/12,0.75,0,624.58,48.31,129.32,13.65,1.9
(주)MH에탄올,023150,2002/12,12.82,0.94,636.23,30.72,107.88,14.1,1.94
(주)MH에탄올,023150,2003/12,3.51,2.78,719.32,35.96,470.47,19.12,2.21
(주)MH에탄올,023150,2004/12,-1.44,2.5,799.91,40.67,0,18.72,2.5
(주)MH에탄올,023150,2005/12,-0.67,4.12,770.91,40.99,0,19.64,2.64
(주)MH에탄올,023150,2006/12,11.83,4.07,780.56,18.45,0,14.75,2.93
(주)MH에탄올,023150,2007/12,6.32,3.83,830.35,35.91,0,16.61,2.66
(주)MH에탄올,023150,2008/12,6.93,0,781.46,107.22,0,0.56,1.44
(주)MH에탄올,023150,2009/12,-30.3,0,1023.17,135.99,0,9.24,1.24
(주)MH에탄올,023150,2010/12,-24.26,0,965.85,150.06,323.41,5.97,1.36
(주)MH에탄올,023150,2011/12,-29.6,0,1274.22,118.38,322.68,7.93,1.39
(주)MH에탄올,023150,2012/12,-31.83,0,1332.11,114.8,0,6.82,1.84
(주)MH에탄올,023150,2013/12,-34.26,0,1069.09,143.98,0,-9.93,1.89
(주)MH에탄올,023150,2014/12,-4.22,2.81,1142.28,60.22,0,10.04,1.82
(주)MH에탄올,023150,2015/12,1.55,3.16,1252.4,35.68,0,17.75,2.02
(주)MH에탄올,023150,2016/12,15.71,3.42,1376.13,12.08,0,19.59,2.4
(주)MH에탄올,023150,2017/12,2.51,3.73,1407.49,24.02,0,11.12,2.6
(주)MH에탄올,023150,2018/12,4.24,3.43,1489.56,20.07,0,11.68,2.56
(주)MH에탄올,023150,2019/12,3.84,3.83,1293.9,23.96,0,1.59,2.57
(주)MH에탄올,023150,2020/12,3.16,3.95,1253.26,30.24,0,7.9,2.65
(주)SH에너지화학,002360,2000/06,30.82,0,55.23,74.67,224.91,11.48,4.08
(주)SH에너지화학,002360,2001/06,32.8,0,168.57,29.7,129.5,12.49,1.97
(주)SH에너지화학,002360,2002/06,30.54,0,175.95,17.45,168.71,15.97,2.06
(주)SH에너지화학,002360,2003/06,27.88,0,171.89,10.92,222.89,11.17,2.94
(주)SH에너지화학,002360,2004/06,-31.5,0,150.63,192.3,165.72,9.4,3.68
(주)SH에너지화학,002360,2005/06,18.79,0,110.48,23.64,138.85,4.74,4.79
(주)SH에너지화학,002360,2006/12,8.59,0,109.29,38.62,283.3,6.59,4.85
(주)SH에너지화학,002360,2007/12,13.84,0,118.29,36.29,88.16,9.65,4.69
(주)SH에너지화학,002360,2008/12,2.38,0,119.67,37.24,101.77,-5.05,4.75
(주)SH에너지화학,002360,2009/12,8.36,0,125.02,36.41,422.44,9,4.5
(주)SH에너지화학,002360,2010/12,14.58,0,113.66,35.38,442.26,-0.22,4.34
(주)SH에너지화학,002360,2011/12,14.45,0,115.71,50.92,315.51,8.74,4.15
(주)SH에너지화학,002360,2012/12,19.55,0,116.41,44.27,121.97,7.14,3.98
(주)SH에너지화학,002360,2013/12,20.77,2.38,125.19,50.06,95.75,10.92,4.31
(주)SH에너지화학,002360,2014/12,32.14,5.98,149.63,24.48,94.9,23.76,4.01
(주)SH에너지화학,002360,2015/12,41.16,5.38,162.79,18.51,130.5,22.09,3.59
(주)SH에너지화학,002360,2016/12,54.8,5.92,184.94,11.84,166.75,24.61,2.99
(주)SH에너지화학,002360,2017/12,57.4,4.51,189.66,7.93,117.57,14.82,2.33
(주)SH에너지화학,002360,2018/12,58.68,2.45,186.7,6.39,138.3,8.06,2.31
(주)SH에너지화학,002360,2019/12,55.94,0,174.72,7.23,140.98,2.28,1.81
(주)SH에너지화학,002360,2020/12,49.3,0,161.14,7.82,79.3,-2.57,1.31
(주)SIMPAC,009160,2000/12,-15.89,0,74.2,146.02,3.82,18.64,2.07
(주)SIMPAC,009160,2001/12,-14.51,0,226.01,168.5,2.01,9.31,1.28
(주)SIMPAC,009160,2002/12,-14.11,0,226.82,153.86,2.67,12.53,1.48
(주)SIMPAC,009160,2003/12,-10.41,1.96,254.27,152.27,3.64,13.32,2.04
(주)SIMPAC,009160,2004/12,-9.05,1.59,283.16,116.46,3.6,18.48,2.18
(주)SIMPAC,009160,2005/12,7.3,2.6,345.55,88.68,4,17.54,2.18
(주)SIMPAC,009160,2006/12,-6.8,2.67,403.22,95.8,4.48,16.98,2.37
(주)SIMPAC,009160,2007/12,23.67,2.53,500.19,57.2,4.41,19.85,1.97
(주)SIMPAC,009160,2008/12,17.2,2.17,670.12,71.06,4.49,23.97,1.61
(주)SIMPAC,009160,2009/12,3.08,1.93,756,65.68,3.71,14.55,1.46
(주)SIMPAC,009160,2010/12,8.81,2.08,891.27,85.18,4.94,14.85,1.75
(주)SIMPAC,009160,2011/12,11.55,1.73,1071.57,75.03,5.5,12.36,1.51
(주)SIMPAC,009160,2012/12,13.86,1.52,1222.84,60.76,5.93,11.36,1.48
(주)SIMPAC,009160,2013/12,-7.77,1.09,1360.85,67.58,5.37,9.55,1.59
(주)SIMPAC,009160,2014/12,0.59,1.06,1402.13,56.93,5.84,6.73,2.03
