회사명,거래소코드,회계년도,소속코드,상장폐지일,감사의견코드,자기자본증가율,경영자본순이익률,총자본순이익률,자기자본순이익률,순운전자본비율,비유동장기적합률,경영자본회전률,매입채무회전률,총자본투자효율,설비투자효율,재고자산회전률,매출채권회전률,자산총계(요약)(백만원),부채총계(요약)(백만원)
(주)DB하이텍,000990,2000/12,1,,UQ,0.5,1.92,1.67,4.76,-7.06,111.81,1.13,8.71,16.4,30.55,4.9,11.5,805757,516209
(주)DB하이텍,000990,2001/12,1,,UQ,1.34,0.79,0.69,1.92,-10.01,116.47,1.12,8.02,14.12,26.73,4.98,13.34,811974,518549
(주)DB하이텍,000990,2002/12,1,,UQ,2.07,2.34,1.95,5.5,-16.71,130.31,1.06,7.61,15.29,29.53,4.62,16.53,857183,557670
(주)DB하이텍,000990,2003/12,1,,,7.45,1.8,1.5,4.2,-16.67,132.11,1.1,8.1,13.26,26.41,4.78,18.43,879135,557295
(주)DB하이텍,000990,2004/12,1,,UQ,16.45,5.18,4.41,11.76,-13.11,127.18,1.35,8.49,15.22,33.46,5.19,20.72,976639,601859
(주)DB하이텍,000990,2005/12,1,,UQ,7.09,1.29,1.07,2.89,-16.45,135.18,1.32,9.01,10.59,26.06,4.76,13.71,1126572,725202
(주)DB하이텍,000990,2006/12,1,,UQ,0.44,0.24,0.19,0.52,-9.25,115.19,1.23,12.22,11.36,24.29,5.09,10.23,1076069,672928
(주)DB하이텍,000990,2007/12,1,,UQ,119.52,-0.87,-0.79,-2.63,-11.31,115.95,0.71,13.12,11.35,17.15,5.73,9.73,3213716,2328755
(주)DB하이텍,000990,2008/12,1,,UQ,-2.75,-9.32,-8.6,-32.26,-14.74,122.39,0.45,9.59,5.6,8.6,4.36,8.07,3334536,2473948
(주)DB하이텍,000990,2009/12,1,,UQ,-26.7,-6.62,-6.1,-23.66,0.34,99.57,0.43,7.81,12.91,18.37,3.89,7.61,2448082,1817278
(주)DB하이텍,000990,2010/12,1,,UQ,-31.32,-3.77,-3.46,-12.42,13.01,85.75,0.34,6.64,16.85,27.7,3.38,4.85,1374102,940893
(주)DB하이텍,000990,2011/12,1,,UQ,-32.66,-8.26,-7.28,-25.68,-44.83,237.1,0.47,19.91,9.37,15.16,6.81,6.56,1183957,892248
(주)DB하이텍,000990,2012/12,1,,UQ,-5.88,-3.03,-2.75,-11.35,-22.63,144.4,0.55,25.12,11.88,20.59,7.47,8.12,1149069,874516
(주)DB하이텍,000990,2013/12,1,,UQ,-28.14,-7.51,-6.66,-31.05,-24.24,144.41,0.51,18.66,9.27,16.19,6.51,7.41,1049495,852207
(주)DB하이텍,000990,2014/12,1,,UQ,-31.01,-6.58,-5.69,-34.99,-12.96,120.75,0.64,17.37,10.55,19.19,8.02,8.07,1001960,865856
(주)DB하이텍,000990,2015/12,1,,UQ,104.01,14.69,12.7,61.61,9.14,87.96,0.77,17.02,27.13,55.75,8.73,7.7,1005674,728011
(주)DB하이텍,000990,2016/12,1,,UQ,31.26,9.99,8.75,27.41,9.16,87.45,0.88,18.38,22.88,45.62,9.68,7.66,1006371,641920
(주)DB하이텍,000990,2017/12,1,,UQ,21.15,8.2,7.5,18.46,21.01,75.38,0.75,18.53,19.73,37.02,8.98,6.94,977575,536028
(주)DB하이텍,000990,2018/12,1,,UQ,22.88,10.22,9.38,19.32,21.25,75.02,0.72,19.69,20.2,41.97,11.35,7.25,1050696,508139
(주)DB하이텍,000990,2019/12,1,,UQ,18.94,12.36,11.32,20.4,18.63,76.67,0.82,24.22,25.61,49.51,17.05,8.04,1089401,444096
(주)DB하이텍,000990,2020/12,1,,UQ,23.23,15.87,14.6,23,16.44,78.87,0.9,27.89,30.43,62.01,18.05,9.16,1179257,384020
(주)LG데이콤,015940,2000/12,4,2010/01/15,UQ,-50.58,-5.22,-3.9,-9.03,-24.07,141.59,0.57,7.2,21.39,34.82,218.79,13.56,2229744,1553805
(주)LG데이콤,015940,2001/12,4,2010/01/15,UQ,-1.25,-3.57,-3.08,-10.24,-17.11,128.09,0.52,7.93,23.02,38.58,173.39,9.88,2242613,1575139
(주)LG데이콤,015940,2002/12,4,2010/01/15,UQ,29.91,1.26,0.93,3.11,-27.3,147.66,0.56,10.34,13.77,30.63,323.52,8.81,2877545,2010451
(주)LG데이콤,015940,2003/12,4,2010/01/15,UQ,-20.81,-14.83,-9.18,-31.58,-27.12,143.29,0.61,8.26,12.63,27.15,389.63,10.18,2465988,1779379
(주)LG데이콤,015940,2004/12,4,2010/01/15,UQ,15.94,2.82,1.64,5.23,-22.07,135.69,0.78,7.98,18.27,48.24,503.37,16.39,2268423,1472354
(주)LG데이콤,015940,2005/12,4,2010/01/15,UQ,22.9,5.22,2.93,7.28,-18.43,128.2,0.92,7.59,19.47,53.58,849.96,9.16,2135585,1157240
(주)LG데이콤,015940,2006/12,4,2010/01/15,UQ,31.37,13.03,7.58,14.29,-8.28,111.2,1,8.85,22.33,57.55,1385.92,6.29,2134838,849605
(주)LG데이콤,015940,2007/12,4,2010/01/15,UQ,8.36,10.73,6.42,9.97,-6.97,109.16,1.09,10.61,24.68,64.09,1225.33,6.22,2022646,629991
(주)LG데이콤,015940,2008/12,4,2010/01/15,UQ,3.65,9.7,5.86,8.48,-1.92,102.44,1.33,11.49,22.61,58.19,526.25,6.74,2086151,642675
(주)LG파워콤,045820,2001/12,4,2010/01/15,,,,,,,,,,,,,,1391432,595539
(주)LG파워콤,045820,2002/12,4,2010/01/15,,0,1.74,1.62,2.92,-23.48,133.11,0.37,9.56,21.77,26.95,52.31,7.26,1448341,647722
(주)LG파워콤,045820,2003/12,4,2010/01/15,,3.48,2.24,2.14,3.76,-13.44,118.17,0.39,8.76,25.63,33.39,62.21,8.31,1408536,580056
(주)LG파워콤,045820,2004/12,4,2010/01/15,,8.7,5.38,5.3,8.53,-3.95,104.73,0.42,9.28,32.67,42.77,62.84,10.25,1371563,470965
