,name,lasso coef,used,abs_coef,rank,category
0,설비투자효율,-5.0188197627202975e-11,True,5.0188197627202975e-11,30,생산성
1,당좌비율,6.669629741028294e-11,True,6.669629741028294e-11,29,안정성
2,재고자산회전률,-8.761525351340442e-11,True,8.761525351340442e-11,28,활동성
3,자기자본배율,-2.949233242615245e-09,True,2.949233242615245e-09,27,안정성
4,유형자산증가율,4.5955430720329476e-09,True,4.5955430720329476e-09,26,성장성
5,매출채권_대_매입채무비율,1.3515647992373236e-08,True,1.3515647992373236e-08,25,안정성
6,이자보상비율,1.359941057737522e-08,True,1.359941057737522e-08,24,수익성
7,매입채무회전률,-3.2740826453948084e-08,True,3.2740826453948084e-08,23,활동성
8,영업이익증가율,-3.999413975735436e-08,True,3.999413975735436e-08,22,성장성
9,EBITDA단기차입비율,-7.348973830571761e-08,True,7.348973830571761e-08,21,현금흐름
10,청산가치율,1.2144350690658137e-07,True,1.2144350690658137e-07,20,안정성
11,순이익증가율,3.066030888715333e-07,True,3.066030888715333e-07,19,성장성
12,부가가치율,-3.981661425681895e-07,True,3.981661425681895e-07,18,생산성
13,매출액순이익률,4.633022190059649e-07,True,4.633022190059649e-07,17,수익성
14,매출액판관비율,-9.647973805619004e-07,True,9.647973805619004e-07,16,수익성
15,이익잉여금비율,1.6475336105160123e-06,True,1.6475336105160123e-06,15,안정성
16,영업이익대비EBITDA비율,2.0573090668889037e-06,True,2.0573090668889037e-06,14,현금흐름
17,자기자본증가율,2.781767142133144e-06,True,2.781767142133144e-06,13,성장성
18,자기자본순이익률,-7.044382404651082e-06,True,7.044382404651082e-06,12,수익성
19,재고자산보유기간,-7.606538552586408e-06,True,7.606538552586408e-06,11,현금흐름
20,유동부채비율,1.2256041740217015e-05,True,1.2256041740217015e-05,10,안정성
21,부채비율,1.443581874698732e-05,True,1.443581874698732e-05,9,안정성
22,비유동비율,-2.5105531815497125e-05,True,2.5105531815497125e-05,8,안정성
23,매출채권회수기간,3.097791039571423e-05,True,3.097791039571423e-05,7,현금흐름
24,순운전자본비율,-6.716572800419398e-05,True,6.716572800419398e-05,6,안정성
25,총자본투자효율,-8.120343212729616e-05,True,8.120343212729616e-05,5,생산성
26,비유동장기적합률,8.428889094971298e-05,True,8.428889094971298e-05,4,안정성
27,부채구성비율,0.0001652219245767,True,0.0001652219245767,3,안정성
28,총자본순이익률,-0.0002651626738996,True,0.0002651626738996,2,수익성
29,경영자본순이익률,-0.0003238650454599,True,0.0003238650454599,1,수익성
