,회사명,거래소코드,공시발생일,공시제목,text,link
0,엔케이바이오,019260,2000-12-29 18:25,대표이사변경,"









대표이사 변경 안내



1.변경내용
가.변경전
이 정 률


나.변경후
신 정 철


2.변경이유
개인적사유


3.이사회결의일(주주총회일)
2000년 12월 29일


4.기타
-




",https://kind.krx.co.kr/external/2000/12/29/K00090/00000000030035/17525_70656.htm
1,무한투자,034510,2000-12-20 16:20,대표이사변경,"









대표이사 변경 안내



1.변경내용
가.변경전
대표이사 전무 김종민


나.변경후
대표이사 사장 이인규대표이사 부사장 김종민


2.변경이유
단독대표이사 체제에서 각자 대표이사체제로 전환


3.이사회결의일(주주총회일)
2000년 12월 19일


4.기타
대표이사 이인규 : 투자부문 총괄대표이사 김종민 : 관리부문 총괄




",https://kind.krx.co.kr/external/2000/12/20/K00027/00000000028916/16832_70656.htm
2,휴먼이노텍,013630,2000-12-18 15:14,대표이사변경,"









대표이사 변경 안내



1.변경내용
가.변경전
 정 기웅, 심 재명, 이 건행


나.변경후
 정 기웅


2.변경이유
단일 대표이사 체제


3.이사회결의일(주주총회일)
-


4.기타
사임일 : 2000년 12월 15일




",https://kind.krx.co.kr/external/2000/12/18/K00107/00000000028695/16685_70656.htm
3,디에스티,033430,2000-12-18 14:02,대표이사변경,"









대표이사 변경 안내



1.변경내용
가.변경전
전병태


나.변경후
정주하


2.변경이유
이사회결의에 의한 대표이사 변경


3.이사회결의일(주주총회일)
2000년 12월 16일


4.기타
-




",https://kind.krx.co.kr/external/2000/12/18/K00103/00000000028688/16680_70656.htm
4,BNGT,032790,2000-12-15 16:54,대표이사변경,"









대표이사 변경 안내



1.변경내용
가.변경전
박종희 단독대표


나.변경후
박종희,박종환 각자대표


2.변경이유
사업의 특성을 고려하여 업무분담


3.이사회결의일(주주총회일)
2000년 12월 15일


4.기타
-




",https://kind.krx.co.kr/external/2000/12/15/K00091/00000000028455/16508_70656.htm
5,한와이어리스,037020,2000-12-15 11:28,대표이사변경,"









대표이사 변경 안내



1.변경내용
가.변경전
김 연 호 


나.변경후
정 재 영


2.변경이유
일신상의 사정으로 인함


3.이사회결의일(주주총회일)
2000년 12월 14일


4.기타
-




",https://kind.krx.co.kr/external/2000/12/15/K00027/00000000028358/16442_70656.htm
6,덴소풍성,047060,2000-12-04 16:14,대표이사변경,"









대표이사 변경 안내



1.변경내용
가.변경전
최순철,황선태


나.변경후
최순철,교구열부


2.변경이유
(주)덴소와의 자본합작에 따른 대표이사 추가(각자대표이사)


3.이사회결의일(주주총회일)
2000년 12월 02일


4.기타
최순철 2000년 12월 02일 취임교구열부 2001년 01월 01일 취임




",https://kind.krx.co.kr/external/2000/12/04/K00092/00000000027117/15614_70656.htm
7,인지디스플레,037330,2000-12-01 14:29,대표이사변경,"









대표이사 변경 안내



1.변경내용
가.변경전
최종식


나.변경후
김충식


2.변경이유
대표이사 사임의사 표현


3.이사회결의일(주주총회일)
2000년 11월 30일


4.기타
-




",https://kind.krx.co.kr/external/2000/12/01/K00022/00000000026903/15456_70656.htm
8,스타맥스,017050,2000-12-01 13:37,대표이사변경,"









대표이사 변경 안내



1.변경내용
가.변경전
 백종석


나.변경후
 이성주


2.변경이유
 대표이사 사임의사 표현 및 인터넷사업부문 강화


3.이사회결의일(주주총회일)
2000년 11월 30일


4.기타
-




",https://kind.krx.co.kr/external/2000/12/01/K00008/00000000026885/15445_70656.htm
9,정산애강,022220,2000-11-29 10:55,대표이사변경,"









대표이사 변경 안내



1.변경내용
가.변경전
정배옥


나.변경후
정배옥, 이세준


2.변경이유
효율적인 경영을 위해 업무 분담


3.이사회결의일(주주총회일)
2000년 11월 29일


4.기타
각자 대표




",https://kind.krx.co.kr/external/2000/11/29/K00002/00000000026606/15270_70656.htm
