회사명,거래소코드,회계년도,부가가치,법인세비용차감전(계속사업)손익,인건비,금융비용,임차료,조세공과,감가상각비,종업원1인당 부가가치,총자본투자효율,기계투자효율,부가가치율,종업원수
(주)CMG제약,058820,2000/12,,,,,,,,,,,,
(주)CMG제약,058820,2001/12,1831.07,111.85,1196.41,237.42,26.03,18.07,241.31,15.26,8.76,214.85,11.57,120
(주)CMG제약,058820,2002/12,121.48,-3225.33,2565.66,352.83,64.58,26.83,336.91,1.79,0.79,42.66,0.46,68
(주)CMG제약,058820,2003/12,1858.57,154.75,1184.75,207.39,94.37,14.46,202.85,80.81,16.8,469.87,10.69,23
(주)CMG제약,058820,2004/12,-1965.01,-2819.13,495.97,122.04,37.78,4.07,194.26,-131,-37.94,-791.34,-15.02,15
(주)CMG제약,058820,2005/12,-1878.32,-2558.03,253.06,107.03,95.56,3.36,220.71,-104.35,-22.68,-316.3,-44.87,18
(주)CMG제약,058820,2006/12,-2625.04,-3410.63,564.11,-59.9,45.69,49.14,186.54,-328.13,-26.17,0,-78.95,8
(주)CMG제약,058820,2007/12,-372.08,-890.1,839.34,-403.36,30.44,5.72,45.88,-3.32,-1.69,0,-20.72,112
(주)CMG제약,058820,2008/12,-918.47,-4659.44,2786.26,452.08,85.22,51.69,365.72,-6.85,-2.66,-461.43,-8.5,134
(주)CMG제약,058820,2009/12,-11532.47,-18176.78,3673.2,913.42,141.94,366.86,1548.89,-96.91,-50.5,-381.92,-113.66,119
(주)CMG제약,058820,2010/12,-451.7,-7648.55,3945.55,1007.16,252.23,137.41,1854.52,-3.5,-1.87,-20.57,-3.98,129
(주)CMG제약,058820,2011/12,3793.19,-1264.49,3115.91,143.09,329.79,128.74,1340.15,28.1,13.77,142.24,21.37,135
(주)CMG제약,058820,2012/12,-1109.28,-6892.74,3524.47,399.66,315.88,150.92,1392.52,-8.28,-1.95,-44.42,-6.82,134
(주)CMG제약,058820,2013/12,5226.74,350.27,3132.9,327.28,166.54,142.48,1107.28,38.43,9.34,216.25,25.72,136
(주)CMG제약,058820,2014/12,5517.85,171.5,3609.28,-157.09,194.1,235.21,1464.85,33.65,9.49,103.2,24.25,164
(주)CMG제약,058820,2015/12,2836.01,-3648.67,4250.51,-29.83,171.37,202.58,1890.05,18.18,5.01,59.75,10.49,156
(주)CMG제약,058820,2016/12,9120.17,1642.24,5043.24,-153.68,255.37,232.33,2100.67,57,8.22,237.22,27.66,160
(주)CMG제약,058820,2017/12,11476.46,2870.32,6895.28,-1129.44,513.81,471.71,1854.79,57.38,10.47,325.69,27.63,200
(주)CMG제약,058820,2018/12,14753.59,3655.61,8684.32,-502.12,475.74,593.94,1846.11,66.46,12.9,419.39,29.59,222
(주)CMG제약,058820,2019/12,17218.9,3836.61,11164.42,-1091.09,421.42,781.85,2105.69,71.45,8.96,396.3,29.37,241
(주)CMG제약,058820,2020/12,14269.68,568.84,11113.41,-817.98,59.38,910.5,2435.53,60.21,7.3,398.36,22.14,237
(주)ES큐브,050120,2001/06,,,,,,,,,,,,
(주)ES큐브,050120,2002/06,1573.87,721.62,702.53,92.55,15.4,4.96,36.81,92.58,16.66,26213.67,5.78,17
(주)ES큐브,050120,2003/06,1232.78,422.81,836.04,-92.93,21.16,9.21,36.5,77.05,12.92,12956.16,5.17,16
(주)ES큐브,050120,2004/06,1054.17,43.5,1014.34,-73.66,15.82,8.33,45.84,55.48,6.74,12459.17,4.7,19
(주)ES큐브,050120,2005/12,-3732.54,-5166.77,1039.77,329.84,6.04,13.28,45.3,-219.56,-14.27,-59644.25,-25.03,17
(주)ES큐브,050120,2006/12,-1838.82,-3129.98,1543.08,-477.2,36.87,93.03,95.38,-59.32,-6.24,-42087.96,-13.4,31
(주)ES큐브,050120,2007/12,1068.84,-394.01,1874.54,-843.94,94.41,40.1,297.74,41.11,2.95,40348.77,9.07,26
(주)ES큐브,050120,2008/12,-1946.83,-3255.32,1652.54,-842.11,217.64,14.32,266.1,-35.4,-4.79,-100559.45,-14.99,55
(주)ES큐브,050120,2009/12,5634.77,3747.31,2114.4,-726.28,248.03,9.25,242.06,43.68,11.94,392666.55,19.94,129
(주)ES큐브,050120,2010/12,670.83,-2249.73,1839.66,-597.49,220.95,35.14,1422.31,3.41,1.41,63107.43,1.94,197
(주)ES큐브,050120,2011/12,5188.03,-2933.43,4840.69,-432.8,283.86,247.69,3182.02,21.89,11.47,720560.28,12.44,237
(주)ES큐브,050120,2012/12,9899.39,516.86,4984.08,-299.88,380.51,203.76,4114.07,41.95,22.16,2012070.53,22.41,236
(주)ES큐브,050120,2013/12,-6788.25,-14749.08,4804.43,-300.51,329.22,418.01,2709.68,-67.88,-14.29,-3649596.77,-14.81,100
(주)ES큐브,050120,2014/12,1585.13,-2412.39,3113.36,-671.95,250.97,115.06,1190.07,58.71,3.53,0,4.26,27
(주)ES큐브,050120,2015/12,6263.14,3610.34,2511.06,-389.83,164.98,43.79,322.8,160.59,13.29,0,16.98,39
(주)ES큐브,050120,2016/12,19928.15,17469.01,2196.34,-224.1,147.18,23.84,315.86,664.27,19.08,0,57.23,30
(주)ES큐브,050120,2017/12,4347.53,1061.7,2245.65,289.32,33.02,5.53,712.31,124.22,4.15,0,11.72,35
(주)ES큐브,050120,2018/12,211.17,-3840.51,2476.07,724.66,14.18,27.38,809.39,7.04,0.19,0,0.67,30
