,번호,시간,회사명,종목코드,공시제목,제출인
0,24,2002-10-31 18:27,정산애강,22220,부도발생및은행거래정지,정산애강
1,23,2002-10-08 12:06,대호특수강,21040,은행거래재개,대호특수강
2,22,2002-05-21 18:16,에이치엘비,28300,회사정리절차종결결정,에이치엘비
3,21,2002-04-17 17:42,에이치엘비,28300,회사정리절차종결신청,에이치엘비
4,20,2001-12-26 14:58,대호특수강,21040,회사정리절차개시결정,대호특수강
5,19,2001-12-26 08:10,대주산업,3310,화의채무변제완료보고서제출,대주산업
6,18,2001-11-30 19:10,대호특수강,21040,회사재산보전처분결정,대호특수강
7,17,2001-11-26 16:38,세븐코스프,17160,화의채무변제완료보고서제출,세븐코스프
8,16,2001-11-23 18:36,대호특수강,21040,회사정리절차개시신청,대호특수강
9,15,2001-10-11 18:33,대호특수강,21040,[정정]부도발생및은행거래정지,대호특수강
10,14,2001-10-11 17:50,대호특수강,21040,부도발생및은행거래정지[정],대호특수강
11,13,2001-02-22 18:34,엔케이바이오,19260,화의채무변제완료보고서제출,셀텍
12,12,2000-12-20 16:17,ST&I,31800,회사정리절차종결결정,에스티앤아이
13,11,2000-11-23 10:19,ST&I,31800,회사정리절차종결신청,에스티앤아이
14,10,2000-08-07 15:44,지노시스템,33850,화의채무변제완료보고서제출,지노시스템
15,9,2000-06-29 10:33,엠투엔,33310,화의채무변제완료보고서제출,엠투엔
16,8,2000-03-31 00:00,아진산업,13310,회사정리절차개시결정(아진산업(주)),
17,7,2000-03-31 00:00,에이치엘비,28300,은행거래재개(국제정공(주)),
18,6,2000-03-28 00:00,ST&I,31800,회사정리절차개시결정(씨티아이반도체(주) (1)),
19,5,2000-03-28 00:00,ST&I,31800,회사정리절차개시결정(씨티아이반도체(주) (2)),
20,4,2000-03-23 00:00,엔케이바이오,19260,은행거래재개((주)한올),
21,3,2000-02-09 00:00,에이치엘비,28300,회사정리절차개시결정(국제정공(주) (1)),
22,2,2000-02-09 00:00,에이치엘비,28300,회사정리절차개시결정(국제정공(주) (2)),
23,1,2000-01-31 00:00,엠투엔,33310,은행거래재개((주)우진산전),
0,6,2005-01-12 15:20,파워넷,37030,회사정리절차개시결정,파워넷
1,5,2004-12-10 16:58,파워넷,37030,회사재산보전처분결정,파워넷
2,4,2004-12-08 18:21,파워넷,37030,회사정리절차개시신청,파워넷
3,3,2003-06-10 11:06,유니크,11320,화의채무변제완료보고서제출,유니크
4,2,2003-02-05 15:07,대호특수강,21040,회사정리절차종결결정,대호특수강
5,1,2003-01-28 14:15,대호특수강,21040,회사정리절차종결신청,대호특수강
0,12,2008-12-18 07:09,디에스피,16040,회생절차개시신청,디에스피이엔티
1,11,2008-12-09 12:36,아이비진,39060,부도발생,아이비진
2,10,2008-10-31 15:37,IDH,26230,회생절차개시결정,아이디에이치
3,9,2008-10-20 17:51,IDH,26230,회생절차개시신청,아이디에이치
4,8,2008-09-16 17:00,태산엘시디,36210,회생절차개시신청,태산엘시디
5,7,2008-07-10 07:00,케이에스피,73010,회생절차개시결정,케이에스피
6,6,2008-06-04 17:39,케이에스피,73010,회생절차개시신청,케이에스피
7,5,2007-10-18 16:42,나리지*온,36850,[정정]회생절차개시결정,나리지*온
8,4,2007-07-31 16:44,나리지*온,36850,회생절차개시결정[정],나리지*온
9,3,2007-06-22 17:47,나리지*온,36850,회생절차개시신청,나리지*온
10,2,2006-09-29 17:59,현대바이오,48410,회생절차개시결정,현대바이오사이언스
11,1,2006-09-01 16:09,현대바이오,48410,회생절차개시신청,현대바이오사이언스
0,52,2011-12-30 17:54,미리넷,56710,[정정]회생절차개시결정[정],미리넷
