,회사명,거래소코드,회계년도,당좌자산(요약),당기순이익(요약),자기자본증가율,매출액총이익률,유동비율,부도
15465,(주)케이피엠테크,42040.0,2000/12,5917.0,1208.0,0.0,15.56,194.03,1.0
15466,(주)케이피엠테크,42040.0,2001/12,7680.0,1440.0,17.46,17.42,207.46,1.0
15467,(주)케이피엠테크,42040.0,2002/12,11683.0,1749.0,72.46,17.89,318.13,1.0
15468,(주)케이피엠테크,42040.0,2003/12,12165.0,890.0,-2.53,14.95,205.92,1.0
15469,(주)케이피엠테크,42040.0,2004/12,11842.0,1593.0,5.22,15.79,195.51,1.0
15470,(주)케이피엠테크,42040.0,2005/12,18077.0,531.0,28.23,13.97,192.71,1.0
15471,(주)케이피엠테크,42040.0,2006/12,16420.0,-529.0,-5.63,12.6,145.4,1.0
15472,(주)케이피엠테크,42040.0,2007/12,15468.0,-178.0,-9.3,10.03,146.29,1.0
15473,(주)케이피엠테크,42040.0,2008/12,16208.0,210.0,26.55,13.74,158.18,1.0
15474,(주)케이피엠테크,42040.0,2009/12,15930.0,1516.0,25.68,16.69,125.24,1.0
15475,(주)케이피엠테크,42040.0,2010/12,16381.0,1572.0,-10.33,11.12,132.95,1.0
15476,(주)케이피엠테크,42040.0,2011/12,17464.0,-3958.0,-12.18,5.06,68.0,1.0
15477,(주)케이피엠테크,42040.0,2012/12,22048.0,-19257.0,-87.09,-8.69,53.54,1.0
15478,(주)케이피엠테크,42040.0,2013/12,9860.0,-15651.0,-10.79,-15.76,102.38,1.0
15479,(주)케이피엠테크,42040.0,2014/12,23985.0,3829.0,181.29,17.81,74.14,1.0
15480,(주)케이피엠테크,42040.0,2015/12,15638.0,2266.0,29.67,6.44,73.72,1.0
15481,(주)케이피엠테크,42040.0,2016/12,24339.0,-3271.0,411.72,3.13,134.94,1.0
15482,(주)케이피엠테크,42040.0,2017/12,30282.0,-3371.0,82.68,6.73,256.38,1.0
15483,(주)케이피엠테크,42040.0,2018/12,35425.0,29957.0,56.07,16.18,163.79,1.0
15484,(주)케이피엠테크,42040.0,2019/12,36942.0,-30407.0,-15.01,2.59,157.85,1.0
15485,(주)케이피엠테크,42040.0,2020/12,47314.0,-15531.0,12.19,2.29,249.41,1.0
5750,(주)세진티에스,67770.0,2000/12,1962.0,1098.0,,,,1.0
5751,(주)세진티에스,67770.0,2001/12,4360.0,3282.0,0.0,25.93,174.11,1.0
5752,(주)세진티에스,67770.0,2002/12,10248.0,5472.0,176.04,28.21,574.07,1.0
5753,(주)세진티에스,67770.0,2003/12,16252.0,4751.0,37.91,22.55,450.64,1.0
5754,(주)세진티에스,67770.0,2004/12,24106.0,4205.0,107.94,17.43,838.4,1.0
5755,(주)세진티에스,67770.0,2005/12,29177.0,2906.0,5.84,14.95,580.2,1.0
5756,(주)세진티에스,67770.0,2006/12,28222.0,2681.0,5.61,13.18,1027.29,1.0
5757,(주)세진티에스,67770.0,2007/12,31820.0,4803.0,10.35,15.62,902.85,1.0
5758,(주)세진티에스,67770.0,2008/12,33421.0,4918.0,13.22,20.66,2145.38,1.0
5759,(주)세진티에스,67770.0,2009/12,36875.0,3521.0,4.14,19.86,1692.76,1.0
5760,(주)세진티에스,67770.0,2010/12,33440.0,4346.0,6.59,17.42,1127.45,1.0
5761,(주)세진티에스,67770.0,2011/12,29238.0,1202.0,0.21,7.85,628.57,1.0
5762,(주)세진티에스,67770.0,2012/12,25567.0,-3324.0,-6.8,-2.93,1270.42,1.0
5763,(주)세진티에스,67770.0,2013/12,24738.0,-740.0,-1.59,-3.55,1578.37,1.0
5764,(주)세진티에스,67770.0,2014/12,26100.0,550.0,1.16,11.54,2105.5,1.0
5765,(주)세진티에스,67770.0,2015/12,24917.0,-5660.0,-11.04,-7.12,1802.3,1.0
5766,(주)세진티에스,67770.0,2016/12,25294.0,1655.0,3.72,9.31,1409.97,1.0
5767,(주)세진티에스,67770.0,2017/12,25035.0,-6226.0,-12.93,-0.03,1756.18,1.0
5768,(주)세진티에스,67770.0,2018/12,21310.0,-2716.0,-6.49,1.49,1403.84,1.0
5769,(주)세진티에스,67770.0,2019/12,22510.0,-2512.0,-6.42,16.85,1638.39,1.0
5770,(주)세진티에스,67770.0,2020/12,24416.0,1836.0,5.01,22.37,1479.42,1.0
26618,한국알콜산업(주),17890.0,2000/12,34943.0,1421.0,3.64,9.86,753.19,1.0
26619,한국알콜산업(주),17890.0,2001/12,31718.0,2231.0,4.03,11.43,542.09,1.0
26620,한국알콜산업(주),17890.0,2002/12,31569.0,5319.0,5.63,14.07,580.06,1.0
26621,한국알콜산업(주),17890.0,2003/12,28260.0,2944.0,3.58,13.4,794.21,1.0
26622,한국알콜산업(주),17890.0,2004/12,34104.0,9397.0,7.98,17.45,329.47,1.0
26623,한국알콜산업(주),17890.0,2005/12,21024.0,6260.0,3.96,14.64,228.73,1.0
26624,한국알콜산업(주),17890.0,2006/12,13965.0,5545.0,7.39,17.22,91.99,1.0
26625,한국알콜산업(주),17890.0,2007/12,23729.0,10586.0,22.81,13.19,228.4,1.0
26626,한국알콜산업(주),17890.0,2008/12,33202.0,20221.0,12.56,13.34,311.92,1.0
26627,한국알콜산업(주),17890.0,2009/12,59125.0,13901.0,9.12,14.42,303.34,1.0
26628,한국알콜산업(주),17890.0,2010/12,51201.0,12383.0,4.42,13.41,194.54,1.0
26629,한국알콜산업(주),17890.0,2011/12,57587.0,10810.0,7.74,12.45,178.1,1.0
26630,한국알콜산업(주),17890.0,2012/12,41740.0,6659.0,3.24,7.36,169.64,1.0
26631,한국알콜산업(주),17890.0,2013/12,55725.0,1819.0,1.1,8.16,182.22,1.0
26632,한국알콜산업(주),17890.0,2014/12,61113.0,9304.0,5.17,12.44,195.8,1.0
26633,한국알콜산업(주),17890.0,2015/12,49349.0,10321.0,4.61,13.54,240.48,1.0
26634,한국알콜산업(주),17890.0,2016/12,82972.0,24073.0,11.88,16.95,237.49,1.0
26635,한국알콜산업(주),17890.0,2017/12,82791.0,16345.0,6.8,15.29,331.3,1.0
26636,한국알콜산업(주),17890.0,2018/12,94220.0,24048.0,14.38,18.66,339.67,1.0
26637,한국알콜산업(주),17890.0,2019/12,94637.0,23389.0,8.99,20.84,404.71,1.0
26638,한국알콜산업(주),17890.0,2020/12,137138.0,40256.0,12.59,24.45,415.02,1.0
4889,(주)삼진엘앤디,54090.0,2000/12,5506.0,615.0,0.0,17.94,137.56,1.0
4890,(주)삼진엘앤디,54090.0,2001/12,14941.0,1446.0,49.98,15.14,135.25,1.0
4891,(주)삼진엘앤디,54090.0,2002/12,17114.0,3040.0,14.59,11.57,115.71,1.0
4892,(주)삼진엘앤디,54090.0,2003/12,20607.0,5883.0,23.22,15.47,117.91,1.0
