회사명,거래소코드,회계년도,소속코드,감사의견코드,정기공시제목,수시공시제목,폐지사유요약,공시발생일,부도
(주)강원랜드,35250.0,2002/12,4.0,UQ,0,상장폐지,증권거래소 상장,2003-09-02 16:14,1.0
(주)경윤하이드로에너지,19120.0,2010/12,4.0,UQ,0,상장폐지,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정,2011-03-24 18:01,1.0
(주)골드카운티,58900.0,2009/12,4.0,UQ,0,상장폐지,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정",2010-09-29 17:59,1.0
(주)굿이엠지,51530.0,2008/12,4.0,UQ,0,상장폐지,주된 영업의 정지에 의한 상장폐지기준 해당,2009-10-21 18:09,1.0
(주)그로웰텔레콤,35780.0,2003/12,4.0,UQ,0,상장폐지,액면가액일정비율미만(취소사유발생일 : 2004년 12월 24일),2004-12-27 17:05,1.0
(주)나노하이텍,71360.0,2008/12,4.0,DU,0,상장폐지,감사의견거절(감사범위제한),2009-04-16 18:37,0.0
(주)나리지*온,36850.0,2009/12,4.0,UQ,회생절차 종결신청,상장폐지(피흡수합병),피흡수합병,2010-07-13 17:59,1.0
(주)남성알미늄,33220.0,2004/12,4.0,UQ,0,상장폐지,주식분산기준 미달 2년 연속,2005-04-15 19:52,1.0
(주)네오리소스,58550.0,2008/12,4.0,UQ,0,[정정]상장폐지,"",2009-09-10 14:17,1.0
(주)네오리소스,58550.0,2008/12,4.0,UQ,0,[정정]상장폐지,2009-07-23,2009-07-28 18:59,1.0
(주)네오리소스,58550.0,2008/12,4.0,UQ,0,상장폐지,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",2009-07-23 15:40,1.0
(주)네오리소스,58550.0,2008/12,4.0,UQ,0,상장폐지,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",2009-06-04 18:03,1.0
(주)네오리진,94860.0,2014/12,5.0,UQ,0,신주인수권증권 상장폐지(기초주권의 관리종목지정),코스닥시장 상장규정 제44조의2 및 제47조,2015-03-05 18:21,1.0
(주)네오퍼플,28090.0,2012/12,4.0,DS,0,상장폐지,감사의견거절(감사범위 제한 및 계속기업으로서의 존속능력에 대한 불확실성),2013-04-18 20:07,0.0
(주)네이쳐글로벌,88020.0,2009/12,4.0,UQ,0,상장폐지,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정",2010-12-27 17:44,1.0
(주)네프로아이티,950030.0,2010/03,4.0,UQ,0,상장폐지,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정,2011-10-25 19:15,1.0
(주)넥스지,81970.0,2017/12,4.0,DS,0,상장폐지,감사의견거절(감사범위제한),2018-09-27 08:32,0.0
(주)넷웨이브,47730.0,2011/12,4.0,UQ,0,상장폐지,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정,2012-11-06 19:22,1.0
(주)넷컴스토리지,37010.0,2003/12,4.0,DU,0,상장폐지,감사의견거절(취소사유발생일 : 2004년 3월 23일)   ,2004-03-24 18:57,0.0
(주)뉴씨앤씨,45240.0,2002/12,4.0,UQ,0,상장폐지,감사의견거절(취소사유발생일:2003년 3월 20일),2003-03-21 15:56,1.0
(주)뉴젠비아이티,54650.0,2008/12,4.0,UQ,0,상장폐지,반기보고서 법정제출기한 익일부터 10일이내 반기검토(감사)보고서 미제출,2009-08-24 19:31,1.0
(주)뉴젠아이씨티,54150.0,2010/12,4.0,DS,0,상장폐지,감사의견거절(감사범위제한),2011-04-18 18:36,0.0
(주)뉴켐진스템셀,36280.0,2008/12,4.0,UQ,0,상장폐지,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",2009-04-10 17:45,1.0
(주)다산씨앤드아이,37200.0,2002/06,4.0,UQ,0,상장폐지,최종부도 및 은행거래정지,2003-06-05 15:03,1.0
