번호,시간,회사명,종목코드,공시제목,제출인
12,2008-12-18 07:09,디에스피,016040,회생절차개시신청,디에스피이엔티
11,2008-12-09 12:36,아이비진,039060,부도발생,아이비진
10,2008-10-31 15:37,IDH,026230,회생절차개시결정,아이디에이치
9,2008-10-20 17:51,IDH,026230,회생절차개시신청,아이디에이치
8,2008-09-16 17:00,태산엘시디,036210,회생절차개시신청,태산엘시디
7,2008-07-10 07:00,케이에스피,073010,회생절차개시결정,케이에스피
6,2008-06-04 17:39,케이에스피,073010,회생절차개시신청,케이에스피
5,2007-10-18 16:42,나리지*온,036850,[정정]회생절차개시결정,나리지*온
4,2007-07-31 16:44,나리지*온,036850,회생절차개시결정[정],나리지*온
3,2007-06-22 17:47,나리지*온,036850,회생절차개시신청,나리지*온
2,2006-09-29 17:59,현대바이오,048410,회생절차개시결정,현대바이오사이언스
1,2006-09-01 16:09,현대바이오,048410,회생절차개시신청,현대바이오사이언스
