번호,시간,회사명,종목코드,공시제목,제출인
119,2014-12-12 17:53,에이스하이텍,071930,파산신청 기각,에이스하이텍
118,2014-12-05 16:37,에이스하이텍,071930,파산신청,에이스하이텍
117,2014-12-04 14:29,잘만테크,090120,회생절차개시결정[정],잘만테크
116,2014-11-17 17:55,영진코퍼레이션,053330,회생절차개시결정,영진코퍼레이션
115,2014-11-03 18:51,잘만테크,090120,회생절차개시신청,잘만테크
114,2014-10-30 17:37,영진코퍼레이션,053330,회생절차개시신청,영진코퍼레이션
113,2014-06-12 16:01,디지텍시스템,091690,[정정]회생절차개시결정,디지텍시스템스
112,2014-05-29 13:24,AJS,013340,회생절차개시결정,뉴아세아조인트
111,2014-05-08 17:51,CU전자,056340,부도발생,씨유전자
110,2014-04-28 17:58,AJS,013340,회생절차개시신청,뉴아세아조인트
109,2014-04-14 15:47,디지텍시스템,091690,회생절차개시결정[정],디지텍시스템스
108,2014-03-28 15:32,모린스,110310,회생절차개시신청,모린스
107,2014-03-26 10:12,엘컴텍,037950,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,엘컴텍
106,2014-03-19 18:04,한진피앤씨,061460,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,한진피앤씨
105,2014-03-18 18:16,삼표시멘트,038500,회생계획 인가,삼표시멘트
104,2014-03-17 17:37,오성첨단소재,052420,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,오성첨단소재
103,2014-03-17 09:03,와이즈파워,040670,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,와이즈파워
102,2014-03-14 17:58,와이즈파워,040670,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],와이즈파워
101,2014-03-14 16:57,오성첨단소재,052420,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],오성첨단소재
100,2014-03-14 08:07,디지텍시스템,091690,[정정]회생절차개시신청,디지텍시스템스
99,2014-03-14 07:02,디지텍시스템,091690,회생절차개시신청[정],디지텍시스템스
98,2014-03-13 17:51,릭스솔루션,029480,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,릭스솔루션
97,2014-03-13 17:40,에버테크노,070480,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,신비앤텍
96,2014-03-13 17:28,태산엘시디,036210,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,태산엘시디
95,2014-03-12 18:48,대성엘텍,025440,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,대성엘텍
94,2014-03-12 18:00,대성엘텍,025440,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],대성엘텍
93,2014-03-12 15:39,한진피앤씨,061460,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],한진피앤씨
92,2014-03-11 18:11,한진피앤씨,061460,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],한진피앤씨
91,2014-03-11 12:44,엘컴텍,037950,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],엘컴텍
90,2014-03-11 07:22,엘컴텍,037950,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],엘컴텍
