회사명,거래소코드,회계년도,기업가치(EV),EBITDA,EBITDA/매출액,EBITDA/금융비용,EBITDA/평균발행주식수,EV/EBITDA
(주)CMG제약,058820,2000/12,,,,,,
(주)CMG제약,058820,2001/12,,,,,,
(주)CMG제약,058820,2002/12,,,,,,
(주)CMG제약,058820,2003/12,,,,,,
(주)CMG제약,058820,2004/12,,,,,,
(주)CMG제약,058820,2005/12,,,,,,
(주)CMG제약,058820,2006/12,,,,,,
(주)CMG제약,058820,2007/12,69545.33,-1288.45,-71.74,0,-104.44,0
(주)CMG제약,058820,2008/12,-454.5,-3419.79,-31.64,-4.56,-221.19,
(주)CMG제약,058820,2009/12,26517.58,-7100.69,-69.98,-6.8,-443.98,
(주)CMG제약,058820,2010/12,31200.74,-5598.06,-49.32,-5.51,-243.34,
(주)CMG제약,058820,2011/12,37758.74,2038.64,11.48,11.24,46.75,18.52
(주)CMG제약,058820,2012/12,102635.81,-2652.62,-16.32,-4.89,-54.3,0
(주)CMG제약,058820,2013/12,60446.48,1929.83,9.5,1.7,22.28,31.32
(주)CMG제약,058820,2014/12,71714.82,1910.86,8.4,15.56,22.06,37.53
(주)CMG제약,058820,2015/12,183741.02,-680.83,-2.52,-8.53,-7.71,0
(주)CMG제약,058820,2016/12,343540.52,3831.42,11.62,0,41.96,89.66
(주)CMG제약,058820,2017/12,675657.4,3413.39,8.22,0,31.37,197.94
(주)CMG제약,058820,2018/12,447673.05,4413.93,8.85,0,40.54,101.42
(주)CMG제약,058820,2019/12,572007.84,4709.46,8.03,548.04,43.25,121.46
(주)CMG제약,058820,2020/12,795244.17,4257.89,6.61,186.32,30.66,186.77
(주)ES큐브,050120,2001/06,,,,,,
(주)ES큐브,050120,2002/06,,,,,,
(주)ES큐브,050120,2003/06,,,,,,
(주)ES큐브,050120,2004/06,,,,,,
(주)ES큐브,050120,2005/12,,,,,,
(주)ES큐브,050120,2006/12,,,,,,
(주)ES큐브,050120,2007/12,22138.92,-1879.86,-15.96,-21.61,-137.59,0
(주)ES큐브,050120,2008/12,710.2,-2436.29,-18.76,-32.11,-120.24,
(주)ES큐브,050120,2009/12,37801.53,1179.75,4.17,12.95,55.6,32.04
(주)ES큐브,050120,2010/12,52923.2,2126.63,6.14,28.86,91.57,24.89
(주)ES큐브,050120,2011/12,47769.48,1101.88,2.64,75.63,47.41,43.35
(주)ES큐브,050120,2012/12,78014.44,4759.91,10.77,147.64,203.47,16.39
(주)ES큐브,050120,2013/12,47069.22,2926.81,6.39,128.25,93.01,16.08
(주)ES큐브,050120,2014/12,45571.38,1515.98,4.08,0,41.54,30.06
