회사명,거래소코드,회계년도,자기자본순이익률,자산총계(요약),자본총계(요약),부채총계(요약),유동자산(요약),유동부채(요약),*당기순이익(요약),영업이익(요약),이익잉여금(요약),비유동자산(요약),이자비용(요약)
(주)CMG제약,058820,2000/12,,28990,12896,16095,21169,15241,521,1535,0,7821,307
(주)CMG제약,058820,2001/12,1.26,20908,8789,12119,16359,11601,110,294,0,4549,285
(주)CMG제약,058820,2002/12,-29.43,15401,6535,8867,9880,8650,-2255,-3817,0,5522,382
(주)CMG제약,058820,2003/12,1.7,11063,6433,4630,8534,4597,110,-914,0,2529,271
(주)CMG제약,058820,2004/12,-86.13,5179,2560,2619,3893,2600,-3873,-2838,0,1286,124
(주)CMG제약,058820,2005/12,-85.56,8280,3419,4861,3449,3621,-2558,-1995,0,4831,149
(주)CMG제약,058820,2006/12,-65.1,10030,7059,2971,6897,2971,-3411,-1183,0,3133,84
(주)CMG제약,058820,2007/12,-6.41,22074,20701,1372,8952,1372,-890,-1334,-12978,13122,0
(주)CMG제약,058820,2008/12,-20.5,34557,24753,9804,16725,2971,-4659,-3786,-18256,17832,749
(주)CMG제약,058820,2009/12,-106.4,22836,9412,13424,9827,9050,-18177,-8650,-37358,13008,1044
(주)CMG제약,058820,2010/12,-57.61,24128,17140,6989,11604,3783,-7649,-7453,-45007,12524,1016
(주)CMG제약,058820,2011/12,-7.14,27549,18291,9258,15265,7620,-1264,698,-44971,12284,181
(주)CMG제약,058820,2012/12,-27.63,56989,31603,25386,47073,6665,-6893,-4045,-52369,9915,543
(주)CMG제약,058820,2013/12,0.83,55962,49048,6913,38259,5498,335,823,-52151,17703,1134
(주)CMG제약,058820,2014/12,0.35,58127,49067,9060,28360,8714,172,446,-52330,29767,123
(주)CMG제약,058820,2015/12,-7.61,56592,46873,9719,26331,8843,-3649,-2571,-56348,30261,80
(주)CMG제약,058820,2016/12,2.29,110980,101108,9872,78772,9137,1693,1731,-54547,32208,0
(주)CMG제약,058820,2017/12,2.85,109568,97944,11624,81227,10884,2835,1559,-3398,28341,0
(주)CMG제약,058820,2018/12,6.01,114380,103982,10398,81370,8495,6065,2568,2309,33009,0
(주)CMG제약,058820,2019/12,2.15,192243,180158,12085,150584,9306,3051,2604,5055,41659,9
(주)CMG제약,058820,2020/12,0.12,195356,181131,14225,145981,13649,215,1822,5638,49374,23
(주)ES큐브,050120,2001/06,,7040,4501,2540,3825,2399,708,841,0,3216,264
(주)ES큐브,050120,2002/06,7.39,9447,7027,2421,5384,2239,520,846,0,4064,211
(주)ES큐브,050120,2003/06,5.2,9538,7322,2216,5792,1998,373,143,0,3746,64
(주)ES큐브,050120,2004/06,0.36,15645,13209,2436,11859,2140,37,124,0,3786,75
(주)ES큐브,050120,2005/12,-21,26148,24725,1422,22876,1107,-5192,-1941,0,3271,407
(주)ES큐브,050120,2006/12,-13.35,29486,25284,4202,22835,1163,-3338,-1621,0,6651,270
(주)ES큐브,050120,2007/12,-1.29,36192,35776,417,25896,387,-394,-2178,-3732,10296,87
(주)ES큐브,050120,2008/12,-8.88,40649,37512,3137,21224,2957,-3255,-2702,-6988,19425,76
(주)ES큐브,050120,2009/12,9.58,47209,40704,6504,27636,3799,3747,938,-3240,19573,91
(주)ES큐브,050120,2010/12,-5.44,47490,42010,5481,26290,4770,-2250,704,-2250,21200,74
(주)ES큐브,050120,2011/12,-7.23,45233,39144,6089,18786,4840,-2933,-2080,-3118,26447,15
(주)ES큐브,050120,2012/12,1.31,44676,39881,4795,15631,3228,517,646,488,29045,32
(주)ES큐브,050120,2013/12,-35.29,47510,43713,3797,32519,2691,-14749,217,-13964,14991,23
(주)ES큐브,050120,2014/12,-5.68,44914,41226,3688,21478,3055,-2412,326,-2486,23437,0
(주)ES큐브,050120,2015/12,8.39,47124,44873,2251,22590,1792,3610,2371,3646,24533,0
(주)ES큐브,050120,2016/12,30.46,104460,69832,34628,43389,4570,17469,2360,21107,61071,204
(주)ES큐브,050120,2017/12,1.73,104850,71398,33452,44762,4086,1219,2170,22258,60088,785
(주)ES큐브,050120,2018/12,-5.56,108482,66519,41963,29055,37696,-3836,691,19158,79427,1482
(주)ES큐브,050120,2019/12,-21.14,136065,53986,82079,24298,54790,-12739,588,4185,111767,3540
(주)ES큐브,050120,2020/12,-45.82,81995,72950,9046,7524,8346,-29081,1453,-24894,74471,3207
(주)가비아,079940,2002/12,,3376,1593,1783,2256,1316,357,273,0,1120,49
(주)가비아,079940,2003/12,40.64,4773,2683,2090,3357,1493,1090,1148,0,1416,36
(주)가비아,079940,2004/12,38.2,6223,3950,2273,4446,1925,1267,1318,0,1777,16
(주)가비아,079940,2005/12,25.6,12234,8932,3302,6882,2287,1649,1750,0,5352,11
(주)가비아,079940,2006/12,20.38,14743,10641,4103,8432,2862,1994,2265,0,6311,37
(주)가비아,079940,2007/12,22.54,24822,15134,9688,6882,3914,2905,2757,8919,17940,281
(주)가비아,079940,2008/12,12.51,31435,15304,16131,11900,8528,1904,3901,10384,19534,395
(주)가비아,079940,2009/12,18.3,31060,19367,11692,9199,4598,3172,3653,13557,21860,735
(주)가비아,079940,2010/12,18.14,35298,22190,13108,10390,6587,3770,4104,16956,24908,419
(주)가비아,079940,2011/12,14.04,37296,24299,12997,9246,11954,3262,3926,20037,28050,361
(주)가비아,079940,2012/12,20.69,51796,31165,20631,9613,10724,5738,2949,25408,42183,472
(주)가비아,079940,2013/12,11.48,52152,34823,17329,10360,11589,3787,3035,28938,41792,406
