회사명,거래소코드,회계년도,감사의견코드,장기차입금(*)(천원),단기차입금(*)(천원),사채(천원),미지급비용(*)(천원),미지급금(*)(천원)
(주)CMG제약,058820,2000/12,UQ,123000,13189808,0,332398,215659
(주)CMG제약,058820,2001/12,UQ,0,10578768,0,212329,115762
(주)CMG제약,058820,2002/12,UQ,0,8188006,0,137794,48539
(주)CMG제약,058820,2003/12,UQ,0,3223118,0,170255,71589
(주)CMG제약,058820,2004/12,UQ,0,1532673,0,105661,12742
(주)CMG제약,058820,2005/12,UQ,1225000,2814000,0,45094,645433
(주)CMG제약,058820,2006/12,UQ,0,0,0,0,1907880
(주)CMG제약,058820,2007/12,UQ,0,0,0,0,1029614
(주)CMG제약,058820,2008/12,UQ,60362,0,0,284340,518437
(주)CMG제약,058820,2009/12,UQ,46200,0,0,1428780,5646705
(주)CMG제약,058820,2010/12,UQ,2000000,0,0,353145,1306394
(주)CMG제약,058820,2011/12,UQ,0,2134049,0,356801,1487222
(주)CMG제약,058820,2012/12,UQ,0,2132612,0,476768,1209574
(주)CMG제약,058820,2013/12,UQ,0,0,0,452006,935204
(주)CMG제약,058820,2014/12,UQ,0,0,0,526408,1546586
(주)CMG제약,058820,2015/12,UQ,0,0,0,766825,2325862
(주)CMG제약,058820,2016/12,UQ,0,0,0,673271,1513099
(주)CMG제약,058820,2017/12,UQ,0,0,0,1122875,1448167
(주)CMG제약,058820,2018/12,UQ,0,0,0,1397510,1513679
(주)CMG제약,058820,2019/12,UQ,0,0,0,2053864,1581335
(주)CMG제약,058820,2020/12,UQ,0,0,0,2106428,2188604
(주)ES큐브,050120,2001/06,UQ,0,1528564,0,104963,231934
(주)ES큐브,050120,2002/06,UQ,0,758405,0,178967,217594
(주)ES큐브,050120,2003/06,UQ,0,1188542,0,9052,142702
(주)ES큐브,050120,2004/06,UQ,0,1468147,0,7560,102758
(주)ES큐브,050120,2005/12,UQ,0,0,0,61089,512793
(주)ES큐브,050120,2006/12,UQ,0,0,0,0,137685
(주)ES큐브,050120,2007/12,UQ,0,0,0,0,87254
(주)ES큐브,050120,2008/12,UQ,0,897887,0,0,151337
(주)ES큐브,050120,2009/12,UQ,0,1126364,0,65392,823488
(주)ES큐브,050120,2010/12,UQ,0,0,0,0,601511
(주)ES큐브,050120,2011/12,UQ,0,0,0,0,1450979
(주)ES큐브,050120,2012/12,UQ,0,0,0,0,673967
