회사명,거래소코드,회계년도,보통주식비율
(주)CMG제약,058820,2000/12,55
(주)CMG제약,058820,2001/12,56.07
(주)CMG제약,058820,2002/12,56.07
(주)CMG제약,058820,2003/12,56.05
(주)CMG제약,058820,2004/12,58.04
(주)CMG제약,058820,2005/12,68.85
(주)CMG제약,058820,2006/12,41.07
(주)CMG제약,058820,2007/12,33.75
(주)CMG제약,058820,2008/12,25.63
(주)CMG제약,058820,2009/12,8.88
(주)CMG제약,058820,2010/12,8.38
(주)CMG제약,058820,2011/12,2.31
(주)CMG제약,058820,2012/12,30.29
(주)CMG제약,058820,2013/12,26.8
(주)CMG제약,058820,2014/12,26.8
(주)CMG제약,058820,2015/12,26.29
(주)CMG제약,058820,2016/12,26.02
(주)CMG제약,058820,2017/12,25.98
(주)CMG제약,058820,2018/12,25.98
(주)CMG제약,058820,2019/12,25.84
(주)CMG제약,058820,2020/12,25.84
(주)ES큐브,050120,2001/06,
(주)ES큐브,050120,2002/06,18.41
(주)ES큐브,050120,2003/06,18.41
(주)ES큐브,050120,2004/06,13.48
(주)ES큐브,050120,2005/12,12.46
(주)ES큐브,050120,2006/12,23.35
(주)ES큐브,050120,2007/12,29.41
(주)ES큐브,050120,2008/12,30.46
(주)ES큐브,050120,2009/12,32.91
(주)ES큐브,050120,2010/12,35.11
(주)ES큐브,050120,2011/12,35.11
(주)ES큐브,050120,2012/12,19.99
(주)ES큐브,050120,2013/12,16.44
(주)ES큐브,050120,2014/12,16.44
(주)ES큐브,050120,2015/12,16.44
(주)ES큐브,050120,2016/12,17.8
(주)ES큐브,050120,2017/12,19.16
(주)ES큐브,050120,2018/12,19.16
(주)ES큐브,050120,2019/12,19.57
(주)ES큐브,050120,2020/12,32.19
(주)가비아,079940,2002/12,
(주)가비아,079940,2003/12,
(주)가비아,079940,2004/12,
(주)가비아,079940,2005/12,51.97
(주)가비아,079940,2006/12,51.6
(주)가비아,079940,2007/12,45.77
(주)가비아,079940,2008/12,47.83
(주)가비아,079940,2009/12,34.59
(주)가비아,079940,2010/12,35.2
(주)가비아,079940,2011/12,34.99
(주)가비아,079940,2012/12,25.25
(주)가비아,079940,2013/12,25.26
(주)가비아,079940,2014/12,25.18
(주)가비아,079940,2015/12,25.18
(주)가비아,079940,2016/12,24.51
(주)가비아,079940,2017/12,24.65
(주)가비아,079940,2018/12,24.79
(주)가비아,079940,2019/12,24.89
(주)가비아,079940,2020/12,24.85
(주)강스템바이오텍,217730,2013/12,
(주)강스템바이오텍,217730,2014/12,
(주)강스템바이오텍,217730,2015/12,22.95
(주)강스템바이오텍,217730,2016/12,23.22
(주)강스템바이오텍,217730,2017/12,21.51
(주)강스템바이오텍,217730,2018/12,17.07
(주)강스템바이오텍,217730,2019/12,13.02
(주)강스템바이오텍,217730,2020/12,10.25
(주)강원,114190,2000/11,
(주)강원,114190,2001/11,
(주)강원,114190,2002/11,
(주)강원,114190,2003/11,
(주)강원,114190,2004/11,
(주)강원,114190,2005/11,
(주)강원,114190,2006/11,
(주)강원,114190,2007/11,
(주)강원,114190,2008/11,
(주)강원,114190,2009/11,40.54
(주)강원,114190,2010/11,51.22
(주)강원,114190,2011/11,45.42
(주)강원,114190,2012/12,38.58
(주)강원,114190,2013/12,46.65
(주)강원,114190,2014/12,53.04
(주)강원,114190,2015/12,52.87
(주)강원,114190,2016/12,52.87
(주)강원,114190,2017/12,52.4
(주)강원,114190,2018/12,42.25
(주)강원,114190,2019/12,11.47
(주)강원,114190,2020/12,21.43
(주)강원랜드,035250,2000/12,36
(주)강원랜드,035250,2001/12,36
(주)강원랜드,035250,2002/12,36
(주)게임빌,063080,2004/12,
(주)게임빌,063080,2005/12,
(주)게임빌,063080,2006/12,
(주)게임빌,063080,2007/12,
(주)게임빌,063080,2008/12,
(주)게임빌,063080,2009/12,41.19
(주)게임빌,063080,2010/12,38.52
(주)게임빌,063080,2011/12,36.89
(주)게임빌,063080,2012/12,33.21
(주)게임빌,063080,2013/12,28.97
(주)게임빌,063080,2014/12,29.02
(주)게임빌,063080,2015/12,27.92
(주)게임빌,063080,2016/12,33.93
(주)게임빌,063080,2017/12,33.56
(주)게임빌,063080,2018/12,33.56
(주)게임빌,063080,2019/12,34.1
(주)게임빌,063080,2020/12,35.57
(주)경윤하이드로에너지,019120,2000/12,62.28
(주)경윤하이드로에너지,019120,2001/12,48.03
(주)경윤하이드로에너지,019120,2002/12,47.55
(주)경윤하이드로에너지,019120,2003/12,48.23
(주)경윤하이드로에너지,019120,2004/12,49.4
(주)경윤하이드로에너지,019120,2005/12,49.01
(주)경윤하이드로에너지,019120,2006/12,49.21
(주)경윤하이드로에너지,019120,2007/12,38.75
(주)경윤하이드로에너지,019120,2008/12,36.45
(주)경윤하이드로에너지,019120,2009/12,1.68
(주)경윤하이드로에너지,019120,2010/12,9.46
(주)고려시멘트,198440,2014/12,8.1
(주)고려시멘트,198440,2015/12,6.8
(주)고려시멘트,198440,2016/12,6.8
(주)고려시멘트,198440,2017/12,79.82
(주)고려시멘트,198440,2018/12,72.05
(주)고려시멘트,198440,2019/12,58.97
(주)고려시멘트,198440,2020/12,58.3
(주)고바이오랩,348150,2019/12,
(주)고바이오랩,348150,2020/12,38.56
(주)고영테크놀러지,098460,2005/12,
(주)고영테크놀러지,098460,2006/12,
(주)고영테크놀러지,098460,2007/12,
(주)고영테크놀러지,098460,2008/12,19.55
(주)고영테크놀러지,098460,2009/12,19.1
(주)고영테크놀러지,098460,2010/12,17.8
(주)고영테크놀러지,098460,2011/12,17.45
(주)고영테크놀러지,098460,2012/12,18.9
(주)고영테크놀러지,098460,2013/12,18.46
(주)고영테크놀러지,098460,2014/12,18.09
(주)고영테크놀러지,098460,2015/12,18.73
(주)고영테크놀러지,098460,2016/12,18.16
(주)고영테크놀러지,098460,2017/12,17.47
(주)고영테크놀러지,098460,2018/12,21.04
(주)고영테크놀러지,098460,2019/12,20.98
(주)고영테크놀러지,098460,2020/12,20.53
(주)골드앤에스,035290,2000/12,17.67
(주)골드앤에스,035290,2001/12,6.69
(주)골드앤에스,035290,2002/12,12.9
(주)골드앤에스,035290,2003/12,24.95
(주)골드앤에스,035290,2004/12,24.95
(주)골드앤에스,035290,2005/12,22.76
(주)골드앤에스,035290,2006/12,20.04
(주)골드앤에스,035290,2007/12,20.23
(주)골드앤에스,035290,2008/12,14.71
(주)골드앤에스,035290,2009/12,14.71
(주)골드앤에스,035290,2010/12,14.71
(주)골드앤에스,035290,2011/12,14.93
(주)골드앤에스,035290,2012/12,12.67
(주)골드앤에스,035290,2013/12,12.61
(주)골드앤에스,035290,2014/12,19.93
(주)골드앤에스,035290,2015/12,43.97
(주)골드앤에스,035290,2016/12,48.99
(주)골드앤에스,035290,2017/12,22.87
(주)골드앤에스,035290,2018/12,12.61
(주)골드앤에스,035290,2019/12,16.84
(주)골드앤에스,035290,2020/12,71.86
(주)골드카운티,058900,2001/12,
(주)골드카운티,058900,2002/12,
(주)골드카운티,058900,2003/12,
(주)골드카운티,058900,2004/12,31.94
(주)골드카운티,058900,2005/12,27.83
(주)골드카운티,058900,2006/12,18.13
(주)골드카운티,058900,2007/12,16.32
(주)골드카운티,058900,2008/12,12.22
(주)골드카운티,058900,2009/12,16.2
(주)골드퍼시픽,038530,2000/12,26.21
