회사명,거래소코드,회계년도,부가가치,종업원1인당 부가가치,종업원1인당 매출액,종업원1인당 순이익,종업원1인당 인건비,노동장비율,기계장비율,자본집약도,총자본투자효율,설비투자효율,기계투자효율,부가가치율,노동소득분배율,자본분배율,이윤분배율
(주)CMG제약,058820,2000/12,,,,,,,,,,,,,,,
(주)CMG제약,058820,2001/12,1831.07,15.26,131.86,0.92,9.97,31.57,7.1,174.23,8.76,48.33,214.85,11.57,65.34,34.66,6.03
(주)CMG제약,058820,2002/12,121.48,1.79,388.15,-33.16,37.73,45.84,4.19,226.49,0.79,3.9,42.66,0.46,2111.99,-2011.99,-1856.05
(주)CMG제약,058820,2003/12,1858.57,80.81,756.06,4.79,51.51,27.96,17.2,481.01,16.8,289.02,469.87,10.69,63.75,36.25,5.93
(주)CMG제약,058820,2004/12,-1965.01,-131,872.27,-258.22,33.06,31.75,16.55,345.3,-37.94,-412.59,-791.34,-15.02,0,0,0
(주)CMG제약,058820,2005/12,-1878.32,-104.35,232.57,-142.11,14.06,222.57,32.99,460.02,-22.68,-46.88,-316.3,-44.87,0,0,0
(주)CMG제약,058820,2006/12,-2625.04,-328.13,415.6,-426.33,70.51,12.56,0,1253.74,-26.17,-2612.79,0,-78.95,0,0,0
(주)CMG제약,058820,2007/12,-372.08,-3.32,16.04,-7.95,7.49,1.08,-1.45,197.09,-1.69,-306.79,0,-20.72,0,0,0
(주)CMG제약,058820,2008/12,-918.47,-6.85,80.66,-34.77,20.79,16.36,1.49,257.89,-2.66,-41.89,-461.43,-8.5,0,0,0
(주)CMG제약,058820,2009/12,-11532.47,-96.91,85.27,-152.75,30.87,85.38,25.37,191.9,-50.5,-113.5,-381.92,-113.66,0,0,0
(주)CMG제약,058820,2010/12,-451.7,-3.5,87.99,-59.29,30.59,69.22,17.03,187.04,-1.87,-5.06,-20.57,-3.98,0,0,0
(주)CMG제약,058820,2011/12,3793.19,28.1,131.49,-9.37,23.08,71.32,19.75,204.06,13.77,39.4,142.24,21.37,82.14,17.86,-33.34
(주)CMG제약,058820,2012/12,-1109.28,-8.28,121.31,-51.44,26.3,69.14,18.64,425.29,-1.95,-11.97,-44.42,-6.82,0,0,0
(주)CMG제약,058820,2013/12,5226.74,38.43,149.43,2.47,23.04,66.01,17.77,411.48,9.34,58.22,216.25,25.72,59.94,40.06,6.41
(주)CMG제약,058820,2014/12,5517.85,33.65,138.74,1.05,22.01,113.9,32.6,354.43,9.49,29.54,103.2,24.25,65.41,34.59,3.11
(주)CMG제약,058820,2015/12,2836.01,18.18,173.35,-23.39,27.25,114.25,30.43,362.77,5.01,15.91,59.75,10.49,149.88,-49.88,-128.66
(주)CMG제약,058820,2016/12,9120.17,57,206.06,10.58,31.52,105.51,24.03,693.62,8.22,54.03,237.22,27.66,55.3,44.7,18.57
(주)CMG제약,058820,2017/12,11476.46,57.38,207.68,14.17,34.48,80.77,17.62,547.84,10.47,71.04,325.69,27.63,60.08,39.92,24.7
(주)CMG제약,058820,2018/12,14753.59,66.46,224.62,27.32,39.12,0,0,0,12.9,93.04,419.39,29.59,58.86,41.14,41.11
(주)CMG제약,058820,2019/12,17218.9,71.45,243.25,12.66,46.33,0,0,0,8.96,103.68,396.3,29.37,64.84,35.16,17.72
(주)CMG제약,058820,2020/12,14269.68,60.21,271.98,0.91,46.89,0,0,0,7.3,90.74,398.36,22.14,77.88,22.12,1.51
(주)ES큐브,050120,2001/06,,,,,,,,,,,,,,,
(주)ES큐브,050120,2002/06,1573.87,92.58,1602.03,30.56,41.33,3,0.35,555.73,16.66,3087.65,26213.67,5.78,44.64,55.36,33.01
