회사명,거래소코드,회계년도,총자본증가율,유형자산증가율,유동자산증가율,영업이익증가율,경상이익증가율 (2007년 이전 발생),순이익증가율,재고자산증가율,자기자본증가율,매출액증가율,종업원1인당 부가가치증가율,종업원수증가율,비유동자산증가율,종업원1인당 매출액증가율,종업원1인당 인건비증가율
(주)CMG제약,058820,2000/12,,,,,,,,,,,,,,
(주)CMG제약,058820,2001/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(주)CMG제약,058820,2002/12,-26.34,-17.72,-39.61,0,,0,-39.91,-25.65,66.81,-88.29,-43.33,21.39,194.37,278.44
(주)CMG제약,058820,2003/12,-28.17,-79.37,-13.62,0,0,0,-11.75,-1.55,-34.12,4423.27,-66.18,-54.2,94.78,36.52
(주)CMG제약,058820,2004/12,-53.18,-25.94,-54.38,0,-2128.48,0,-53.72,-60.2,-24.76,-262.11,-34.78,-49.15,15.37,-35.81
(주)CMG제약,058820,2005/12,59.87,741.21,-11.41,0,0,0,-93.53,33.56,-68,0,20,275.66,-73.34,-57.48
(주)CMG제약,058820,2006/12,21.13,-43.52,99.98,0,0,0,0,106.42,-20.58,0,-55.56,-35.16,78.7,401.55
(주)CMG제약,058820,2007/12,120.08,215.25,29.79,0,,0,0,193.28,-45.98,0,1300,318.87,-96.14,-89.37
(주)CMG제약,058820,2008/12,56.55,55.67,86.84,0,0,0,445.64,19.57,501.81,0,19.64,35.89,403,177.46
(주)CMG제약,058820,2009/12,-33.92,-8.5,-41.24,0,0,0,42.07,-61.98,-6.12,0,-11.19,-27.05,5.71,48.45
(주)CMG제약,058820,2010/12,5.66,-11.92,18.08,0,0,0,18.7,82.1,11.86,0,8.4,-3.72,3.19,-0.91
(주)CMG제약,058820,2011/12,14.18,7.86,31.54,0,0,0,-4.87,6.72,56.4,0,4.65,-1.92,49.45,-24.54
(주)CMG제약,058820,2012/12,106.87,-4.02,208.38,0,0,0,7.73,72.78,-8.43,-129.46,-0.74,-19.28,-7.75,13.96
(주)CMG제약,058820,2013/12,-1.8,16.63,-18.73,0,0,0,56.29,55.2,25.02,0,1.49,78.54,23.18,-12.42
(주)CMG제약,058820,2014/12,3.87,74.3,-25.87,-45.78,0,-48.84,6.37,0.04,11.96,-12.45,20.59,68.15,-7.16,-4.46
(주)CMG제약,058820,2015/12,-2.64,-5.37,-7.15,0,0,0,11.04,-4.47,18.85,-45.97,-4.88,1.66,24.95,23.81
(주)CMG제약,058820,2016/12,96.11,-5.14,199.16,0,0,0,17.2,115.71,21.92,213.55,2.56,6.43,18.87,15.68
(주)CMG제약,058820,2017/12,-1.27,-4.28,3.12,-9.95,0,67.4,23.63,-3.13,25.98,0.67,25,-12.01,0.78,9.38
(주)CMG제약,058820,2018/12,4.39,6.71,0.18,64.75,,113.94,8.45,6.16,20.05,15.82,11,16.47,8.16,13.46
(주)CMG제약,058820,2019/12,68.07,39.67,85.06,1.4,,-49.69,5.56,73.26,17.56,7.51,8.56,26.2,8.29,18.42
(주)CMG제약,058820,2020/12,1.62,23.31,-3.06,-30.01,,-92.95,66.28,0.54,9.96,-15.73,-1.66,18.52,11.81,1.22
(주)ES큐브,050120,2001/06,,,,,,,,,,,,,,
(주)ES큐브,050120,2002/06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(주)ES큐브,050120,2003/06,0.96,1123.49,7.58,-83.09,,-28.22,-35.85,4.21,-12.38,-16.78,-5.88,-7.81,-6.9,26.44
(주)ES큐브,050120,2004/06,64.02,-4.13,104.74,-13.21,-89.71,-90.06,36.07,80.4,-6,-27.99,18.75,1.06,-20.84,2.17
(주)ES큐브,050120,2005/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(주)ES큐브,050120,2006/12,12.77,33.05,-0.18,0,0,0,179.47,2.26,-7.95,0,82.35,103.32,-49.52,-18.62
(주)ES큐브,050120,2007/12,22.74,19.63,13.41,0,,0,28.07,41.49,-14.17,0,-16.13,54.79,2.33,44.84
(주)ES큐브,050120,2008/12,12.31,13.95,-18.04,0,0,0,-8.11,4.85,10.24,-186.1,111.54,88.67,-47.89,-58.33
(주)ES큐브,050120,2009/12,16.14,39.15,30.21,0,0,0,-0.96,8.51,117.58,0,134.55,0.76,-7.23,-45.45
(주)ES큐브,050120,2010/12,0.6,8.74,-4.87,-24.89,0,0,125.46,3.21,22.59,-92.2,52.71,8.31,-19.73,-43.03
(주)ES큐브,050120,2011/12,-4.75,-11.82,-28.54,0,0,0,-49.36,-6.82,20.38,542.85,20.3,24.75,0.06,118.72
(주)ES큐브,050120,2012/12,-1.23,-0.8,-16.79,0,0,0,7.06,1.88,5.94,91.62,-0.42,9.82,6.39,3.4
(주)ES큐브,050120,2013/12,6.34,-34.47,108.04,-66.38,0,0,3.74,9.61,3.72,-261.83,-57.63,-48.39,144.79,127.49
(주)ES큐브,050120,2014/12,-5.46,-30,-33.95,50.09,0,0,-37.85,-5.69,-18.84,0,-73,56.34,200.58,140.01
