회사명,거래소코드,회계년도,PER(Price earnings ratio)(최고),PER(Price earnings ratio)(최저),PBR(Price book-value ratio)(최고),PBR(Price book-value ratio)(최저),PCR(Price cash-flow ratio)(최고),PCR(Price cash-flow ratio)(최저),PSR(Price sales ratio)(최고),PSR(Price sales ratio)(최저)
(주)CMG제약,058820,2000/12,,,,,,,,
(주)CMG제약,058820,2001/12,,,,,,,,
(주)CMG제약,058820,2002/12,,,,,,,,
(주)CMG제약,058820,2003/12,,,,,,,,
(주)CMG제약,058820,2004/12,,,,,,,,
(주)CMG제약,058820,2005/12,,,,,,,,
(주)CMG제약,058820,2006/12,,,,,,,,
(주)CMG제약,058820,2007/12,0,0,13.08,1.83,0,0,149.75,20.92
(주)CMG제약,058820,2008/12,0,0,4.07,0.67,0,0,9.13,1.49
(주)CMG제약,058820,2009/12,0,0,11.44,2.34,0,0,8.4,1.72
(주)CMG제약,058820,2010/12,0,0,2.54,0.82,0,0,3.22,1.04
(주)CMG제약,058820,2011/12,0,0,3.31,1.11,0,0,3.14,1.05
(주)CMG제약,058820,2012/12,0,0,4.33,0.78,0,0,8.37,1.51
(주)CMG제약,058820,2013/12,529.7,220.41,4.16,1.73,0,0,8.74,3.64
(주)CMG제약,058820,2014/12,848.58,443.48,3.75,1.96,199.24,104.13,6.4,3.34
(주)CMG제약,058820,2015/12,0,0,9.56,2.27,139.15,33.03,12.41,2.95
(주)CMG제약,058820,2016/12,490.17,93.02,9.48,1.8,249.93,47.43,25.18,4.78
(주)CMG제약,058820,2017/12,361.96,111.7,11.36,3.5,526.73,162.54,24.7,7.62
(주)CMG제약,058820,2018/12,157.09,70.29,9.93,4.44,1074.41,480.72,19.11,8.55
(주)CMG제약,058820,2019/12,192.36,81.01,3.47,1.46,207.88,87.55,10.01,4.22
(주)CMG제약,058820,2020/12,4586.75,1786.25,5.83,2.27,334.93,130.43,15.3,5.96
(주)ES큐브,050120,2001/06,,,,,,,,
(주)ES큐브,050120,2002/06,,,,,,,,
(주)ES큐브,050120,2003/06,,,,,,,,
(주)ES큐브,050120,2004/06,,,,,,,,
(주)ES큐브,050120,2005/12,,,,,,,,
(주)ES큐브,050120,2006/12,,,,,,,,
(주)ES큐브,050120,2007/12,0,0,1.05,0.48,0,0,3.17,1.45
(주)ES큐브,050120,2008/12,0,0,0.99,0.35,0,0,2.78,0.98
(주)ES큐브,050120,2009/12,18.04,3.96,1.86,0.41,14.64,3.22,2.39,0.53
(주)ES큐브,050120,2010/12,0,0,2.29,1.2,19.07,10.04,2.17,1.14
(주)ES큐브,050120,2011/12,0,0,2.55,1.28,41.9,21.09,1.63,0.82
